
[00:00:00.000 --> 00:00:01.640]  我們一起讀禱告
[00:00:01.640 --> 00:00:06.160]  天父我們感謝您能夠一起親近您和敬拜您
[00:00:06.160 --> 00:00:09.640]  還有我們願意您親自跟我們講說話
[00:00:09.640 --> 00:00:15.320]  我們特別奉日蘇名將患病的領子、妹妹、牧者交上
[00:00:15.320 --> 00:00:17.520]  求您親自去醫治
[00:00:17.520 --> 00:00:21.400]  並且能夠提升他們自身的免疫系統
[00:00:21.400 --> 00:00:24.080]  以致我們能夠打揚這場仗
[00:00:24.080 --> 00:00:31.760]  願您的恩典,特別是林在寨在香港受病影響的家庭
[00:00:31.760 --> 00:00:34.720]  都讓特別的小朋友在很辛苦的當中
[00:00:34.720 --> 00:00:38.160]  我們求您都親自去除去痛楚
[00:00:38.160 --> 00:00:40.200]  讓他們的心從您而來得到平安
[00:00:40.200 --> 00:00:42.960]  我們這樣禱告,希望靠主耶穌,基督的名
[00:00:42.960 --> 00:00:43.960]  阿彌陀佛
[00:00:43.960 --> 00:00:48.320]  好了,連續兩講反而不害怕
[00:00:48.320 --> 00:00:51.200]  但突然要講就真的有點害怕
[00:00:51.200 --> 00:00:52.200]  加上今天...
[00:00:52.200 --> 00:00:53.480]  OK, good, 聽到了
[00:00:53.480 --> 00:00:58.200]  加上我們還有兩天組長推修會
[00:00:58.200 --> 00:00:59.800]  所以弟兄姐妹都紀念
[00:00:59.800 --> 00:01:01.160]  我有少少氣管敏感
[00:01:01.160 --> 00:01:03.360]  因為頂撞女兒一星期多了
[00:01:03.360 --> 00:01:06.160]  都有點...受了少少感染
[00:01:06.160 --> 00:01:08.280]  我都問上帝,突然間...
[00:01:08.280 --> 00:01:09.360]  為甚麼又講呢?
[00:01:09.360 --> 00:01:12.920]  是不是上次講的不夠皮呢?諸如此類
[00:01:12.920 --> 00:01:14.200]  但都感恩的
[00:01:14.200 --> 00:01:17.320]  今個星期有兩個小組在我家開組
[00:01:17.320 --> 00:01:19.800]  都是兩個年輕的女仔組
[00:01:19.800 --> 00:01:23.080]  聽回這裡的回響,分享的時候
[00:01:23.080 --> 00:01:25.600]  我覺得上帝真的跟我們講說話
[00:01:25.600 --> 00:01:28.000]  在角色定位上面
[00:01:28.000 --> 00:01:29.600]  原來第一樣要處理的
[00:01:29.600 --> 00:01:31.960]  反而是我們做基督徒的角色
[00:01:31.960 --> 00:01:33.880]  很多時候我們...
[00:01:33.880 --> 00:01:35.400]  特別我們很多是二代
[00:01:35.400 --> 00:01:36.560]  從小都是回教會的
[00:01:36.560 --> 00:01:39.080]  大家都知道自己是基督徒
[00:01:39.080 --> 00:01:40.240]  但你說是不是真的很浪耳
[00:01:40.240 --> 00:01:42.280]  告訴別人自己是信耶穌的呢?
[00:01:42.280 --> 00:01:43.680]  在今時今日的社會裡面
[00:01:43.680 --> 00:01:45.480]  其實告訴別人是基督徒
[00:01:45.480 --> 00:01:47.920]  好像帶有很多的壓力
[00:01:47.920 --> 00:01:50.400]  以及覺得有很多無形的要求
[00:01:50.400 --> 00:01:51.960]  所以在上次的分享裡面
[00:01:51.960 --> 00:01:55.600]  我們很感恩上帝拿著大喇叭跟我們講
[00:01:55.600 --> 00:01:57.120]  我們是被上帝所揀選的
[00:01:57.120 --> 00:01:57.960]  再跟旁邊的人說
[00:01:57.960 --> 00:02:00.200]  你是上帝揀選的,OK?
[00:02:00.200 --> 00:02:02.080]  所以真的要去脫離
[00:02:02.080 --> 00:02:05.080]  所有人對我們錯誤的期盼和期望
[00:02:05.080 --> 00:02:07.960]  因為一切都是主自己的恩典
[00:02:07.960 --> 00:02:10.440]  面對著這麼尊貴的身份
[00:02:10.440 --> 00:02:12.520]  我們都知道我們有一個使命
[00:02:12.520 --> 00:02:14.000]  就是去傳揚福音
[00:02:14.000 --> 00:02:15.160]  不過很坦白
[00:02:15.160 --> 00:02:16.600]  無論甚麼年紀也好
[00:02:16.600 --> 00:02:18.080]  我們一說到傳福音
[00:02:18.080 --> 00:02:20.840]  其實整個教會的氣氛都會覺得
[00:02:20.840 --> 00:02:24.320]  很辛苦,而且好像有很多困難
[00:02:24.320 --> 00:02:24.840]  對不對?
[00:02:24.840 --> 00:02:27.240]  我們現在突然又說有病了
[00:02:27.240 --> 00:02:29.560]  那怎麼辦呢?
[00:02:29.560 --> 00:02:31.600]  丁千玫,回過頭來想
[00:02:31.600 --> 00:02:33.640]  上帝要我們很清楚自己
[00:02:33.640 --> 00:02:36.560]  在這個地上活著
[00:02:36.560 --> 00:02:38.040]  但是屬天的身份
[00:02:38.040 --> 00:02:39.480]  為甚麼這麼重要呢?
[00:02:39.480 --> 00:02:40.520]  我覺得第一件事就是
[00:02:40.520 --> 00:02:43.680]  起碼我們要脫離現世的捆綁
[00:02:43.680 --> 00:02:47.000]  以致我們不要常常做一個垂頭的基督徒
[00:02:47.000 --> 00:02:49.600]  我們要以我們自己的身份為榮
[00:02:49.600 --> 00:02:50.600]  其實很坦白
[00:02:50.600 --> 00:02:52.400]  無論你信不信耶穌也好
[00:02:52.400 --> 00:02:54.960]  我們都是面對著同樣的環境
[00:02:54.960 --> 00:02:55.360]  對不對?
[00:02:55.360 --> 00:02:56.640]  無論你信甚麼宗教
[00:02:56.640 --> 00:02:58.120]  現在疫情的出現
[00:02:58.120 --> 00:02:59.520]  每個人都是這樣的
[00:02:59.520 --> 00:03:01.560]  你說經濟上的壓力
[00:03:01.560 --> 00:03:02.760]  通脹的問題
[00:03:02.760 --> 00:03:05.760]  其實有很多地方比香港更糟糕
[00:03:05.760 --> 00:03:08.880]  我們的情況都不是太差
[00:03:08.880 --> 00:03:10.640]  但是某程度來說
[00:03:10.640 --> 00:03:11.840]  信了主和不信了主
[00:03:11.840 --> 00:03:13.520]  我們有甚麼不同呢?
[00:03:13.520 --> 00:03:15.440]  你問我心底裏面
[00:03:15.440 --> 00:03:16.960]  唯一一樣東西就是
[00:03:16.960 --> 00:03:18.680]  在一些很哲學性的問題裏面
