
[00:00:00.000 --> 00:00:02.460]  今天就Show Awakening
[00:00:02.460 --> 00:00:05.120]  我的心,你醒了沒有呢?
[00:00:05.120 --> 00:00:10.000]  旅遊觀光其實有些地方我不是很喜歡去的
[00:00:10.000 --> 00:00:14.520]  就是通常某些很高修飾
[00:00:14.520 --> 00:00:18.660]  或者很等本的製作電影電視
[00:00:18.660 --> 00:00:21.660]  通常都會搭一個電影城
[00:00:21.660 --> 00:00:24.880]  然後拍完後
[00:00:24.880 --> 00:00:26.380]  那些東西是不拆的
[00:00:26.380 --> 00:00:30.800]  帶團就會叫我們去觀光,去看這些影城
[00:00:30.800 --> 00:00:33.360]  不知道你看這些影城的時候有什麼感覺
[00:00:33.360 --> 00:00:37.640]  有沒有人覺得自己置身電影的世界其中
[00:00:37.640 --> 00:00:39.680]  變成了哈利波特
[00:00:39.680 --> 00:00:40.840]  有沒有這樣的?
[00:00:40.840 --> 00:00:42.840]  我變成了蝙蝠俠
[00:00:42.840 --> 00:00:48.760]  不知道你們看到那些報警版有什麼感覺
[00:00:48.760 --> 00:00:51.720]  可能你曾經看電影的時候
[00:00:51.720 --> 00:00:53.920]  你會覺得是很真實的場面
[00:00:53.920 --> 00:00:57.660]  但是原來去到現實,可能是幾塊木板
[00:00:57.660 --> 00:01:00.660]  一塊板後面是沒有東西的
[00:01:00.660 --> 00:01:02.920]  實質裏面是空的
[00:01:02.920 --> 00:01:06.980]  或者你拿起一個主角的道具,那個盾牌
[00:01:06.980 --> 00:01:10.060]  輕飄飄的,原來是膠
[00:01:10.060 --> 00:01:11.900]  沒有重量的
[00:01:11.900 --> 00:01:16.100]  當場好像毀滅了你一切的想象力
[00:01:16.100 --> 00:01:19.060]  當你看完這些影城,可能你都覺得挺有趣
[00:01:19.060 --> 00:01:22.060]  但是看完這些影城,你再回家看同一部電影
[00:01:22.060 --> 00:01:25.860]  你突然間覺得沒有了那種投入感和那種氣氛
[00:01:25.860 --> 00:01:26.980]  不知道你們會不會這樣
[00:01:26.980 --> 00:01:29.540]  你會覺得我去過,原來是假的
[00:01:29.540 --> 00:01:32.020]  那個盾牌是發泡膠
[00:01:32.020 --> 00:01:34.500]  原來很多東西是假的
[00:01:34.500 --> 00:01:39.020]  其實電影是很善用很多技巧來刺激我們的想象
[00:01:39.020 --> 00:01:41.020]  很多很激烈的感覺
[00:01:41.020 --> 00:01:43.900]  很歡欣的感覺,或者很傷心的感覺
[00:01:43.900 --> 00:01:46.060]  都是透過一些劇情
[00:01:46.060 --> 00:01:48.540]  產生出來,令我們有些情感
[00:01:48.540 --> 00:01:53.860]  這個叫電影有個靈魂
[00:01:53.860 --> 00:01:55.860]  去到那個影城你會發覺
[00:01:55.860 --> 00:01:57.620]  那個報警板就在那裏
[00:01:57.620 --> 00:01:59.620]  但是那個靈魂就不在那裏
[00:01:59.620 --> 00:02:02.540]  只有一些很空洞的板
[00:02:02.540 --> 00:02:04.660]  很死板,很呆滯
[00:02:04.660 --> 00:02:07.220]  同樣道理,原來人的生命裏面
[00:02:07.220 --> 00:02:08.740]  如果沒有了靈魂
[00:02:08.740 --> 00:02:11.220]  或者我們不關心我們的靈魂
[00:02:11.220 --> 00:02:13.220]  都是很死板,很呆滯
[00:02:13.220 --> 00:02:15.460]  生活是可以很呆滯
[00:02:15.460 --> 00:02:18.180]  你不知道每天就是這樣過的
[00:02:18.180 --> 00:02:20.180]  靈魂是很重要的
[00:02:20.180 --> 00:02:22.980]  如果我們在生活裏不理會靈魂
[00:02:22.980 --> 00:02:24.940]  情況就像你正在用你的手機
[00:02:24.940 --> 00:02:27.180]  有些人拿着手機出來玩
[00:02:27.180 --> 00:02:28.620]  拿着手機的時候
[00:02:28.620 --> 00:02:30.140]  你天天這樣用,你不發覺
[00:02:30.140 --> 00:02:33.860]  其實背後有個作業程式在運作
[00:02:33.860 --> 00:02:35.020]  你什麼時候發覺
[00:02:35.020 --> 00:02:36.260]  你會突然想起
[00:02:36.260 --> 00:02:38.540]  原來有個作業的程式呢
[00:02:38.540 --> 00:02:40.540]  你什麼時候會這樣想
[00:02:40.540 --> 00:02:42.700]  就是你的手機失靈的時候
[00:02:42.700 --> 00:02:44.300]  你壞了的時候
[00:02:44.300 --> 00:02:45.860]  你就會想
[00:02:45.860 --> 00:02:47.460]  作業程式出了問題
[00:02:47.460 --> 00:02:50.500]  或者你要重新去執行一些任務的時候
[00:02:50.500 --> 00:02:52.620]  你纔會開始去注意一些東西
[00:02:52.620 --> 00:02:53.980]  心靈也是一樣的
[00:02:53.980 --> 00:02:56.460]  當你的心靈輕積的時候
[00:02:56.460 --> 00:03:00.180]  你纔會注意原來你裏面有個心靈存在
[00:03:00.180 --> 00:03:01.380]  今天呢
[00:03:01.380 --> 00:03:05.380]  社會上很多人的心靈都是輕積的
[00:03:05.380 --> 00:03:07.980]  我們發覺
[00:03:07.980 --> 00:03:08.740]  因爲輕積
[00:03:08.740 --> 00:03:11.380]  人才開始越來越注意
[00:03:11.380 --> 00:03:13.980]  什麼叫做靈性的健康呢
[00:03:13.980 --> 00:03:17.020]  所以出現了很多講心靈健康的書
[00:03:17.020 --> 00:03:18.180]  如果你去成品
[00:03:18.180 --> 00:03:20.140]  去同浪灣的成品書店看
[00:03:20.140 --> 00:03:21.420]  你會發覺這些書
[00:03:21.420 --> 00:03:25.260]  永遠是高舉暢銷書的榜首
[00:03:25.260 --> 00:03:27.180]  那些頭十位裏面
[00:03:27.180 --> 00:03:29.580]  一定有關於心靈的書
[00:03:29.580 --> 00:03:31.460]  或者心理學的書
[00:03:31.460 --> 00:03:32.300]  但是
[00:03:32.300 --> 00:03:33.740]  如果人看了是有用的
[00:03:33.740 --> 00:03:34.540]  何必不停地出
[00:03:34.540 --> 00:03:36.420]  不停地暢銷呢
[00:03:36.420 --> 00:03:38.300]  你看完又看
[00:03:38.300 --> 00:03:40.260]  你又不見得靈性健康了
[00:03:40.260 --> 00:03:42.260]  但是這些書又繼續很暢銷
[00:03:42.260 --> 00:03:44.020]  反映一個什麼事實呢
[00:03:44.020 --> 00:03:44.700]  就是
[00:03:44.700 --> 00:03:46.460]  你讀多一點這些書
[00:03:46.460 --> 00:03:49.860]  心靈仍然是不滿足的
[00:03:49.860 --> 00:03:53.180]  近年有不少牧養年輕人的機構
[00:03:53.180 --> 00:03:55.260]  用了很多新的進路
[00:03:55.260 --> 00:03:56.620]  來幫助年輕人
[00:03:56.620 --> 00:03:59.620]  走出心靈很空虛的情況
[00:03:59.620 --> 00:04:02.540]  原來今天我們接收的資訊太多
[00:04:02.540 --> 00:04:04.780]  不是令我們的心靈更加豐富
[00:04:04.780 --> 00:04:06.820]  原來很多人說資訊太多
[00:04:06.820 --> 00:04:10.660]  是令我們的心靈更加貧乏的主要原因之一
[00:04:10.660 --> 00:04:11.820]  越多資訊
[00:04:11.820 --> 00:04:14.140]  原來在我們的腦裏塞了很多東西
[00:04:14.140 --> 00:04:17.020]  但我們的心靈卻會很貧乏
[00:04:17.020 --> 00:04:20.140]  原來很多機構已經開始想一件事
[00:04:20.140 --> 00:04:23.900]  不要想着我將聖經的真理告訴你
[00:04:23.900 --> 00:04:25.180]  我天天教你
[00:04:25.180 --> 00:04:27.500]  理性上令你明白信仰很多東西
[00:04:27.500 --> 00:04:29.260]  這羣年輕人就會成長
[00:04:29.260 --> 00:04:32.060]  原來今天要鼓勵年輕人
[00:04:32.060 --> 00:04:34.340]  要操練靈性
[00:04:34.340 --> 00:04:36.660]  什麼是靈性呢?就是要學習靜下來
[00:04:36.660 --> 00:04:39.300]  聆聽自己裏面的聲音
[00:04:39.300 --> 00:04:41.060]  然後讓神在那裏
[00:04:41.060 --> 00:04:43.220]  去更新我們的靈性
[00:04:43.220 --> 00:04:45.540]  有句經文很重要
[00:04:45.540 --> 00:04:49.260]  它說你們得救是在於悔改和安息
[00:04:49.260 --> 00:04:53.220]  你們得力是在於平靜和信靠
[00:04:53.220 --> 00:04:55.380]  這裏有四個很重要的字
[00:04:55.380 --> 00:04:57.780]  Repentance 悔改
[00:04:57.780 --> 00:05:00.060]  安息
[00:05:00.060 --> 00:05:02.260]  平靜
[00:05:02.260 --> 00:05:03.980]  信靠
[00:05:03.980 --> 00:05:06.220]  這四個字不是行動
[00:05:06.220 --> 00:05:10.060]  也不是新的資訊要我們學什麼
[00:05:10.060 --> 00:05:12.340]  其實四個字都叫我們停下來
[00:05:12.340 --> 00:05:13.940]  要我們靜下來
[00:05:13.940 --> 00:05:15.780]  要我們有一個空間
[00:05:15.780 --> 00:05:18.900]  去留意我們心靈的狀況
[00:05:18.900 --> 00:05:21.540]  今天的社會是一個很reactive的社會
[00:05:21.540 --> 00:05:24.260]  節奏就是有什麼發生你就回應
[00:05:24.260 --> 00:05:26.260]  有什麼發生你就去回應
[00:05:26.260 --> 00:05:28.660]  我相信要教年輕人
[00:05:28.660 --> 00:05:31.660]  重新重視一個安靜退休
[00:05:31.660 --> 00:05:32.780]  是很重要的
[00:05:32.780 --> 00:05:34.700]  其實你心裏有一個花園
[00:05:34.700 --> 00:05:37.020]  這個花園你不理它
[00:05:37.020 --> 00:05:38.820]  它有很多雜草
[00:05:38.820 --> 00:05:40.860]  荊棘會生出來
[00:05:40.860 --> 00:05:42.980]  然後在你的花園裏再看一看
[00:05:42.980 --> 00:05:44.220]  如果你審視一下你的花園
[00:05:44.220 --> 00:05:45.860]  原來是很混亂的
[00:05:45.860 --> 00:05:49.020]  你就要收集一下這個花園
[00:05:49.020 --> 00:05:51.820]  我相信這個是我們要悔改的地方
[00:05:51.820 --> 00:05:53.420]  也是神的恩典
[00:05:53.420 --> 00:05:55.780]  提醒我們再這樣下去
[00:05:55.780 --> 00:05:58.460]  我們不是頭腦上的基督徒
[00:05:58.460 --> 00:06:00.860]  我們是要有一個真正心靈裏面
[00:06:00.860 --> 00:06:03.340]  享到平靜安穩的基督徒
[00:06:03.340 --> 00:06:05.620]  所以這個社會已經很病
[00:06:05.620 --> 00:06:07.180]  這個經文講得很清楚
[00:06:07.180 --> 00:06:09.100]  要得救和得力
[00:06:09.100 --> 00:06:10.740]  要回到內心
[00:06:10.740 --> 00:06:12.820]  由那裏去改變
[00:06:12.820 --> 00:06:14.700]  什麼是心靈呢
[00:06:14.700 --> 00:06:17.260]  如果你看那些
[00:06:17.260 --> 00:06:18.220]  Google一下
[00:06:18.220 --> 00:06:20.140]  你把"soul"這個字
[00:06:20.140 --> 00:06:22.260]  放上Google搜索一下
[00:06:22.260 --> 00:06:24.660]  維基就會出了一句這樣的說話
[00:06:24.660 --> 00:06:25.300]  他說
[00:06:25.300 --> 00:06:29.300]  "In many religious, philosophical and mythological traditions"
[00:06:29.300 --> 00:06:32.740]  "the soul is the incorporeal essence of a living being"
[00:06:32.740 --> 00:06:33.980]  很複雜
[00:06:33.980 --> 00:06:34.940]  不知道說什麼
[00:06:34.940 --> 00:06:36.420]  其實說完之後就沒有說
[00:06:36.420 --> 00:06:39.020]  就是裏面那個最essence
[00:06:39.020 --> 00:06:42.100]  你的living being裏面最精要
[00:06:42.100 --> 00:06:44.660]  最重要的核心
[00:06:44.660 --> 00:06:45.740]  其實什麼是心靈
[00:06:45.740 --> 00:06:47.940]  我覺得不用搞得很複雜
[00:06:47.940 --> 00:06:49.740]  我們平時很喜歡做那些
[00:06:49.740 --> 00:06:50.900]  心心秀秀
[00:06:50.900 --> 00:06:52.180]  又這樣那些
