
[00:00:00.000 --> 00:00:05.900]  今天講題是「面對災難的反思 悔改與活出內」
[00:00:05.900 --> 00:00:12.940]  香港01對其中倖存者Will有這個訪問
[00:00:12.940 --> 00:00:17.620]  我展錄了中間一的部份
[00:00:17.620 --> 00:00:22.720]  今天Will在發明 回憶當時發生的事
[00:00:22.720 --> 00:00:26.740]  他從太太的電話中得知火災之後
[00:00:26.740 --> 00:00:29.300]  就準備更換衣服逃生
[00:00:30.080 --> 00:00:32.620]  正當他打開門那一剎那
[00:00:32.620 --> 00:00:36.500]  眼前就一刻 濃煙將他吞噬
[00:00:36.500 --> 00:00:42.220]  濃密的煙 令他連手機的電話都無法穿透
[00:00:42.220 --> 00:00:47.080]  他感到呼吸困難 就馬上關門回到家中
[00:00:47.080 --> 00:00:51.200]  當他知道大堂已經變成火海
[00:00:51.200 --> 00:00:56.640]  最後的求生路已經斷絕
[00:00:57.420 --> 00:01:05.100]  他知道自己將囚禁在這座名為「家」的煉獄之中
[00:01:05.100 --> 00:01:08.620]  他很冷靜地拿出濕毛巾自救
[00:01:08.620 --> 00:01:12.560]  但同時又聽到門外有人呼救
[00:01:12.560 --> 00:01:16.680]  他毫不猶豫 打開門衝出去
[00:01:16.680 --> 00:01:20.540]  短短十秒鐘 他發現眼淚水不停流
[00:01:20.540 --> 00:01:23.760]  咽喉感到灼熱 他就知道
[00:01:24.120 --> 00:01:30.060]  濃煙和熱度 令他知道再不會去不堪設想
[00:01:30.060 --> 00:01:33.380]  但同時他又摸到一對比較年長的夫婦
[00:01:33.380 --> 00:01:35.400]  拉了進去單位之內
[00:01:35.400 --> 00:01:40.440]  Will經歷了喉嚨的灼熱和眼淚水
[00:01:40.440 --> 00:01:49.900]  他知道一個典型煙霧進入了氣管的徵兆
[00:01:49.900 --> 00:01:53.360]  在漫長的等候緩救中
[00:01:54.040 --> 00:02:01.320]  他就將家中的水、襪、長褲給了這對年長的夫婦
[00:02:01.320 --> 00:02:04.160]  等候了數小時
[00:02:04.160 --> 00:02:07.240]  他說這段時間實在很長
[00:02:07.240 --> 00:02:11.240]  Will形容是一種徹底的無能為力
[00:02:11.240 --> 00:02:14.360]  比濃煙更令人窒息
[00:02:14.360 --> 00:02:19.480]  他嘗試透過電話向身在國外的母親報平安
[00:02:19.480 --> 00:02:23.440]  語氣冷靜 媽媽不用擔心
[00:02:24.240 --> 00:02:26.840]  消防員正在救我 我沒事
[00:02:26.840 --> 00:02:31.720]  然而收視那一刻 他眼中卻帶著淚光
[00:02:31.720 --> 00:02:35.120]  感覺那種生離死別
[00:02:35.120 --> 00:02:40.360]  最終在傍晚六時多 透過雲梯獲救
[00:02:40.360 --> 00:02:45.480]  Will先叫那對比較年長的夫婦先離開
[00:02:45.480 --> 00:02:49.280]  展現出人性的光輝
[00:02:49.280 --> 00:02:51.880]  他說我比較年輕 我還可以忍多一會
[00:02:51.880 --> 00:02:53.080]  你們先離開
[00:02:53.760 --> 00:02:58.480]  離開之前 他望著家中的四周
[00:02:58.480 --> 00:03:03.880]  想到曾經廢寢忘餐完成的模型
[00:03:03.880 --> 00:03:05.880]  限量版的收藏
[00:03:05.880 --> 00:03:08.160]  妻子重視的東西
[00:03:08.160 --> 00:03:11.560]  感慨我甚麼都想帶走
[00:03:11.560 --> 00:03:14.400]  卻甚麼都帶不走
[00:03:14.400 --> 00:03:18.520]  彷彿在這個家要作最後的道別
[00:03:19.440 --> 00:03:23.960]  身體脫險後 心靈的創傷才剛剛開始
[00:03:23.960 --> 00:03:27.160]  Will在醫院接受觀察時
[00:03:27.160 --> 00:03:31.040]  姑娘問他 你想不想趕急出院
[00:03:31.040 --> 00:03:34.480]  他搖頭 默不作聲 他深想
[00:03:34.480 --> 00:03:37.280]  我還有甚麼家可以回
[00:03:37.280 --> 00:03:42.680]  這個家 望著已經完結
[00:03:42.680 --> 00:03:45.920]  對他的失落和不確定性
[00:03:46.480 --> 00:03:49.560]  他領悟到一件事 在無上面前
[00:03:49.560 --> 00:03:51.640]  我們從來都不是主人
[00:03:51.640 --> 00:03:56.520]  是暫時脆弱的寄居者
[00:03:56.520 --> 00:04:01.560]  我們都見到很多很特別的場面
[00:04:01.560 --> 00:04:04.600]  一方面我們見到這次災難裏面
[00:04:04.600 --> 00:04:08.720]  的確有很多人性的醜惡暴露
[00:04:08.720 --> 00:04:13.120]  但同時我們都見到人性的光輝
[00:04:13.120 --> 00:04:16.280]  在面對災難的心態
[00:04:16.560 --> 00:04:19.400]  我們必須要有兩件事要細心
[00:04:19.400 --> 00:04:22.000]  第一就是我們自己的狀態
[00:04:22.000 --> 00:04:23.840]  要先好好照顧自己
[00:04:23.840 --> 00:04:27.360]  第二才有能力可以協助
[00:04:27.360 --> 00:04:29.760]  或者陪伴身邊有需要的人
[00:04:29.760 --> 00:04:33.040]  對於自己 如果我們發現
[00:04:33.040 --> 00:04:36.680]  不知不覺我們身體方面冒汗 頭暈
[00:04:36.680 --> 00:04:41.040]  甚至顫抖 疲乏 作嘔
[00:04:41.040 --> 00:04:45.680]  或者情緒方面 我們有震驚
[00:04:46.360 --> 00:04:49.080]  有內疚 有抑鬱 無助
[00:04:49.080 --> 00:04:54.520]  或者思想方面 我們常常見到災難的片段
[00:04:54.520 --> 00:04:58.040]  過份的警覺 或者行為方面
[00:04:58.040 --> 00:05:02.760]  為後不佳 不想和人接觸 失眠 做惡夢
[00:05:02.760 --> 00:05:05.000]  恐怕我們就需要停下來
[00:05:05.000 --> 00:05:07.920]  不要再看片段 安靜一下
[00:05:07.920 --> 00:05:11.800]  摸一下我們周圍 回到我們現有的處境
[00:05:12.400 --> 00:05:17.640]  呼吸慢慢吸入五秒鐘 停留五秒鐘
[00:05:17.640 --> 00:05:20.120]  慢慢用五秒鐘呼出
[00:05:20.120 --> 00:05:23.640]  讓我們感受到即時的感覺
[00:05:23.640 --> 00:05:26.000]  可以抽離那個場景
