
[00:00:00.000 --> 00:00:06.280]  母親節經常被安排說一些關於母親節的訊息
[00:00:06.280 --> 00:00:09.280]  但我不是第一次公開說
[00:00:09.280 --> 00:00:12.640]  我發覺挺難的
[00:00:12.640 --> 00:00:16.720]  因為母親節的訊息好像來來去去都是那些
[00:00:16.720 --> 00:00:20.000]  正經有六十六卷,要說其他可以很多
[00:00:20.000 --> 00:00:24.080]  但好像說媽媽,自己覺得好像都是說來說去那些
[00:00:24.080 --> 00:00:28.920]  但另外一個是我心裏最大的掙扎
[00:00:28.920 --> 00:00:32.200]  母親節我們很溫馨很開心
[00:00:32.200 --> 00:00:35.320]  很多禮物,很多花,去吃飯
[00:00:35.320 --> 00:00:38.520]  但我又會想,對某些人來說
[00:00:38.520 --> 00:00:41.600]  這個節日可能很沉重
[00:00:41.600 --> 00:00:43.440]  特別可能沒有了媽媽
[00:00:43.440 --> 00:00:46.480]  甚至可能媽媽沒有了小朋友,沒有了子女
[00:00:46.480 --> 00:00:49.040]  其實這是一個很沉重的
[00:00:49.040 --> 00:00:52.840]  所以我在想,要說甚麼呢?
[00:00:52.840 --> 00:00:55.200]  但神又給我一個媽媽的呼召
[00:00:55.200 --> 00:01:00.120]  就是要用媽媽的愛去愛神給我的弟兄姊妹
[00:01:00.120 --> 00:01:03.080]  去愛身邊的人
[00:01:03.080 --> 00:01:06.760]  所以這個又好像不能推搪
[00:01:06.760 --> 00:01:09.160]  我在想,我們經常覺得神的愛是甚麼呢?
[00:01:09.160 --> 00:01:11.400]  是天父的愛
[00:01:11.400 --> 00:01:15.640]  很父親的,你覺得是嗎?很爸爸的
[00:01:15.640 --> 00:01:20.760]  你可能覺得媽媽的愛好像跟天父沒有甚麼關係
[00:01:20.760 --> 00:01:26.040]  但我很深印象一首經文,就是以賽亞書
[00:01:26.040 --> 00:01:33.320]  它說「婦人焉能忘記他吃奶的嬰孩,不憐恤她的孩子」
[00:01:33.320 --> 00:01:36.040]  我們會覺得每個媽媽都不會忘記子女
[00:01:36.040 --> 00:01:37.960]  都很愛子女
[00:01:37.960 --> 00:01:39.760]  但又在我們的經歷,在我們的生命裏
[00:01:39.760 --> 00:01:42.680]  有時發覺,不是的
[00:01:42.680 --> 00:01:46.320]  很多人可能在媽媽的裏面經歷很多傷害
[00:01:46.320 --> 00:01:48.320]  但聖經這一節很寶貴
[00:01:48.320 --> 00:01:56.160]  它說即使我們在家庭成長中經歷一些傷害、傷痛
[00:01:56.160 --> 00:02:00.200]  但神應許我們,祂說甚麼?
[00:02:00.200 --> 00:02:02.200]  祂說祂不會忘記我們
[00:02:02.200 --> 00:02:05.080]  祂將我們刻在祂的掌上
[00:02:05.080 --> 00:02:08.800]  無論今天你是媽媽也好,不是也好
[00:02:08.800 --> 00:02:13.080]  我相信我們每個人都有一個身份,就是子女
