
[00:00:00.000 --> 00:00:03.000]  以下是一個的士司機的獨白
[00:00:03.000 --> 00:00:09.660]  二十年前,我靠駕的士來維生
[00:00:09.660 --> 00:00:12.480]  有一次,在半夜的時候
[00:00:12.480 --> 00:00:15.800]  我去到一棟黑沉沉的建築物
[00:00:15.800 --> 00:00:18.040]  除了在地下的一個單位
[00:00:18.040 --> 00:00:21.820]  有一些微弱的燈光之外
[00:00:21.820 --> 00:00:24.520]  就是黑沉沉
[00:00:24.520 --> 00:00:27.680]  在這種情況下,很多司機都只會
[00:00:27.680 --> 00:00:30.760]  響岸一次,或者最多兩次
[00:00:30.760 --> 00:00:34.760]  等一分鐘,然後就開車離開
[00:00:34.760 --> 00:00:37.200]  但是我見到太多貧困的人
[00:00:37.200 --> 00:00:41.320]  他們依靠的士作為他們唯一的交通工具
[00:00:41.320 --> 00:00:44.040]  除非在那個當時的環境
[00:00:44.040 --> 00:00:46.600]  我聞到有一些的危險
[00:00:46.600 --> 00:00:49.680]  我總是會去敲門
[00:00:49.680 --> 00:00:51.160]  我向自己說
[00:00:51.160 --> 00:00:55.240]  這個乘客可能是需要我幫助的人
[00:00:55.240 --> 00:00:59.040]  所以我走去門口敲門
[00:00:59.040 --> 00:01:02.760]  一把虛弱的老人的聲音回答說
[00:01:02.760 --> 00:01:05.760]  Just a minute,即是一分鐘
[00:01:05.760 --> 00:01:10.520]  我可以聽到在地板上拖動一些東西的聲音
[00:01:10.520 --> 00:01:15.760]  一段時間停頓之後,門打開
[00:01:15.760 --> 00:01:20.280]  一個八十多歲的老婦人站在我面前
[00:01:20.280 --> 00:01:23.720]  她穿著一條印花裙和一頂
[00:01:23.720 --> 00:01:25.720]  帶有面紗的帽子
[00:01:25.720 --> 00:01:28.960]  就像一個二十世紀、四十年代
[00:01:28.960 --> 00:01:31.720]  電影裡面的某一個角色
[00:01:31.720 --> 00:01:37.680]  在她身邊還有一個很小的尼龍的手提箱
[00:01:37.680 --> 00:01:41.560]  這個單位看起來好像很多年沒有人住
[00:01:41.560 --> 00:01:44.720]  所有的家具都蓋了布
[00:01:44.720 --> 00:01:46.720]  牆上沒有鐘
[00:01:46.720 --> 00:01:49.920]  廚櫃裡面沒有餐具
[00:01:49.920 --> 00:01:54.160]  在角落裡面是一個裝滿了相片
[00:01:54.160 --> 00:02:01.480]  和玻璃瓶杯杯碟碟的紙皮箱
[00:02:01.480 --> 00:02:05.720]  你可以幫我把行李帶上車上嗎?
[00:02:05.720 --> 00:02:07.920]  這位婦人這樣問
[00:02:07.920 --> 00:02:10.640]  我將她的行李放進行李箱
[00:02:10.640 --> 00:02:13.560]  然後回頭幫助這位女士
[00:02:13.560 --> 00:02:15.280]  她挽著我的手臂
[00:02:15.280 --> 00:02:18.400]  我們慢慢地走向路邊
[00:02:18.400 --> 00:02:22.080]  她不斷地感謝我的好意
[00:02:22.080 --> 00:02:25.480]  哦!不要客氣
[00:02:25.480 --> 00:02:27.040]  小事一樁
[00:02:27.040 --> 00:02:29.400]  我這樣對她說
[00:02:29.400 --> 00:02:32.800]  我只是試圖以我對待
[00:02:32.800 --> 00:02:39.240]  我自己媽媽一樣的方式來接待我的乘客
[00:02:39.240 --> 00:02:42.080]  她接著說:哦!你真是個好人
[00:02:42.080 --> 00:02:44.000]  當我們在車上的時候
[00:02:44.000 --> 00:02:46.000]  她遞給我一個地址
[00:02:46.000 --> 00:02:50.520]  然後問:你可不可以開車去市中心?
[00:02:50.520 --> 00:02:51.680]  我很快地回答她
[00:02:51.680 --> 00:02:54.800]  這不是最短的路程
[00:02:54.800 --> 00:02:56.760]  她說:我不介意
[00:02:56.760 --> 00:02:57.800]  我不急
[00:02:57.800 --> 00:03:01.760]  我只是要搬到一間安老院
[00:03:01.760 --> 00:03:03.520]  我望著倒後鏡
[00:03:03.520 --> 00:03:08.360]  我看到她眼裡閃閃發光
[00:03:08.360 --> 00:03:11.120]  她繼續說:我沒什麼家庭
[00:03:11.120 --> 00:03:14.720]  醫生說我的日子不會很長
[00:03:14.720 --> 00:03:20.360]  於是我就安靜地蓋上我的咪錶
[00:03:20.360 --> 00:03:24.920]  我問:你想我去哪?
[00:03:24.920 --> 00:03:27.840]  在接下來的兩個小時
[00:03:27.840 --> 00:03:30.400]  我們開車穿過市中心
[00:03:30.400 --> 00:03:33.720]  她向我展示了她曾經作為電梯操作員
[00:03:33.720 --> 00:03:36.040]  她工作的建築物
[00:03:36.040 --> 00:03:37.600]  我們開車穿過
[00:03:37.600 --> 00:03:42.080]  她和她丈夫在當年他們新婚的時候
[00:03:42.080 --> 00:03:45.000]  所住的一間舊屋
[00:03:45.000 --> 00:03:47.760]  她將我帶到一個倉庫前面
[00:03:47.760 --> 00:03:52.400]  這個倉庫曾經是一間的士高(Disco)
[00:03:52.400 --> 00:03:55.120]  在那裡她就好像其他一樣
[00:03:55.120 --> 00:04:01.560]  跟靈的一些女生一樣在那裡跳舞
[00:04:01.560 --> 00:04:05.800]  有時候她會讓我在一個特定的建築物
[00:04:05.800 --> 00:04:08.760]  或者角落之前叫我開慢一點
[00:04:08.760 --> 00:04:12.880]  然後她就望著黑暗
[00:04:12.880 --> 00:04:16.480]  什麼都沒有說
[00:04:16.480 --> 00:04:20.880]  隨著第一度陽光透在地平面上面
[00:04:20.880 --> 00:04:23.360]  她突然說:我累了
[00:04:23.360 --> 00:04:25.680]  我們現在走吧
[00:04:25.680 --> 00:04:28.400]  我們就這樣安靜的開車
[00:04:28.400 --> 00:04:31.040]  去到她給我的那個地址
[00:04:31.040 --> 00:04:34.360]  是一座低層的建築物
[00:04:34.360 --> 00:04:37.920]  好像一個復古的藝術品
[00:04:37.920 --> 00:04:40.720]  在車道上停下來
[00:04:40.720 --> 00:04:42.760]  兩個服務員走出來
[00:04:42.760 --> 00:04:46.040]  他們是善意的 是恩勤的
[00:04:46.040 --> 00:04:48.640]  照顧著她的一舉一動
[00:04:48.640 --> 00:04:54.080]  他們一直都在期待著這位婦人的來到
[00:04:54.080 --> 00:04:57.320]  我打開行李箱 將行李放到門口
[00:04:57.320 --> 00:05:01.560]  這位女士已經坐在輪椅上
[00:05:01.560 --> 00:05:04.640]  她問:多少錢?
[00:05:04.640 --> 00:05:08.360]  她伸手伸到自己的錢包裡
[00:05:08.360 --> 00:05:10.080]  我輕輕地拍一拍她
[00:05:10.080 --> 00:05:12.480]  「不用」
[00:05:12.480 --> 00:05:14.440]  「你要生活的」她說
[00:05:14.440 --> 00:05:17.920]  我告訴她還有其他乘客
[00:05:17.920 --> 00:05:19.800]  幾乎沒有想過
[00:05:19.800 --> 00:05:23.600]  我立刻彎腰給她一個擁抱
[00:05:23.600 --> 00:05:28.160]  她也緊緊地抱著我
[00:05:28.160 --> 00:05:34.920]  然後她說:「你送給了這位老婦人
[00:05:34.920 --> 00:05:40.720]  一些非常快樂的時光 多謝你」
[00:05:40.720 --> 00:05:42.600]  我握一握她的手
[00:05:42.600 --> 00:05:46.960]  然後我就走進昏暗的神光當中
[00:05:46.960 --> 00:05:52.400]  在我後面 我聽見門關上了
[00:05:52.400 --> 00:05:59.120]  這就是這位老婦人走進她生命的最後一程的聲音
[00:05:59.120 --> 00:06:02.880]  接著 我沒有再接任何其他乘客
[00:06:02.880 --> 00:06:05.040]  我漫無目的地開車
[00:06:05.040 --> 00:06:08.520]  在思想當中 我迷失
[00:06:08.520 --> 00:06:10.040]  在那一天的其餘時間
[00:06:10.040 --> 00:06:13.120]  我幾乎不能夠說話
[00:06:13.120 --> 00:06:14.160]  我在想
[00:06:14.160 --> 00:06:17.960]  如果那個女人得到一個憤怒的司機
[00:06:17.960 --> 00:06:22.480]  又或者一個不耐煩的司機 怎麼辦呢?
[00:06:22.480 --> 00:06:24.680]  如果我拒絕走去敲門
[00:06:24.680 --> 00:06:26.600]  又或者只是響安一次
[00:06:26.600 --> 00:06:31.120]  又或者被人趕走 那怎麼辦呢?
[00:06:31.120 --> 00:06:33.520]  在快速的回顧當中
[00:06:33.520 --> 00:06:35.200]  在我的生命當中
[00:06:35.200 --> 00:06:41.280]  我好像沒有做過任何一件比這件更重要的事情
[00:06:41.280 --> 00:06:43.800]  我們有條件認為
[00:06:43.800 --> 00:06:47.480]  圍繞著我們生命的都是一些快樂
[00:06:47.480 --> 00:06:50.360]  很偉大的時刻
[00:06:50.360 --> 00:06:54.280]  我們等著要做一些偉大的事情
[00:06:54.280 --> 00:06:55.800]  但是偉大的時刻
[00:06:55.800 --> 00:06:59.240]  卻是經常隱藏在我們不知道
[00:06:59.240 --> 00:07:01.240]  甚至不經意當中
[00:07:01.240 --> 00:07:07.880]  在別人都可能認為是一件極渺小的事情裡
[00:07:07.880 --> 00:07:10.320]  其實 有誰知道
[00:07:10.320 --> 00:07:14.600]  今天是不是我們生命的最後一程?
[00:07:14.600 --> 00:07:20.680]  我們或者仍然在等候生命裡的一些很偉大的時刻
[00:07:20.680 --> 00:07:22.280]  但是我們卻忘記了
[00:07:22.280 --> 00:07:23.680]  偉大的時刻
[00:07:23.680 --> 00:07:26.600]  經常是隱藏在我們不知道
