
[00:00:00.000 --> 00:00:03.000]  在上午九時到下午三時
[00:00:03.000 --> 00:00:06.000]  耶穌基督被釘在十字架上
[00:00:06.000 --> 00:00:08.000]  總共有六個小時
[00:00:08.000 --> 00:00:11.000]  祂在十字架上一共說了七句說話
[00:00:11.000 --> 00:00:13.000]  而這七句說話當中
[00:00:13.000 --> 00:00:18.000]  頭三句是在遍地黑暗之前所說的
[00:00:18.000 --> 00:00:22.000]  後四句說話是在遍地黑暗之後說的
[00:00:22.000 --> 00:00:27.000]  這七句說話我們稱為「十加七言」
[00:00:27.000 --> 00:00:30.000]  包含了基督教裏面的精華
[00:00:30.000 --> 00:00:34.000]  主在肉身痛苦心靈憂傷的時候
[00:00:34.000 --> 00:00:37.000]  仍然沒有忘記說出
[00:00:37.000 --> 00:00:41.000]  祂心裏面所記掛的事情
[00:00:41.000 --> 00:00:44.000]  可以看得到這七句說話
[00:00:44.000 --> 00:00:47.000]  實在是在耶穌基督離開世界之前
[00:00:47.000 --> 00:00:52.000]  很迫切對每一個信徒所說的話
[00:00:52.000 --> 00:00:59.000]  四福音的記載沒有太多詳細描述受苦的過程
[00:00:59.000 --> 00:01:03.000]  因為四福音的記載所要陳述的重點
[00:01:03.000 --> 00:01:07.000]  不是在這些血腥的情景
[00:01:07.000 --> 00:01:09.000]  今天就讓我們藉著
[00:01:09.000 --> 00:01:13.000]  耶穌基督在十架上所說的七句說話
[00:01:13.000 --> 00:01:18.000]  一同去紀念耶穌為我們受苦受死
[00:01:18.000 --> 00:01:21.000]  並且一同去思想這七句說話
[00:01:21.000 --> 00:01:25.000]  的教導和意義
[00:01:25.000 --> 00:01:35.000]  耶穌所說的第一句說話
[00:01:35.000 --> 00:01:39.000]  不是對曾經擁戴祂的人所說的
[00:01:39.000 --> 00:01:42.000]  因為這些人已經各散東西
[00:01:42.000 --> 00:01:46.000]  耶穌這句說話是對天父說的
[00:01:46.000 --> 00:01:50.000]  因為只有天父才有赦罪的能力
[00:01:50.000 --> 00:01:55.000]  釘十架在當時來說是執行法紀
[00:01:55.000 --> 00:01:58.000]  釘十架是公開的
[00:01:58.000 --> 00:02:02.000]  所以當時的人一定曾經見過
[00:02:02.000 --> 00:02:04.000]  因為就在公眾的地方
[00:02:04.000 --> 00:02:07.000]  就在一些人常常經過的地方
[00:02:07.000 --> 00:02:10.000]  當時的人一定會聽過
[00:02:10.000 --> 00:02:12.000]  就是聽過在釘十架當中
[00:02:12.000 --> 00:02:15.000]  那些被釘的人那種呼喊聲
[00:02:15.000 --> 00:02:16.000]  那種呻吟聲
[00:02:16.000 --> 00:02:19.000]  那種痛楚的聲音
[00:02:19.000 --> 00:02:23.000]  他們也都可能是曾經聞過
[00:02:23.000 --> 00:02:25.000]  就是當他們走過的時候
[00:02:25.000 --> 00:02:28.000]  聞到那些血腥的味道
[00:02:28.000 --> 00:02:30.000]  或者是聽到那些呼應
[00:02:30.000 --> 00:02:34.000]  那些昆蟲在騷擾的聲音
[00:02:34.000 --> 00:02:39.000]  釘十架就是一個極其殘酷的刑罰
[00:02:39.000 --> 00:02:41.000]  人被釘在十字架上
[00:02:41.000 --> 00:02:46.000]  就好像被釘讓人觀賞的一個標本一樣
[00:02:46.000 --> 00:02:47.000]  在當時來說
[00:02:47.000 --> 00:02:50.000]  民眾都認為被釘的人是應得的
[00:02:50.000 --> 00:02:52.000]  因為他們覺得這些人
[00:02:52.000 --> 00:02:55.000]  是不適合在社群裏面去生活
[00:02:55.000 --> 00:02:57.000]  甚至連動物都不如
[00:02:57.000 --> 00:02:59.000]  就好像我們今天形容
[00:02:59.000 --> 00:03:02.000]  只不過是人渣
[00:03:02.000 --> 00:03:07.000]  釘十架就是要表達示眾和羞辱
[00:03:07.000 --> 00:03:11.000]  是Display和Humiliate
[00:03:11.000 --> 00:03:16.000]  十字架就是最羞辱的表達
[00:03:16.000 --> 00:03:18.000]  但是耶穌的釘十架
[00:03:18.000 --> 00:03:22.000]  不是因為自己的罪
[00:03:22.000 --> 00:03:25.000]  是因為我們每一個人的罪
[00:03:25.000 --> 00:03:28.000]  因為我們的罪都歸到基督的身上
[00:03:28.000 --> 00:03:31.000]  好像希伯來書第十二章二節那裏說
[00:03:31.000 --> 00:03:34.000]  他因那擺在前面的喜樂
[00:03:34.000 --> 00:03:37.000]  就輕看羞辱
[00:03:37.000 --> 00:03:43.000]  忍受了十字架的苦難
[00:03:43.000 --> 00:03:46.000]  當一個人面對自己生命
[00:03:46.000 --> 00:03:49.000]  或者遭遇到生命最危險的時間
[00:03:49.000 --> 00:03:51.000]  我相信最自然不過就是
[00:03:51.000 --> 00:03:53.000]  他只是孤注自己
[00:03:53.000 --> 00:03:56.000]  他不會去關心其他人
[00:03:56.000 --> 00:03:58.000]  但是耶穌在這一刻
[00:03:58.000 --> 00:04:03.000]  他面對著指責、控訴、定罪
[00:04:03.000 --> 00:04:05.000]  是這樣在流血
[00:04:05.000 --> 00:04:07.000]  是這樣被暴力來對待
[00:04:07.000 --> 00:04:10.000]  手腳是被釘在十字架上面
[00:04:10.000 --> 00:04:13.000]  他所講的第一句說話
[00:04:13.000 --> 00:04:19.000]  竟然是「父啊,赦免他們」
[00:04:19.000 --> 00:04:21.000]  耶穌竟然為那些
[00:04:21.000 --> 00:04:25.000]  向祂施行酷刑的敵人
[00:04:25.000 --> 00:04:30.000]  來向父神祈禱
[00:04:30.000 --> 00:04:34.000]  我們每一個都是
[00:04:34.000 --> 00:04:38.000]  釘耶穌十字架酷刑的施行者
[00:04:38.000 --> 00:04:40.000]  酷刑的參與者
[00:04:40.000 --> 00:04:42.000]  我們每一個都有份
[00:04:42.000 --> 00:04:45.000]  釘耶穌基督在十字架上面
[00:04:45.000 --> 00:04:49.000]  是因著我們的罪
[00:04:49.000 --> 00:04:50.000]  耶穌基督的祈禱
[00:04:50.000 --> 00:04:54.000]  不單只是為當時施酷刑者
[00:04:54.000 --> 00:04:59.000]  也是為我們在座的每一個
[00:04:59.000 --> 00:05:01.000]  耶穌所講的
[00:05:01.000 --> 00:05:06.000]  就是向有罪的人伸出擁抱的手來
[00:05:06.000 --> 00:05:09.000]  因為世人的仇視
[00:05:09.000 --> 00:05:11.000]  釘耶穌十字架
[00:05:11.000 --> 00:05:14.000]  耶穌卻在十字架上面
[00:05:14.000 --> 00:05:25.000]  講出了饒恕、愛和赦免的說話
[00:05:25.000 --> 00:05:29.000]  耶穌基督這句說話提醒我們
[00:05:29.000 --> 00:05:32.000]  當我們今天面對任何不公平
[00:05:32.000 --> 00:05:34.000]  任何不合理的對待的時候
[00:05:34.000 --> 00:05:39.000]  我們要首先仰望著
[00:05:39.000 --> 00:05:44.000]  原來因為耶穌基督
[00:05:44.000 --> 00:05:47.000]  一早已經為每一個罪人
[00:05:47.000 --> 00:05:51.000]  向天父祈求赦免
[00:05:51.000 --> 00:05:54.000]  一早已經在十字架上面
