
[00:00:00.000 --> 00:00:03.200]  今日呢嚟到《彈耳你書》嘅第五章
[00:00:03.200 --> 00:00:04.800]  咁大家都知道呢
[00:00:04.800 --> 00:00:07.680]  巴比倫呢個帝國曾經
[00:00:07.680 --> 00:00:10.880]  攻陷咗,毀滅咗猶大國
[00:00:10.880 --> 00:00:13.760]  不過今日嘅故事呢就嚟到巴比倫帝國嘅
[00:00:13.760 --> 00:00:15.520]  即係終局啦
[00:00:15.520 --> 00:00:17.600]  一個嘅國家
[00:00:17.600 --> 00:00:20.800]  興起,一個嘅國家衰亡
[00:00:20.800 --> 00:00:23.840]  呢個永遠都係歷史裏面一個嘅事實,一個定律嚟嘅
[00:00:23.840 --> 00:00:26.880]  嚟到呢一刻呢,彈耳你大概已經係
[00:00:26.880 --> 00:00:28.800]  過咗六十歲嘅年紀
[00:00:28.800 --> 00:00:31.760]  不過呢就,從經文所睇到似乎呢
[00:00:31.760 --> 00:00:33.200]  佢並冇
[00:00:33.200 --> 00:00:36.400]  被呢一個嘅巴比倫王
[00:00:36.400 --> 00:00:38.640]  白沙薩王所縱容
[00:00:38.640 --> 00:00:42.480]  不過好得意呢就嚟到呢一個嘅,即係巴比倫將要陷
[00:00:42.480 --> 00:00:44.800]  將要淪陷嘅一刻
[00:00:44.800 --> 00:00:48.480]  彈耳你呢卻係被召回宮
[00:00:48.480 --> 00:00:53.040]  咁我地今日大家一齊睇睇呢一個嘅故事啦
[00:00:53.040 --> 00:00:55.760]  故事一開始嘅時候呢就發生喺一個嘅
[00:00:55.760 --> 00:00:58.720]  好大型嘅宴會,一個國家嘅宴會
[00:00:58.720 --> 00:01:01.760]  呢一個嘅白沙薩王呢,邀請咗過千嘅
[00:01:01.760 --> 00:01:05.040]  佢嘅臣僕嚟到一齊飲宴
[00:01:05.040 --> 00:01:08.560]  咁呢一個嘅飲宴呢,大概呢就係發生喺呢個
[00:01:08.560 --> 00:01:11.920]  主前嘅五百三十九年
