
[00:00:00.000 --> 00:00:02.480]  我在美國回來了幾天
[00:00:02.480 --> 00:00:05.480]  時間差不多了
[00:00:05.480 --> 00:00:07.240]  搞得定香港時間了
[00:00:07.240 --> 00:00:10.640]  回來後覺得香港很熱
[00:00:10.640 --> 00:00:13.080]  外國的空氣好一點
[00:00:13.080 --> 00:00:15.560]  我還沒回來之前
[00:00:15.560 --> 00:00:17.960]  曾經有一個教會的牧師
[00:00:17.960 --> 00:00:20.000]  哪間教會我不告訴你了
[00:00:20.000 --> 00:00:22.960]  他說我們現在教會很不濟
[00:00:22.960 --> 00:00:25.200]  主日崇拜都搞不定
[00:00:25.200 --> 00:00:28.160]  因為有些異端入侵
[00:00:28.160 --> 00:00:30.120]  我記得若干年前
[00:00:30.120 --> 00:00:33.160]  在中國天津有個女士
[00:00:33.160 --> 00:00:36.440]  姓鄧的 叫鄧閃電
[00:00:36.440 --> 00:00:38.480]  她說耶穌回來了
[00:00:38.480 --> 00:00:39.480]  這次是女人來的
[00:00:39.480 --> 00:00:41.240]  我就是啊
[00:00:41.240 --> 00:00:42.760]  其實保羅也說過
[00:00:42.760 --> 00:00:44.440]  在末世的時候
[00:00:44.440 --> 00:00:47.160]  有很多人冒主名而來
[00:00:47.160 --> 00:00:49.000]  為什麼教會搞得這麼亂呢
[00:00:49.000 --> 00:00:52.280]  因為他們普通會友和執事們
[00:00:52.280 --> 00:00:54.760]  對真理不是很清楚
[00:00:54.760 --> 00:00:56.760]  不是很明白
[00:00:58.160 --> 00:00:59.960]  有些人不讀聖經
[00:00:59.960 --> 00:01:02.000]  有些想讀也看不明白
[00:01:02.000 --> 00:01:04.560]  是要靠主日崇拜的牧師
[00:01:04.560 --> 00:01:07.440]  傳道人在台上講真理
[00:01:07.440 --> 00:01:09.120]  所以我在神面前
[00:01:09.120 --> 00:01:13.840]  曾經願意做一個系列
[00:01:13.840 --> 00:01:15.360]  叫做耶穌是誰
[00:01:15.360 --> 00:01:17.320]  Who is Jesus
[00:01:17.320 --> 00:01:20.400]  一共有20集
[00:01:20.400 --> 00:01:22.440]  半年前我來教會講第一集
[00:01:22.440 --> 00:01:26.200]  耶穌是道路 真理 生命
[00:01:26.200 --> 00:01:27.880]  我現在講第二集
[00:01:27.880 --> 00:01:30.360]  神的羔羊
[00:01:30.360 --> 00:01:33.720]  剛才牧師也說過
[00:01:33.720 --> 00:01:35.360]  神的羔羊除去世人罪孽
[00:01:35.360 --> 00:01:37.400]  這是施洗約翰所說的
[00:01:37.400 --> 00:01:39.840]  為什麼神要找一個羔羊呢
[00:01:39.840 --> 00:01:41.520]  我們獻祭就可以了
[00:01:41.520 --> 00:01:44.360]  以色列人每一年都在
[00:01:44.360 --> 00:01:46.400]  耶路撒冷的聖殿獻祭
[00:01:46.400 --> 00:01:49.680]  有繁祭 掃祭 平安祭 贅祭 贖獻祭
[00:01:49.680 --> 00:01:50.240]  就可以了
[00:01:50.240 --> 00:01:53.280]  但是獻祭之後
[00:01:53.280 --> 00:01:55.680]  第二年又要回來獻祭
[00:01:55.680 --> 00:01:58.360]  那些是預表
[00:01:58.360 --> 00:01:59.680]  我們剛才奉獻時間
[00:01:59.680 --> 00:02:00.840]  你放很多東西上去
[00:02:00.840 --> 00:02:02.480]  你放金錢上去
[00:02:02.480 --> 00:02:04.160]  你把你的時間放上去
[00:02:04.160 --> 00:02:06.600]  你把你的才華放上去
[00:02:06.600 --> 00:02:07.080]  可以嗎
[00:02:07.080 --> 00:02:07.760]  可以
[00:02:07.760 --> 00:02:08.720]  神喜不喜悅
[00:02:08.720 --> 00:02:10.200]  喜悅
[00:02:10.200 --> 00:02:12.000]  但是沒有一個祭品
[00:02:12.000 --> 00:02:14.400]  可以完完全全的滿足神
[00:02:14.400 --> 00:02:15.320]  沒有
[00:02:15.320 --> 00:02:17.000]  只有一個祭品可以滿足神
[00:02:17.000 --> 00:02:19.760]  就是神的羔羊
[00:02:19.760 --> 00:02:21.080]  耶穌一次獻上
[00:02:21.080 --> 00:02:23.440]  永遠生效
[00:02:23.440 --> 00:02:27.240]  所以我們現在的獻金就是奉獻時間
[00:02:27.240 --> 00:02:30.040]  你不單止把金錢放上去
[00:02:30.040 --> 00:02:33.240]  十一奉獻不算奉獻
[00:02:33.240 --> 00:02:35.880]  因為你所賺的十分之一
