
[00:00:00.000 --> 00:00:04.000]  今天和大家思想的是
[00:00:04.000 --> 00:00:08.440]  耶穌基督要建造祂自己的教會
[00:00:08.440 --> 00:00:12.720]  很多時候當我們思想到教會建堂的時候
[00:00:12.720 --> 00:00:16.840]  我們總是思想到我要付出多少
[00:00:16.840 --> 00:00:18.600]  我們能夠做到多少
[00:00:18.600 --> 00:00:22.080]  我們忘記了一個很重要的真理
[00:00:22.080 --> 00:00:24.560]  就是當我們說建堂的時候
[00:00:24.560 --> 00:00:26.760]  建立一間教會的時候
[00:00:26.760 --> 00:00:30.160]  這是主耶穌基督自己的工作
[00:00:30.160 --> 00:00:34.080]  所以今天是從一段經文和大家思想到
[00:00:34.080 --> 00:00:37.240]  當我們來到思考建堂的時候
[00:00:37.240 --> 00:00:41.040]  我們從聖經真理的角度
[00:00:41.040 --> 00:00:44.160]  我們應該怎樣去想呢?
[00:00:44.160 --> 00:00:48.440]  今天我們的經文是《馬太福音》第十六章
[00:00:48.440 --> 00:00:51.360]  十三至二十節
[00:00:51.360 --> 00:00:55.920]  請大家當我讀這段經文的時候
[00:00:55.920 --> 00:00:59.400]  大家仔細地去思想聖經裡面
[00:00:59.400 --> 00:01:01.240]  主耶穌所教導的
[00:01:01.240 --> 00:01:05.880]  關於建立教會的一些教導
[00:01:05.880 --> 00:01:08.240]  《馬太福音》第十六章十三節說
[00:01:08.240 --> 00:01:11.480]  「耶穌到了該撒尼亞肥勒比的境內
[00:01:11.480 --> 00:01:12.920]  就問門徒說
[00:01:12.920 --> 00:01:15.680]  有人說我人子是誰?
[00:01:15.680 --> 00:01:18.800]  他們說有人說是施贈的約翰
[00:01:18.800 --> 00:01:20.440]  有人說是以利亞
[00:01:20.440 --> 00:01:22.680]  又有人說是耶利米
[00:01:22.680 --> 00:01:25.280]  或是先知裡的一位
[00:01:25.280 --> 00:01:27.800]  耶穌說你們說我是誰?
[00:01:27.800 --> 00:01:29.160]  西門彼得回答說
[00:01:29.160 --> 00:01:30.240]  你是基督
[00:01:30.240 --> 00:01:32.760]  是永生神的兒子
[00:01:32.760 --> 00:01:34.120]  耶穌對他說
[00:01:34.120 --> 00:01:35.640]  西門巴約拿
[00:01:35.640 --> 00:01:37.360]  你是有福的
[00:01:37.360 --> 00:01:40.040]  因為這不是屬血肉的
[00:01:40.040 --> 00:01:41.240]  只是你的
[00:01:41.240 --> 00:01:43.720]  乃是我在天上的父
[00:01:43.720 --> 00:01:45.440]  只是你的」
[00:01:45.440 --> 00:01:46.600]  「我還告訴你
[00:01:46.600 --> 00:01:47.640]  你是彼得
[00:01:47.640 --> 00:01:49.600]  我要把我的教會
[00:01:49.600 --> 00:01:51.880]  建造在這盤石上
[00:01:51.880 --> 00:01:53.720]  陰間的權柄
[00:01:53.720 --> 00:01:55.520]  不能夠勝過他
[00:01:55.520 --> 00:01:58.000]  我要把天國的約時給你
[00:01:58.000 --> 00:02:00.600]  凡你在地上所捆綁的
[00:02:00.600 --> 00:02:02.720]  在天上也要捆綁
[00:02:02.720 --> 00:02:05.040]  凡在地上所釋放的
[00:02:05.040 --> 00:02:07.280]  在天上也要釋放
[00:02:07.280 --> 00:02:08.320]  當下
[00:02:08.320 --> 00:02:10.160]  耶穌祝福門徒
[00:02:10.160 --> 00:02:12.000]  不可對人說
[00:02:12.000 --> 00:02:14.040]  他是基督」
[00:02:14.040 --> 00:02:16.920]  這段很寶貴的經文
[00:02:16.920 --> 00:02:21.760]  耶穌以前說到他來世上要做的工作
[00:02:21.760 --> 00:02:26.000]  都是說到要建立神的國度
[00:02:26.000 --> 00:02:26.960]  天國近了
[00:02:26.960 --> 00:02:30.320]  所以你們要悔改
[00:02:30.320 --> 00:02:34.880]  耶穌是說到建立神的國度
[00:02:34.880 --> 00:02:36.320]  但在這裏
[00:02:36.320 --> 00:02:37.840]  他把範圍縮小一點
[00:02:37.840 --> 00:02:40.960]  說到教會
[00:02:40.960 --> 00:02:46.560]  這個就是
[00:02:46.560 --> 00:02:49.040]  耶穌基督來說
[00:02:49.040 --> 00:02:51.440]  教會
[00:02:51.440 --> 00:02:54.040]  和神的國度
[00:02:54.040 --> 00:02:56.200]  其實是同一樣東西
[00:02:56.200 --> 00:02:59.840]  當然天國、神的國度
[00:02:59.840 --> 00:03:03.560]  這個用詞的範圍闊一點
