
[00:00:00.000 --> 00:00:01.000]  丁智美早晨
[00:00:01.000 --> 00:00:03.000]  很高興見到大家
[00:00:03.000 --> 00:00:05.000]  我們一齊先來到禱稿
[00:00:05.000 --> 00:00:10.000]  天父我們多謝你讓我們一齊再一次有機會去崇拜
[00:00:10.000 --> 00:00:13.000]  因為每一次崇拜的機會都不是必然的
[00:00:13.000 --> 00:00:16.000]  在這個末世的時代有很多挑戰
[00:00:16.000 --> 00:00:18.000]  除了個人的挑戰
[00:00:18.000 --> 00:00:20.000]  還有在我們很多的環境
[00:00:20.000 --> 00:00:24.000]  很多陰霾在我們周邊一直影響著我們
[00:00:24.000 --> 00:00:26.000]  我們真是求主你
[00:00:26.000 --> 00:00:31.000]  好像由大叔教導保守我們自己在神的愛中
[00:00:31.000 --> 00:00:33.000]  仰望主耶穌基督的憐憫直到永生
[00:00:33.000 --> 00:00:36.000]  在這個末世有一個這樣的態度
[00:00:36.000 --> 00:00:38.000]  去依靠你
[00:00:38.000 --> 00:00:40.000]  在你的愛裡面去經歷
[00:00:40.000 --> 00:00:42.000]  主啊你的保守也是真實的
[00:00:42.000 --> 00:00:44.000]  我們去保守自己
[00:00:44.000 --> 00:00:46.000]  你也是保守我們
[00:00:46.000 --> 00:00:48.000]  主啊願你幫助我們
[00:00:48.000 --> 00:00:51.000]  一會兒在講道聽道的時間
[00:00:51.000 --> 00:00:53.000]  你與我們同在
[00:00:53.000 --> 00:00:56.000]  是有很多的限制
[00:00:56.000 --> 00:01:01.000]  講的也不是有很多時間去表達很多的內容
[00:01:01.000 --> 00:01:03.000]  但是主求你聖靈
[00:01:03.000 --> 00:01:05.000]  你是那位賜下聖經
[00:01:05.000 --> 00:01:08.000]  你是那位來感動人心的主
[00:01:08.000 --> 00:01:11.000]  求主幫助我們每一位聽道的
[00:01:11.000 --> 00:01:13.000]  無論是什麼狀態
[00:01:13.000 --> 00:01:15.000]  你感動我們
[00:01:15.000 --> 00:01:18.000]  讓我們聽到的不只是人的講解
[00:01:18.000 --> 00:01:21.000]  是神你自己與我們說話
[00:01:21.000 --> 00:01:23.000]  你感動我們的時候
[00:01:23.000 --> 00:01:26.000]  我們願意謹守遵行主的道
[00:01:26.000 --> 00:01:28.000]  我們多謝主與我們同在
[00:01:28.000 --> 00:01:30.000]  禱告奉耶穌基督的名字
[00:01:30.000 --> 00:01:32.000]  阿們
[00:01:32.000 --> 00:01:34.000]  有些人知道我的背景
[00:01:34.000 --> 00:01:39.000]  就是一個學習和教導全方的人
[00:01:39.000 --> 00:01:44.000]  我在香港最初在讀神學之前
[00:01:44.000 --> 00:01:47.000]  在一間機構叫做香港短期宣教訓練中心
[00:01:47.000 --> 00:01:49.000]  簡稱短宣中心來服侍
[00:01:49.000 --> 00:01:54.000]  我的機構很多時候叫弟兄姊妹奉獻自己
[00:01:54.000 --> 00:01:56.000]  然後去傳福音
[00:01:56.000 --> 00:01:58.000]  很多年之後我讀完神學
[00:01:58.000 --> 00:02:01.000]  在幕後會一段時間就回到母校
[00:02:01.000 --> 00:02:04.000]  在2010年年就回到短宣那裡去侍奉
[00:02:04.000 --> 00:02:07.000]  我當時就做一個導師
[00:02:07.000 --> 00:02:10.000]  其中我負責一個部門叫實習部
[00:02:10.000 --> 00:02:12.000]  實習部就是傳福音的
