
[00:00:00.000 --> 00:00:01.600]  底子媒早晨
[00:00:01.600 --> 00:00:04.320]  好,今天我們繼續我們登山補訓
[00:00:04.320 --> 00:00:07.040]  裡面的八福系列,第幾福今天?你猜一下
[00:00:07.040 --> 00:00:09.220]  中了武掌,第六福,OK?
[00:00:09.220 --> 00:00:10.980]  我們一起看看今天的經文,好嗎?
[00:00:10.980 --> 00:00:13.520]  OK?我們一起讀,好嗎?很短而已
[00:00:13.520 --> 00:00:16.520]  在《馬太福音》五章八節,一二三
[00:00:16.520 --> 00:00:20.520]  「清心的人有福了,因為他們必得見神」
[00:00:20.520 --> 00:00:21.620]  我們再說一次,好嗎?
[00:00:21.620 --> 00:00:25.020]  「清心的人有福了,因為他們必得見神」
[00:00:25.020 --> 00:00:27.320]  這句經文看來很簡單,很直接
[00:00:27.320 --> 00:00:28.620]  很容易明白,是不是?
[00:00:28.620 --> 00:00:31.320]  但其實很容易望聞新意
[00:00:31.320 --> 00:00:34.220]  我們很容易單從字面的方法去解釋
[00:00:34.220 --> 00:00:37.320]  即是犯了 reader response 的一個錯誤、毛病
[00:00:37.320 --> 00:00:39.320]  即是說按照自己的心態
[00:00:39.320 --> 00:00:41.320]  按照自己的感覺和認知
[00:00:41.320 --> 00:00:43.120]  去解釋這一句經文
[00:00:43.120 --> 00:00:45.820]  尤其是中國人會有很多誤解的
[00:00:45.820 --> 00:00:48.620]  我們都是佛教的底,有很多佛教的邏輯
[00:00:48.620 --> 00:00:52.120]  我們很容易誤解這個「清心」就是「清心寡慾」
[00:00:52.120 --> 00:00:54.920]  是嗎?「一心不亂」、「心無雜念」
[00:00:54.920 --> 00:00:59.420]  這種修煉,以致我們可以提升到可以見神的境界
[00:00:59.420 --> 00:01:01.620]  其實聖經不是這樣說的
[00:01:01.620 --> 00:01:03.420]  這個不是聖經的意思
[00:01:03.420 --> 00:01:05.520]  我們看聖經,我們需要怎樣?
[00:01:05.520 --> 00:01:08.420]  客觀地看,我們要以經解經
[00:01:08.420 --> 00:01:12.120]  如果我們看見這個「清心的人有福了,因為他們必得見神」
[00:01:12.120 --> 00:01:14.720]  這個脈絡的進路
[00:01:14.720 --> 00:01:17.020]  一定是看回詩篇二十四篇的
[00:01:17.020 --> 00:01:19.120]  我們一起看看詩篇二十四篇
[00:01:19.120 --> 00:01:21.720]  在第三節至第六節,我們一起讀,好嗎?
[00:01:21.720 --> 00:01:22.720]  一二三
[00:01:22.720 --> 00:01:26.920]  「誰能登耶和華的山,誰能站在他的聖所」
[00:01:26.920 --> 00:01:32.720]  「就是守結心清,不向虛妄,起誓不為詭詐的人」
[00:01:32.720 --> 00:01:37.720]  「他必蒙耶和華次福,又蒙救他的神使他成義」
[00:01:37.720 --> 00:01:42.520]  「者是尋求耶和華的族類,是尋求裡面的雅各」
[00:01:42.520 --> 00:01:46.120]  如果我們用詩篇的背景來看
[00:01:46.120 --> 00:01:49.020]  我們就可以更加明白「清心」是所謂何事
[00:01:49.020 --> 00:01:50.520]  我們先看看第一節
[00:01:50.520 --> 00:01:53.320]  第一節它這樣說,「誰能登耶和華的山」
[00:01:53.320 --> 00:01:55.320]  「登」原文來說就是「提升」
[00:01:55.320 --> 00:01:57.920]  「誰能提升到耶和華的山」
[00:01:57.920 --> 00:02:01.420]  誰可以站在他的聖所,很明顯說的是什麼呢?
[00:02:01.420 --> 00:02:04.420]  「敬拜」,以前就是「憲制」
[00:02:04.420 --> 00:02:07.920]  所以我們在「敬拜」或者「憲制」的基礎底下
[00:02:07.920 --> 00:02:10.920]  看回「守結心清」就更加明白
[00:02:10.920 --> 00:02:13.520]  「心清」是什麼一回事
[00:02:13.520 --> 00:02:14.720]  說你的「心」
[00:02:14.720 --> 00:02:17.620]  原文來說,「心」不是說你的「feeling」
[00:02:17.620 --> 00:02:19.520]  是說你的「意志」
[00:02:19.520 --> 00:02:21.920]  說你的「thinking」
[00:02:21.920 --> 00:02:24.320]  如果在「舊約」裡面
[00:02:24.320 --> 00:02:25.620]  我們要「敬拜」
[00:02:25.620 --> 00:02:28.120]  我們要「憲制」的基礎底下
