
[00:00:00.000 --> 00:00:03.160]  在《史詩記》三章十二節至三十節
[00:00:03.160 --> 00:00:06.200]  是我今天所宣講的聖經
[00:00:06.200 --> 00:00:10.320]  我打算讀十二節至第十七節
[00:00:10.320 --> 00:00:12.320]  請聽我讀出
[00:00:12.320 --> 00:00:18.880]  以色列人又行耶和華眼中看為惡的事
[00:00:18.880 --> 00:00:22.200]  耶和華使魔壓王伊基倫強大
[00:00:22.200 --> 00:00:23.800]  攻擊以色列
[00:00:23.800 --> 00:00:27.960]  因為他們行耶和華眼中看為惡的事
[00:00:27.960 --> 00:00:33.760]  伊基倫召集阿滿人和阿瑪力人到他眼裡
[00:00:33.760 --> 00:00:35.760]  他就去攻打以色列
[00:00:35.760 --> 00:00:37.760]  佔據了中樹城
[00:00:37.760 --> 00:00:43.760]  於是以色列人服侍魔壓王伊基倫十八年
[00:00:43.760 --> 00:00:46.160]  以色列人呼求耶和華
[00:00:46.160 --> 00:00:50.160]  耶和華就為他們興起一位拯救者
[00:00:50.160 --> 00:00:53.360]  變雅閩人基拉的兒子爾弗
[00:00:53.360 --> 00:00:56.560]  他是個慣用左手的人
[00:00:56.560 --> 00:01:00.760]  以色列人託他送禮物給魔壓王伊基倫
[00:01:00.760 --> 00:01:04.160]  爾弗打造了一把兩刃的劍
[00:01:04.160 --> 00:01:06.160]  長一短袖
[00:01:06.160 --> 00:01:10.560]  綁在右腿上衣服裡面
[00:01:10.560 --> 00:01:15.160]  他把禮物獻給魔壓王伊基倫
[00:01:15.160 --> 00:01:20.160]  我讀的經文到此為止
[00:01:20.160 --> 00:01:22.560]  我今天和大家分享一個訊息
[00:01:22.560 --> 00:01:24.560]  就是在神手中
[00:01:24.560 --> 00:01:27.760]  當我們讀《時詩記》的時候
[00:01:27.760 --> 00:01:30.360]  我們最熟悉的時詩是哪一個呢?
[00:01:30.360 --> 00:01:33.760]  我相信就是《雞癲》
[00:01:33.760 --> 00:01:35.560]  爾弗呢
[00:01:35.560 --> 00:01:37.960]  是我們很少讀的
[00:01:37.960 --> 00:01:39.760]  在我們人生裡面
[00:01:39.760 --> 00:01:42.960]  可能今天晚上聽到
[00:01:42.960 --> 00:01:46.360]  或者靈修都用過這個人物
[00:01:46.360 --> 00:01:49.360]  我是專門用爾弗這個人物
[00:01:49.360 --> 00:01:51.560]  就是告訴弟兄姊妹
[00:01:51.560 --> 00:01:55.360]  爾弗都在上帝手中
[00:01:55.360 --> 00:01:56.560]  一個籃球
[00:01:56.560 --> 00:01:58.960]  如果在我手中的時候
[00:01:58.960 --> 00:02:00.360]  我拍兩下
[00:02:00.360 --> 00:02:02.160]  扔去籃球板
[00:02:02.160 --> 00:02:04.760]  可能一撞就出界
[00:02:04.760 --> 00:02:06.760]  但是如果一個籃球
[00:02:06.760 --> 00:02:08.960]  米高佐敦拿著的時候
[00:02:08.960 --> 00:02:10.160]  一個轉身
[00:02:10.160 --> 00:02:12.760]  可以即時射個三分球
[00:02:12.760 --> 00:02:15.360]  問題在哪裡呢?
[00:02:15.360 --> 00:02:17.960]  在哪個人手上?
[00:02:17.960 --> 00:02:19.360]  一座鋼琴
[00:02:19.360 --> 00:02:22.160]  如果落在我手上
[00:02:22.160 --> 00:02:24.760]  我只懂得彈
[00:02:24.760 --> 00:02:27.760]  Do Re Mi Fa Sol La Ti Do
[00:02:27.760 --> 00:02:28.560]  是真的
[00:02:28.560 --> 00:02:30.760]  我不懂得彈
[00:02:30.760 --> 00:02:33.160]  但是如果一座鋼琴
[00:02:33.160 --> 00:02:35.760]  落在朗朗的紙下
[00:02:35.760 --> 00:02:38.360]  便能奏出一首美麗
[00:02:38.360 --> 00:02:42.360]  輕快很動人的蕭邦名曲
[00:02:42.360 --> 00:02:44.160]  問題在哪裡呢?
[00:02:44.160 --> 00:02:47.360]  落在哪一個人手上?
[00:02:47.360 --> 00:02:48.760]  一罐可樂
[00:02:48.760 --> 00:02:50.760]  如果郭富城拿著
[00:02:50.760 --> 00:02:52.960]  穿著閃爍的舞衣
[00:02:52.960 --> 00:02:54.960]  跳翻拍舞
[00:02:54.960 --> 00:02:57.560]  廣告費就值一萬
[00:02:57.560 --> 00:02:59.160]  如果今天
[00:02:59.160 --> 00:03:00.760]  穿了一套西裝
[00:03:00.760 --> 00:03:02.160]  站在這裡
[00:03:02.160 --> 00:03:03.960]  拿著一罐可樂
[00:03:03.960 --> 00:03:06.160]  沒有人找我拍廣告
[00:03:06.160 --> 00:03:08.160]  問題在哪裡呢?
[00:03:08.160 --> 00:03:11.160]  落在哪一個人手上?
[00:03:11.160 --> 00:03:13.360]  各位弟兄姊妹
[00:03:13.360 --> 00:03:14.560]  你們有沒有想過
[00:03:14.560 --> 00:03:17.360]  你整個人生
[00:03:17.360 --> 00:03:18.960]  在上帝的手中
[00:03:18.960 --> 00:03:21.760]  在神的手中
[00:03:21.760 --> 00:03:23.360]  我們是滿有價值
[00:03:23.360 --> 00:03:24.960]  滿有恩賜的人
[00:03:24.960 --> 00:03:29.360]  上帝很想使用你和我
[00:03:29.360 --> 00:03:30.560]  很奇妙的
[00:03:30.560 --> 00:03:31.760]  在聖經裡面
[00:03:31.760 --> 00:03:33.360]  不知道大家有沒有發覺
[00:03:33.360 --> 00:03:36.960]  當上帝使用任何一個人
[00:03:36.960 --> 00:03:40.760]  沒有一個人是完美的
[00:03:40.760 --> 00:03:42.560]  阿伯拉罕
[00:03:42.560 --> 00:03:44.160]  他多少歲呢?
[00:03:44.160 --> 00:03:47.960]  在吾爾 去加拿大
[00:03:47.960 --> 00:03:49.160]  七十五歲
[00:03:49.160 --> 00:03:52.360]  某個程度上是移民
