
[00:00:00.000 --> 00:00:02.140]  各位打拳姊妹,平安!
[00:00:02.140 --> 00:00:06.080]  今天我跟大家講的
[00:00:06.080 --> 00:00:08.060]  講題是「傷心」
[00:00:08.060 --> 00:00:10.820]  大家看完都知道我是「食字」的
[00:00:10.820 --> 00:00:14.000]  因為好像「收浸」的傳統之一也是「食字」
[00:00:14.000 --> 00:00:16.320]  「傷心」是什麼呢?
[00:00:16.320 --> 00:00:19.020]  就是帶著一種傷心
[00:00:19.020 --> 00:00:20.960]  或者是有些傷害
[00:00:20.960 --> 00:00:23.180]  總之硬著硬著地去相信
[00:00:23.180 --> 00:00:26.240]  我們看看怎樣可以走出這個「傷心」
[00:00:26.720 --> 00:00:31.680]  最平常就是我們經常都會遇到這個問題
[00:00:31.680 --> 00:00:34.660]  包括無論在學校還是在公司
[00:00:34.660 --> 00:00:38.680]  你都可能會被迫去接受別人的意見
[00:00:38.680 --> 00:00:39.900]  可能是你老闆
[00:00:39.900 --> 00:00:42.780]  總之有人強權逼壓你
[00:00:42.780 --> 00:00:46.200]  如果你被迫接受別人的意見的時候
[00:00:46.200 --> 00:00:47.360]  你會怎樣呢?
[00:00:47.360 --> 00:00:49.180]  大多數都會服從
[00:00:49.180 --> 00:00:49.700]  還是怎樣呢?
[00:00:49.700 --> 00:00:53.600]  因為別人給你出工資當然要服從
[00:00:53.600 --> 00:00:56.840]  那你那種「傷心」是會帶著一種
[00:00:56.840 --> 00:00:59.540]  有傷害性的「傷心」
[00:00:59.540 --> 00:01:00.440]  硬著的「傷心」
[00:01:00.440 --> 00:01:03.700]  還是真的「傷心」這個意見呢?
[00:01:03.700 --> 00:01:09.160]  那我又代入到我們對神又會怎樣呢?
[00:01:09.160 --> 00:01:13.580]  如果你的意見和神的意見是不同的時候
[00:01:13.580 --> 00:01:15.880]  你又會帶著哪一種「傷心」呢?
[00:01:15.880 --> 00:01:17.680]  是有「傷心」那種「傷心」
[00:01:17.680 --> 00:01:19.580]  還是真的「傷心」呢?
[00:01:19.580 --> 00:01:23.860]  那我發覺有件事是很好的
[00:01:23.860 --> 00:01:25.780]  就是在「相信」和「服從」上
[00:01:25.780 --> 00:01:29.100]  就是一個類似軍人的形式
[00:01:29.100 --> 00:01:30.580]  他們有軍訓
[00:01:30.580 --> 00:01:32.980]  因為我們知道他們什麼都…
