
[00:00:00.000 --> 00:00:02.200]  那今天我分享的信息是
[00:00:02.200 --> 00:00:04.800]  我以禱告來到你的聖殿
[00:00:04.800 --> 00:00:06.200]  那這一段的經文呢
[00:00:06.200 --> 00:00:08.500]  這個是赫赫本的這個翻譯
[00:00:08.500 --> 00:00:12.100]  他也是出於這個經文的第七節
[00:00:12.100 --> 00:00:16.700]  那這個昨天呢
[00:00:16.700 --> 00:00:18.400]  我有跟弟兄姊妹說的時候
[00:00:18.400 --> 00:00:19.000]  他說啊
[00:00:19.000 --> 00:00:20.800]  你要講這個吞拿魚
[00:00:20.800 --> 00:00:23.800]  吞拿魚講約拿的故事
[00:00:23.800 --> 00:00:26.900]  這個故事是我們每一個人耳熟能詳的
[00:00:26.900 --> 00:00:29.200]  甚至孩子們都很清楚
[00:00:29.200 --> 00:00:32.200]  他也被各種的卡通片可以表達出來
[00:00:32.200 --> 00:00:37.800]  他說的是約拿在漁父裡三天三夜的故事
[00:00:37.800 --> 00:00:39.300]  那弟兄姊妹們
[00:00:39.300 --> 00:00:40.900]  在我們的生命裡面呢
[00:00:40.900 --> 00:00:43.000]  我們也經常有這樣的低谷
[00:00:43.000 --> 00:00:44.700]  我們有遇見疾病
[00:00:44.700 --> 00:00:48.000]  我們有事業上 經濟上 或者感情上
[00:00:48.000 --> 00:00:50.600]  我們有很多的這樣的難處
[00:00:50.600 --> 00:00:52.200]  那這些難處呢
[00:00:52.200 --> 00:00:55.900]  常常使我們落在一個憂鬱的情況裡面
[00:00:55.900 --> 00:00:59.700]  我們落在一個生命的坑裡面
[00:00:59.700 --> 00:01:01.000]  那最近呢
[00:01:01.000 --> 00:01:02.700]  我所關心的一個姊妹
[00:01:02.700 --> 00:01:04.100]  她就跟我說
[00:01:04.100 --> 00:01:08.500]  說我在家裡嚎啕大哭一個小時
[00:01:08.500 --> 00:01:09.600]  那我就問她
[00:01:09.600 --> 00:01:11.200]  你是一個人嗎
[00:01:11.200 --> 00:01:12.900]  她說是的
[00:01:12.900 --> 00:01:14.200]  她利用這個病假
[00:01:14.200 --> 00:01:17.000]  她可以在家裡嚎啕大哭一個小時
[00:01:17.000 --> 00:01:18.800]  她說我現在好多了
[00:01:18.800 --> 00:01:21.700]  我雖然我心裡面心疼她
[00:01:21.700 --> 00:01:26.200]  但是當我想像她在神面前哭泣的時候
[00:01:26.200 --> 00:01:28.000]  最後有一個出路的時候
[00:01:28.000 --> 00:01:30.500]  我真的是為這個姊妹感恩
[00:01:30.500 --> 00:01:36.300]  我們一起低頭有一個禱告
[00:01:36.300 --> 00:01:38.600]  親愛的主耶穌
[00:01:38.600 --> 00:01:40.500]  謝謝祢的恩典
[00:01:40.500 --> 00:01:42.200]  謝謝祢的憐憫
[00:01:42.200 --> 00:01:43.600]  祢的眷顧
