
[00:00:00.000 --> 00:00:03.000]  好 各位弟兄姊妹 大家祝福平安
[00:00:03.000 --> 00:00:05.760]  非常開心見到大家
[00:00:05.760 --> 00:00:09.320]  今天我們繼續的來分享馬拉西基書
[00:00:09.320 --> 00:00:11.440]  我們這次是第二次
[00:00:11.440 --> 00:00:17.640]  今天是從馬拉基書的一章六節到二章九節
[00:00:17.640 --> 00:00:20.600]  有人勸日本一個非常有名的導演
[00:00:20.600 --> 00:00:23.800]  叫小金安二郎 很老的一個導演
[00:00:23.800 --> 00:00:26.480]  他拍的電影都差不多是黑白片了
[00:00:26.480 --> 00:00:28.720]  但是他很有名
[00:00:28.720 --> 00:00:31.240]  有人勸他就說你也拍點其他的東西吧
[00:00:31.240 --> 00:00:33.680]  不要老拍你原來的套路了
[00:00:33.680 --> 00:00:37.280]  他的回答就說我是開豆腐店的
[00:00:37.280 --> 00:00:41.480]  做豆腐的人去做咖喱飯或者是炸豬排
[00:00:41.480 --> 00:00:43.760]  一定不好吃
[00:00:43.760 --> 00:00:47.040]  有趣的是他有關電影的隨筆集
[00:00:47.040 --> 00:00:49.320]  書名就是我是開豆腐店的
[00:00:49.320 --> 00:00:53.000]  我只做豆腐
[00:00:53.000 --> 00:00:56.520]  另外我也很喜歡看一部日本的電影
[00:00:56.520 --> 00:00:59.680]  名叫《邊舟記》 我不知道大家看過沒有
[00:00:59.680 --> 00:01:01.520]  它故事其實一點都不複雜
[00:01:01.520 --> 00:01:06.240]  就是三代邊際一部字典
[00:01:06.240 --> 00:01:09.120]  房東老太太對於外表非常木訥
[00:01:09.120 --> 00:01:12.640]  卻熱衷於編字典的那位年輕房客說
[00:01:12.640 --> 00:01:16.560]  能在年輕的時候就找到自己想做的工作
[00:01:16.560 --> 00:01:18.280]  你真是幸福
[00:01:18.280 --> 00:01:22.400]  之後只要一路前行到底就得了
[00:01:22.400 --> 00:01:26.680]  據說在德語當中大師這個單詞的意思
[00:01:26.680 --> 00:01:28.640]  就是專注於某個行業
[00:01:28.640 --> 00:01:34.440]  並且在這個行業當中成為能手成為專家
[00:01:34.440 --> 00:01:38.840]  那今天我們來分享的馬拉基先知那個時代
[00:01:38.840 --> 00:01:42.080]  是公元前五世紀
[00:01:42.080 --> 00:01:46.120]  我們來分享的就是祭司這行
[00:01:46.120 --> 00:01:49.280]  在馬拉基書的六個神域當中
[00:01:49.280 --> 00:01:53.800]  這是第二個神域也是最長的神域
[00:01:53.800 --> 00:01:58.000]  最好的解釋就是因為他在說自己的本行
[00:01:58.000 --> 00:02:00.880]  因為馬拉基先知和耶利米先知
[00:02:00.880 --> 00:02:03.160]  還有以錫節先知
[00:02:03.160 --> 00:02:04.440]  有人說他們是一樣的
[00:02:04.440 --> 00:02:07.200]  都是做祭司的
[00:02:07.200 --> 00:02:10.040]  所以你看到這卷書裡面
[00:02:10.040 --> 00:02:12.280]  他非常關注祭司這個行當
[00:02:12.280 --> 00:02:18.120]  而且對於聖殿的禮儀非常的熟悉
[00:02:18.120 --> 00:02:20.560]  那也許就從這個內政來看
[00:02:20.560 --> 00:02:23.120]  他就是當先知的
[00:02:23.120 --> 00:02:27.360]  那今天我就照著這卷書的第二個神域的內容
[00:02:27.360 --> 00:02:32.480]  來分享聚焦在祭司這個職份上
[00:02:32.480 --> 00:02:34.040]  這段經文挺長
[00:02:34.040 --> 00:02:35.560]  他可以分成兩個部分
[00:02:35.560 --> 00:02:39.400]  第一個部分就是一章六節到十四節
[00:02:39.400 --> 00:02:41.960]  那就是整個一章後面的部分
[00:02:41.960 --> 00:02:46.880]  他談到的就是祭司的職責之一就是獻祭
[00:02:46.880 --> 00:02:49.360]  那麼二章一到九節
[00:02:49.360 --> 00:02:51.320]  就是我們今天講的第二個部分
[00:02:51.320 --> 00:02:55.360]  他說祭司的職責之二就是教導
[00:02:55.360 --> 00:02:57.200]  我們看這段經文
[00:02:57.200 --> 00:02:59.200]  因為經文挺長的
[00:02:59.200 --> 00:03:02.160]  我們就聽我來讀
[00:03:02.160 --> 00:03:06.240]  聖經其實最初是一個口傳的傳統
[00:03:06.240 --> 00:03:08.840]  聚會的時候不是人手一本聖經
[00:03:08.840 --> 00:03:14.280]  而是聽傳道人或者聽祭司來讀一段經文
[00:03:14.280 --> 00:03:18.120]  那今天我們就嘗試來聆聽
[00:03:18.120 --> 00:03:20.800]  從一章六節開始
[00:03:20.800 --> 00:03:22.600]  藐視我名的祭司
[00:03:22.600 --> 00:03:24.960]  萬鈞之耶和華對你們說
[00:03:24.960 --> 00:03:27.000]  兒子尊敬父親
[00:03:27.000 --> 00:03:29.160]  僕人敬畏主人
[00:03:29.160 --> 00:03:32.400]  我既為父親尊敬我的在哪裡呢
[00:03:32.400 --> 00:03:35.600]  我既為主人敬畏我的在哪裡呢
[00:03:35.600 --> 00:03:40.000]  你們卻說我們在和事上藐視你的名呢
[00:03:40.000 --> 00:03:42.720]  你們將污穢的實物獻在我的壇上
[00:03:42.720 --> 00:03:47.120]  且說我們在和事上污穢你呢
[00:03:47.120 --> 00:03:51.240]  因你們說耶和華的桌子是可藐視的
[00:03:51.240 --> 00:03:53.680]  你們將瞎眼的獻為祭物
[00:03:53.680 --> 00:03:55.240]  這不為惡嗎
[00:03:55.240 --> 00:03:57.360]  將瘸腿的有病的獻上
[00:03:57.360 --> 00:03:59.720]  這不為惡嗎
[00:03:59.720 --> 00:04:01.480]  你獻給你的省長
[00:04:01.480 --> 00:04:03.720]  他豈喜悅你
