
[00:00:00.000 --> 00:00:03.000]  各位靈姐妹早晨 各位來賓早晨
[00:00:03.000 --> 00:00:05.000]  很歡迎大家來到我們這裡一起
[00:00:05.000 --> 00:00:08.000]  當中來到去聆聽上帝的說話
[00:00:08.000 --> 00:00:12.000]  一起來到去思想上帝給我們的啟發
[00:00:12.000 --> 00:00:15.000]  又願意我們不單止來到去聽
[00:00:15.000 --> 00:00:19.000]  聽完之後更加去實踐 去見證主的恩典
[00:00:19.000 --> 00:00:22.000]  《已不鎖書》來到第六章的結束部分
[00:00:22.000 --> 00:00:26.000]  我相信大家都會大概在過去的日子當中
[00:00:26.000 --> 00:00:32.000]  對《已不鎖書》有一個略略的了解和認識
[00:00:32.000 --> 00:00:37.000]  《已不鎖書》裡面的焦點就在於教會的身分和角色
[00:00:37.000 --> 00:00:40.000]  或者我們可能在今天我們都問一個問題
[00:00:40.000 --> 00:00:45.000]  就是今天的教會要面對著的是什麼一回事呢?
[00:00:45.000 --> 00:00:47.000]  我們扮演著什麼角色?
[00:00:47.000 --> 00:00:51.000]  或者甚至乎教會面對著一個什麼的挑戰呢?
[00:00:51.000 --> 00:00:56.000]  現代人對信仰不像以前那樣
[00:00:56.000 --> 00:01:00.000]  很正面的去挑戰或者反對
[00:01:00.000 --> 00:01:03.000]  或者現代人對信仰有一個新的一個
[00:01:03.000 --> 00:01:06.000]  或者已經有很久的日子就是冷漠
[00:01:06.000 --> 00:01:10.000]  上帝你有你的生活 我有我的忙碌
[00:01:10.000 --> 00:01:13.000]  我的事不需要你管
[00:01:13.000 --> 00:01:19.000]  甚至乎在教會裡面可能都會出現有類似的情況
[00:01:19.000 --> 00:01:22.000]  有些這麼小的事情我不用跟上帝說的
[00:01:22.000 --> 00:01:25.000]  我不需要去求問上帝
[00:01:25.000 --> 00:01:28.000]  我都可以了 這些事情
[00:01:28.000 --> 00:01:31.000]  可能你都會甚至乎
[00:01:31.000 --> 00:01:38.000]  想想有沒有試過買電腦之前 買手機之前祈禱呢?
[00:01:38.000 --> 00:01:42.000]  上帝我想不需要我升級呢?
[00:01:42.000 --> 00:01:44.000]  或者可能今天的人就會笑
[00:01:44.000 --> 00:01:46.000]  李牧鮮你真是outday
[00:01:46.000 --> 00:01:50.000]  隨便吧 這些很小事而已
[00:01:50.000 --> 00:01:52.000]  你給得起就買吧
[00:01:52.000 --> 00:01:56.000]  你想做就做得到的
[00:01:56.000 --> 00:02:01.000]  又不是什麼飯食界的東西就做吧
[00:02:01.000 --> 00:02:03.000]  但這個就是現代人的生活
[00:02:03.000 --> 00:02:05.000]  甚至乎這種的思考方式
[00:02:05.000 --> 00:02:09.000]  這種的想法影響了今天我們信徒
[00:02:09.000 --> 00:02:13.000]  一個很重要的學習就是依靠主
[00:02:13.000 --> 00:02:19.000]  以弗所恕正正是透過一個很重要的提醒
[00:02:19.000 --> 00:02:22.000]  我們教會的使命 角色 挑戰
[00:02:22.000 --> 00:02:30.000]  讓我們重新去思想我們這個教會屬天的群體的意義
[00:02:30.000 --> 00:02:34.000]  讓我們一起來同心圖告
[00:02:34.000 --> 00:02:37.000]  出靠你的聖靈來引導我們
[00:02:37.000 --> 00:02:40.000]  讓你的靈帶領著我們進入經文裡面
[00:02:40.000 --> 00:02:46.000]  讓我們透過聖經認識這位向我們啟示的上帝
[00:02:46.000 --> 00:02:49.000]  透過歷史讓我們看到
[00:02:49.000 --> 00:02:54.000]  上帝在我們生命裡面所呈現的一切
[00:02:54.000 --> 00:02:59.000]  幫助我們明白真理 熱愛聖經
[00:02:59.000 --> 00:03:00.000]  願神來帶領我們
[00:03:00.000 --> 00:03:03.000]  我們圖告奉耶穌基督的聖名祈求 阿們
[00:03:06.000 --> 00:03:14.000]  當我去回顧整個以弗所恕的過程的時候
[00:03:14.000 --> 00:03:17.000]  我看到整個以弗所恕的論述裡面
[00:03:17.000 --> 00:03:21.000]  有好幾個引起我的興趣
[00:03:21.000 --> 00:03:23.000]  讓我多一點盡心去思考
[00:03:23.000 --> 00:03:27.000]  究竟以弗所恕保羅寫這個書信的時候
[00:03:27.000 --> 00:03:31.000]  他要以弗所教會看到的是什麼呢?
[00:03:31.000 --> 00:03:36.000]  或者以弗所教會要作見證的是什麼一回事呢?
[00:03:36.000 --> 00:03:44.000]  或者我想先來提出幾個有意思值得我們思考的地方
[00:03:44.000 --> 00:03:47.000]  在以弗所恕裡面第三章的十節
[00:03:47.000 --> 00:03:52.000]  講了我們要向靈界見證上帝
[00:03:52.000 --> 00:03:55.000]  以弗所恕三章的十節裡面
[00:03:55.000 --> 00:04:02.000]  他這樣講:為要藉著教會使天上執政的、掌權的、現在得知神百般的智慧
[00:04:02.000 --> 00:04:08.000]  教會來向天上的靈界見證
[00:04:08.000 --> 00:04:14.000]  一個很尋常、不平凡的表達
[00:04:14.000 --> 00:04:17.000]  教會要向靈界作見證
[00:04:17.000 --> 00:04:18.000]  作什麼見證呢?
[00:04:18.000 --> 00:04:23.000]  而在以弗所恕第四章裡面的第三節裡面
[00:04:23.000 --> 00:04:27.000]  他提出一個很有意思讓我們去做的事情
[00:04:27.000 --> 00:04:33.000]  就是要用和平彼此聯絡、竭力保守聖靈所賜合而為一的心
[00:04:33.000 --> 00:04:36.000]  一個合一的教訓、合一的教導
[00:04:36.000 --> 00:04:39.000]  擺了給教會
[00:04:39.000 --> 00:04:41.000]  教會要合一
[00:04:41.000 --> 00:04:47.000]  其實這件事講到今天還在講
[00:04:47.000 --> 00:04:55.000]  講了二千年或者可能還要講二千年直至到主耶穌再來的日子
[00:04:55.000 --> 00:05:00.000]  一個持久又艱苦的戰爭
[00:05:00.000 --> 00:05:04.000]  很不簡單、不尋常的一個合一的功課
[00:05:04.000 --> 00:05:08.000]  竟然是在教會裡面要學的一個增賤
[00:05:08.000 --> 00:05:12.000]  而另一個就是在以弗所恕第四章的十一至十四節裡面
[00:05:12.000 --> 00:05:19.000]  他提出一個我們要去成長
[00:05:19.000 --> 00:05:23.000]  他說第十一節裡面他這麼說
[00:05:23.000 --> 00:05:28.000]  他說他所賜的有使徒、有先知、有傳福音的有牧師和教師
[00:05:28.000 --> 00:05:30.000]  留意這裡講了十二節
[00:05:30.000 --> 00:05:35.000]  他說為要成全聖徒各盡其職建立基督的身體
[00:05:35.000 --> 00:05:37.000]  我們在讀這個和合本
[00:05:37.000 --> 00:05:42.000]  直等到我們眾人在真道上同歸於一認識神的兒子
[00:05:42.000 --> 00:05:46.000]  得以長大成人滿有基督長成的新娘
[00:05:46.000 --> 00:05:51.000]  使我們不再作小孩子中了人的詭計和欺騙的法術
[00:05:51.000 --> 00:05:54.000]  被一切以教之風搖動
[00:05:54.000 --> 00:06:00.000]  飄來飄去就隨從各樣的異端
[00:06:00.000 --> 00:06:06.000]  保羅在講教會有個成長的責任
[00:06:06.000 --> 00:06:10.000]  要成長是一路一路將基督的身體
[00:06:10.000 --> 00:06:12.000]  教會就是基督的身體要長成
[00:06:12.000 --> 00:06:16.000]  所以這個教會其中一個很重要的使命
[00:06:16.000 --> 00:06:20.000]  就是要成全聖徒建立教會
[00:06:20.000 --> 00:06:27.000]  你和我有這個責任
[00:06:27.000 --> 00:06:33.000]  將教會的身體或者將我們做得更加好
[00:06:33.000 --> 00:06:35.000]  我們彼此建立
[00:06:35.000 --> 00:06:40.000]  成全聖徒各盡其職
[00:06:40.000 --> 00:06:41.000]  這就是關鍵
[00:06:41.000 --> 00:06:45.000]  原來我們要大家緊守自己的崗位
[00:06:45.000 --> 00:06:49.000]  去服事去成長
[00:06:49.000 --> 00:06:51.000]  而服事成長的目的
[00:06:51.000 --> 00:06:57.000]  就是要向這個靈界榮耀上帝
[00:06:57.000 --> 00:07:01.000]  另一個重點就是今次我們所提到經文的內容
[00:07:01.000 --> 00:07:02.000]  其中一節
[00:07:02.000 --> 00:07:05.000]  我們已忽所書的六章十二節裏面
[00:07:05.000 --> 00:07:08.000]  提到我們要向這個屬靈的
[00:07:08.000 --> 00:07:11.000]  靈界的惡魔
[00:07:11.000 --> 00:07:13.000]  要面對他對我們的挑戰
[00:07:13.000 --> 00:07:18.000]  我們要抵擋他的攻擊
[00:07:18.000 --> 00:07:21.000]  在這幾個重點裏面
[00:07:21.000 --> 00:07:24.000]  讓我們看到整個已忽所書的內容
[00:07:24.000 --> 00:07:29.000]  就以一個教會合一成為一個主線
[00:07:29.000 --> 00:07:32.000]  他提出教會需要用一個合一的見證
[00:07:32.000 --> 00:07:36.000]  來向靈界榮耀上帝的使命
[00:07:36.000 --> 00:07:39.000]  一個很不簡單的教導
[00:07:39.000 --> 00:07:43.000]  就由第一章開始的七至十四節引出來
[00:07:43.000 --> 00:07:45.000]  普羅來鼓勵教會
[00:07:45.000 --> 00:07:48.000]  要用一個屬天的眼光
[00:07:48.000 --> 00:07:52.000]  屬靈的眼界來看待教會
[00:07:52.000 --> 00:07:59.000]  看待這個作為屬於上帝的群體的身份
[00:07:59.000 --> 00:08:05.000]  屬於上帝的子民的身份和使命
[00:08:05.000 --> 00:08:10.000]  教會不單單是向地上展示
[00:08:10.000 --> 00:08:13.000]  在地上向人展示上帝的榮耀
[00:08:13.000 --> 00:08:18.000]  更加是向上帝的靈界展示上帝的榮耀
[00:08:18.000 --> 00:08:23.000]  已忽所書在第一章二十二至二十三節裏面提醒我們
[00:08:23.000 --> 00:08:30.000]  教會有這個屬天的元素是因為耶穌基督
[00:08:30.000 --> 00:08:36.000]  普羅把教會放在耶穌基督的關係上
[00:08:36.000 --> 00:08:38.000]  特別是二十二至二十三節他這樣說
[00:08:38.000 --> 00:08:41.000]  他又將萬有服在他的腳下
[00:08:41.000 --> 00:08:45.000]  使他為教會作萬有之首指的是耶穌基督
[00:08:45.000 --> 00:08:49.000]  教會是他的身體是那充滿萬有者所充滿的
[00:08:49.000 --> 00:08:54.000]  將萬有平衡於教會
[00:08:54.000 --> 00:08:59.000]  顯現出很奇妙的一個關係
[00:08:59.000 --> 00:09:05.000]  這個群體原來在本質上屬天的超越性
[00:09:05.000 --> 00:09:09.000]  就透過耶穌基督和教會的關係和我們的關係
[00:09:09.000 --> 00:09:11.000]  展現出來
[00:09:11.000 --> 00:09:14.000]  既然教會是一群屬天的子民
[00:09:14.000 --> 00:09:18.000]  這個屬天的意義就令我們意識到
[00:09:18.000 --> 00:09:20.000]  我們本身的寶貴
[00:09:20.000 --> 00:09:22.000]  我們的價值
[00:09:22.000 --> 00:09:26.000]  原來是由這位創造生命的上帝
[00:09:26.000 --> 00:09:29.000]  這位三位一體的上帝所賦予的
[00:09:29.000 --> 00:09:34.000]  即是說教會群體上帝子民弟兄姊妹們
[00:09:34.000 --> 00:09:36.000]  你和我
[00:09:36.000 --> 00:09:38.000]  是絕對不簡單的
[00:09:38.000 --> 00:09:44.000]  用今天的潮語很多的超字的話
[00:09:44.000 --> 00:09:46.000]  超級珍貴的
[00:09:46.000 --> 00:09:48.000]  超級奇妙的
[00:09:48.000 --> 00:09:50.000]  我都不喜歡用這些超字
[00:09:50.000 --> 00:09:52.000]  而是為了用一個這樣的表達
[00:09:52.000 --> 00:09:58.000]  不能夠完全用言語來表現出來的一份奇妙的身份
[00:09:58.000 --> 00:10:01.000]  這個上帝的子民
[00:10:01.000 --> 00:10:05.000]  本來就是用這種超越的眼光來看教會
[00:10:05.000 --> 00:10:07.000]  看自己的身份
[00:10:07.000 --> 00:10:09.000]  但我們可以在他的著作裏面
[00:10:09.000 --> 00:10:10.000]  很多的書信裏面
[00:10:10.000 --> 00:10:14.000]  看到他每次在他勉勵教會弟兄姊妹的時候
[00:10:14.000 --> 00:10:17.000]  縱然自己是身陷囹圄
