
[00:00:00.000 --> 00:00:01.920]  看看這張powerpoint
[00:00:01.920 --> 00:00:05.800]  在生命中有一件事
[00:00:05.800 --> 00:00:08.260]  其實在我們人生每一個階段裏面
[00:00:08.260 --> 00:00:10.040]  都是一些很重要的事
[00:00:10.040 --> 00:00:13.320]  就這個BB來說
[00:00:13.320 --> 00:00:16.040]  BB在出生的時候
[00:00:16.040 --> 00:00:18.320]  他最重要的一件事就是
[00:00:18.320 --> 00:00:19.440]  好好地喝奶
[00:00:19.440 --> 00:00:20.960]  好好地睡覺
[00:00:20.960 --> 00:00:21.780]  對嗎?
[00:00:21.780 --> 00:00:23.360]  作為父母
[00:00:23.360 --> 00:00:26.260]  你很希望你的BB就是做這兩件事
[00:00:26.260 --> 00:00:28.280]  當他長大了的時候
[00:00:28.780 --> 00:00:31.680]  父母也很期盼一件事
[00:00:31.680 --> 00:00:33.980]  當他是兒童到青少年
[00:00:33.980 --> 00:00:35.300]  這裏有些家長
[00:00:35.300 --> 00:00:36.720]  你最期盼你的青少年
[00:00:36.720 --> 00:00:39.660]  你的兒女讀書的時候最重要的是什麼?
[00:00:39.660 --> 00:00:42.440]  好好的讀書
[00:00:42.440 --> 00:00:45.340]  當他成長的時候
[00:00:45.340 --> 00:00:46.760]  出來了
[00:00:46.760 --> 00:00:50.020]  要打工了,做職稱了
[00:00:50.020 --> 00:00:53.380]  就好像前特首曾蔭權所說
[00:00:53.380 --> 00:00:54.760]  我們要做什麼?
[00:00:54.760 --> 00:00:56.860]  做好這份工
[00:00:57.320 --> 00:00:59.140]  為家打好這份工
[00:00:59.140 --> 00:01:00.780]  在這裏我講一個廣告
[00:01:00.780 --> 00:01:01.920]  亦有一個報告
[00:01:01.920 --> 00:01:04.840]  其實我們有一個孫教士叫李光平
[00:01:04.840 --> 00:01:06.020]  牧師師母
[00:01:06.020 --> 00:01:09.540]  他真是為愛泰國的人
[00:01:09.540 --> 00:01:11.260]  基本上他的生命
[00:01:11.260 --> 00:01:13.040]  基本上都給了泰國
[00:01:13.040 --> 00:01:15.380]  由結婚到女兒出生
[00:01:15.380 --> 00:01:16.840]  連孫也出生在這裏
[00:01:16.840 --> 00:01:18.000]  告訴大家
[00:01:18.000 --> 00:01:20.340]  他真是不單打好這份工
[00:01:20.340 --> 00:01:21.960]  他為主忠心在泰國
[00:01:21.960 --> 00:01:23.260]  他最近回來了
[00:01:23.260 --> 00:01:24.700]  請大家繼續紀念他
[00:01:24.700 --> 00:01:27.220]  周三晚他在這裏帶領我們的祈禱會
[00:01:27.220 --> 00:01:27.980]  明白嗎?
[00:01:27.980 --> 00:01:30.360]  所以請你回來一起去分享
[00:01:30.360 --> 00:01:32.020]  我們今天的訊息當中
[00:01:32.020 --> 00:01:34.380]  不單止是打好這份工
[00:01:34.380 --> 00:01:36.180]  我們經歷上帝的封城
[00:01:36.180 --> 00:01:40.060]  當你打工到一個地方的時候
[00:01:40.060 --> 00:01:41.800]  你準備結婚的了
[00:01:41.800 --> 00:01:43.360]  就好像這套電影
[00:01:43.360 --> 00:01:46.040]  我不知道大家有多少人在去年看過
[00:01:46.040 --> 00:01:48.000]  叫做《Fire Proof》
[00:01:48.000 --> 00:01:50.260]  如果你錯失了
[00:01:50.260 --> 00:01:52.700]  我鼓勵你有機會重看
[00:01:52.700 --> 00:01:54.960]  但是你找不到不要緊
[00:01:54.960 --> 00:01:56.960]  有類似一套的電影
[00:01:56.960 --> 00:01:59.200]  就是我們剛才分享的《勇氣之名》
[00:01:59.200 --> 00:02:00.360]  《Courageous》
[00:02:00.360 --> 00:02:01.540]  這套電影
[00:02:01.540 --> 00:02:04.460]  我們的很多單張真的很值得看
[00:02:04.460 --> 00:02:06.540]  詳情我就不講
[00:02:06.540 --> 00:02:08.540]  不過他真的要告訴我們
[00:02:08.540 --> 00:02:11.860]  做男孩子要有勇氣去承擔這個家
[00:02:11.860 --> 00:02:15.020]  做姐妹是需要你去支持
[00:02:15.020 --> 00:02:16.220]  體諒你的丈夫
[00:02:16.220 --> 00:02:18.820]  做年輕人你知道當今
[00:02:18.820 --> 00:02:21.120]  生命的價值在哪裏
[00:02:21.120 --> 00:02:24.060]  其中有一個鏡頭
[00:02:24.060 --> 00:02:28.340]  你拿到一張單張看到這麼小的
[00:02:28.340 --> 00:02:30.140]  不用zoom的了
[00:02:30.140 --> 00:02:32.440]  他是一個外勞
[00:02:32.440 --> 00:02:34.440]  他去到美國
[00:02:34.440 --> 00:02:35.760]  很老倒
[00:02:35.760 --> 00:02:38.020]  但是他是一個很虔誠的人
[00:02:38.020 --> 00:02:40.020]  因為他對上帝的虔誠
[00:02:40.020 --> 00:02:43.740]  他生命開始一路的變化
[00:02:43.740 --> 00:02:44.780]  講到這裏
[00:02:44.780 --> 00:02:47.200]  詳情3月14日去看
[00:02:47.200 --> 00:02:49.680]  不過我仍然是那張拍檔
[00:02:49.680 --> 00:02:51.120]  無論你一生裏面
[00:02:51.120 --> 00:02:55.560]  BB年輕人打工結婚
[00:02:55.560 --> 00:02:57.920]  甚至到你很老的時候
[00:02:57.920 --> 00:03:01.080]  眼又聾耳又矇
[00:03:01.080 --> 00:03:03.840]  全部都好像做不到甚麼的時候
[00:03:03.840 --> 00:03:06.340]  好像你覺得很沒用
[00:03:06.340 --> 00:03:09.000]  但是有一件事
[00:03:09.000 --> 00:03:10.620]  不單只是這個時間做
[00:03:10.620 --> 00:03:12.460]  其實由BB喝奶
[00:03:12.460 --> 00:03:15.340]  小朋友職稱結婚都要做
[00:03:15.340 --> 00:03:17.680]  就是今天我想選的這個詩篇
[00:03:17.680 --> 00:03:20.220]  27篇第一到四節
[00:03:20.220 --> 00:03:21.540]  你想知道做甚麼
[00:03:21.540 --> 00:03:22.820]  我們看一看好嗎
[00:03:22.820 --> 00:03:25.740]  我們一齊讀這個powerpoint
[00:03:25.740 --> 00:03:26.760]  如果你有聖經的
[00:03:26.760 --> 00:03:28.220]  鼓勵你繼續讀聖經
[00:03:28.220 --> 00:03:30.580]  我們請弟兄讀單節
[00:03:30.580 --> 00:03:31.620]  姐妹讀雙節
[00:03:31.620 --> 00:03:33.540]  到第四節的時候
[00:03:33.540 --> 00:03:34.700]  我們一齊來讀
[00:03:34.700 --> 00:03:35.920]  看看這個人
[00:03:35.920 --> 00:03:38.900]  看看我們一生一世要追求甚麼
[00:03:38.900 --> 00:03:42.460]  有甚麼事我們一生裏面要去做
[00:03:42.460 --> 00:03:43.700]  好 弟兄請來了
[00:03:43.700 --> 00:03:45.100]  預備 1 2 3
[00:03:45.100 --> 00:03:47.600]  耶和華是我的亮光
[00:03:47.600 --> 00:03:49.260]  是我的拯救
