
[00:00:00.000 --> 00:00:03.380]  十四篇二十三篇很熟悉的經文
[00:00:03.380 --> 00:00:05.540]  那我想我們一起來讀好不好
[00:00:05.540 --> 00:00:07.480]  我想這個非常寶貴的經文
[00:00:07.480 --> 00:00:09.280]  我們一同慢慢讀來
[00:00:09.280 --> 00:00:11.520]  耶和華是我的牧者
[00:00:11.520 --> 00:00:13.680]  我必不至缺乏
[00:00:13.680 --> 00:00:16.480]  祂使我躺臥在青草地上
[00:00:16.480 --> 00:00:19.360]  領我在可安歇的水邊
[00:00:19.360 --> 00:00:21.560]  祂使我的靈魂甦醒
[00:00:21.560 --> 00:00:24.520]  為自己的名引導我走一路
[00:00:24.520 --> 00:00:26.860]  我雖然行過死因的幽谷
[00:00:26.860 --> 00:00:28.500]  也不怕遭害
[00:00:28.500 --> 00:00:30.400]  因為祢與我同在
[00:00:30.400 --> 00:00:33.360]  祢的杖、祢的竿都安慰我
[00:00:33.360 --> 00:00:34.700]  在我敵人面前
[00:00:34.700 --> 00:00:36.740]  祢為我擺設宴席
[00:00:36.740 --> 00:00:38.440]  祢用油膏了我的頭
[00:00:38.440 --> 00:00:40.440]  使我的福碑滿溢
[00:00:40.440 --> 00:00:44.340]  我一生一世必有恩惠此愛隨著我
[00:00:44.340 --> 00:00:46.580]  我豈要住在耶和華的殿中
[00:00:46.580 --> 00:00:48.080]  直到永遠
[00:00:48.080 --> 00:00:49.780]  我們就讀到這裡
[00:00:49.780 --> 00:00:52.920]  這一次武漢肺炎病毒的蔓延
[00:00:52.920 --> 00:00:57.860]  似乎已經帶來一種全世界的驚恐
[00:00:57.860 --> 00:01:00.460]  搶購口罩的風潮
[00:01:00.460 --> 00:01:03.460]  也不只是在東南亞的國家
[00:01:03.460 --> 00:01:06.400]  甚至現在在美國很多商店
[00:01:06.400 --> 00:01:08.740]  口罩都已經缺貨
[00:01:08.740 --> 00:01:11.140]  甚至有人大量的購買
[00:01:11.140 --> 00:01:15.340]  然後在網上用四倍、五倍的價錢推出
[00:01:15.340 --> 00:01:17.640]  還是一售而空
[00:01:17.640 --> 00:01:19.880]  可見的恐懼
[00:01:19.880 --> 00:01:21.620]  是多麼厲害的
[00:01:21.620 --> 00:01:25.720]  在挾制這個世代人的心
[00:01:25.720 --> 00:01:27.960]  當然面對這個病毒的蔓延
[00:01:27.960 --> 00:01:31.720]  一方面我們是要小心謹慎
[00:01:31.720 --> 00:01:34.300]  隨時注意病情的發展
[00:01:34.300 --> 00:01:38.160]  隨時調整我們應該有的生活型態
[00:01:38.160 --> 00:01:41.540]  但另一方面這些日子來我也看見
[00:01:41.540 --> 00:01:43.780]  只要你打開手機
[00:01:43.780 --> 00:01:45.380]  打開新聞
[00:01:45.380 --> 00:01:47.940]  就會有層出不窮的
[00:01:47.940 --> 00:01:49.940]  所謂的專家的意見
[00:01:49.940 --> 00:01:51.540]  小道的消息
[00:01:51.540 --> 00:01:53.420]  聽說的傳聞
[00:01:53.420 --> 00:01:57.660]  那真是多到令人無所適從
[00:01:57.660 --> 00:02:02.180]  而當我看見現在人心的光景的時候
[00:02:02.180 --> 00:02:06.760]  我越來越體會到聖經當中的一句話
[00:02:06.760 --> 00:02:10.260]  那就是馬太福音9章36節所說的
[00:02:10.260 --> 00:02:14.360]  耶穌看見許多人就憐憫他們
[00:02:14.360 --> 00:02:15.360]  因為什麼呢?
[00:02:15.360 --> 00:02:17.840]  他們困苦流離
[00:02:17.840 --> 00:02:21.240]  如同羊沒有目人一般
[00:02:21.240 --> 00:02:23.000]  一點不錯
[00:02:23.000 --> 00:02:25.980]  這個世代人的心的光景
[00:02:25.980 --> 00:02:29.740]  就是困苦流離的光景
[00:02:29.740 --> 00:02:31.980]  不知道何去何從
[00:02:31.980 --> 00:02:34.480]  不知道明天將會如何
[00:02:34.480 --> 00:02:37.660]  也不知道有誰會照管我們
[00:02:37.660 --> 00:02:41.260]  就好像羊沒有目人一樣
[00:02:41.260 --> 00:02:43.920]  但弟兄姊姊今天作為一個神的兒女
[00:02:43.920 --> 00:02:48.040]  你要明白你是有目者的
[00:02:48.040 --> 00:02:50.140]  你是一位大目者
[00:02:50.140 --> 00:02:53.900]  他要在一生當中引導你、保護你
[00:02:53.900 --> 00:02:55.240]  靠著主
[00:02:55.240 --> 00:02:59.580]  你是可以勝過生命當中一切的恐懼的
