
[00:00:00.000 --> 00:00:07.000]  在開始講到之前,讓我們一起同心低頭禱告
[00:00:07.000 --> 00:00:10.000]  聖祭天父,我們謙卑來到你的跟前
[00:00:10.000 --> 00:00:15.000]  願你的靈引導我們的心,帶領我們進入真理的裡面
[00:00:15.000 --> 00:00:22.000]  我們願你的靈幫助我們在真理裡面去迎見你,領受你的教導
[00:00:22.000 --> 00:00:31.000]  直求你臨在我們當中,向我們說話,聽我們禱告,是奉耶穌基督的名字而求,阿們
[00:00:31.000 --> 00:00:36.000]  今天想跟大家介紹一位十六世紀的荷蘭畫家
[00:00:36.000 --> 00:00:39.000]  這位畫家叫做Quentin Macias
[00:00:39.000 --> 00:00:46.000]  他的畫作裡面有不少題材來自聖經
[00:00:46.000 --> 00:00:52.000]  他出名用畫去諷刺他當時身處的社會狀況
[00:00:52.000 --> 00:00:57.000]  其中一幅叫做"Jesus Chasing the Merchants from the Temple"
[00:00:57.000 --> 00:01:01.000]  中文是"耶穌驅趕殿裡面的人"
[00:01:01.000 --> 00:01:08.000]  這幅作品的靈感正是來自剛才大家一起讀的一段經文
[00:01:08.000 --> 00:01:13.000]  今天讓我們藉著這幅畫去進入當時的狀況
[00:01:13.000 --> 00:01:18.000]  畫裡面的主角是耶穌
[00:01:18.000 --> 00:01:23.000]  經文一開始說了當時的狀況
[00:01:23.000 --> 00:01:27.000]  當時是將近御越節的時候
[00:01:27.000 --> 00:01:30.000]  御越節是猶太人三大節期之一
[00:01:30.000 --> 00:01:35.000]  是紀念神拯救以色列人出埃及圍爐之地
[00:01:35.000 --> 00:01:42.000]  雖然摩西律法沒有說明要求人要每年都去耶路撒冷過節
[00:01:42.000 --> 00:01:44.000]  但在耶穌的年代
[00:01:44.000 --> 00:01:50.000]  很多猶太人都會在御越節這段時間上到耶路撒冷聖殿獻祭
[00:01:50.000 --> 00:01:54.000]  耶穌也是因為這樣上到耶路撒冷
[00:01:54.000 --> 00:01:57.000]  為什麼會用"上"字呢?
[00:01:57.000 --> 00:02:02.000]  因為耶路撒冷的位置位於猶太的山丘地帶
[00:02:02.000 --> 00:02:06.000]  聖殿就在這個山丘的上面
[00:02:06.000 --> 00:02:12.000]  所以每次去聖殿的人、去耶路撒冷的人都要上去
[00:02:12.000 --> 00:02:16.000]  在第十四至十六節裡面
[00:02:16.000 --> 00:02:18.000]  耶穌來到聖殿
[00:02:18.000 --> 00:02:21.000]  看到很多人進行交易買賣
[00:02:21.000 --> 00:02:26.000]  祂就用繩做成一條鞭把牛羊趕走
[00:02:26.000 --> 00:02:31.000]  又賭出兌換銀錢的人的金錢推到他們的桌子
[00:02:31.000 --> 00:02:35.000]  又吩咐賣甲子的商人拿走他們的物品
[00:02:35.000 --> 00:02:38.000]  這是一連串的動作
[00:02:38.000 --> 00:02:43.000]  而耶穌是很生氣地做出這一連串的動作
[00:02:43.000 --> 00:02:46.000]  就像這幅畫一樣
[00:02:46.000 --> 00:02:50.000]  耶穌憤怒的形象很少在四福音裡面出現
[00:02:50.000 --> 00:02:56.000]  我們一直看到的都是耶穌是一個很慈愛、很有憐憫的上帝
[00:02:56.000 --> 00:02:59.000]  但是到了這裡,耶穌是很生氣
[00:02:59.000 --> 00:03:04.000]  因為當時祂一進入聖殿就看到這個很骯髒的狀況
[00:03:04.000 --> 00:03:09.000]  而結正聖殿這個事蹟在四福音裡面也有提到
[00:03:09.000 --> 00:03:13.000]  但是以我們今天所讀的約翰福音作為詳盡
[00:03:13.000 --> 00:03:17.000]  而耶穌用繩做成鞭子
[00:03:17.000 --> 00:03:20.000]  也是只有約翰福音提到的
[00:03:20.000 --> 00:03:28.000]  牛羊甲子原本是舊約指明的獻祭用的祭生
[00:03:28.000 --> 00:03:33.000]  當時因為很多人都在很遠的地方來到耶路撒冷過節
[00:03:33.000 --> 00:03:37.000]  不方便帶著這些生束
[00:03:37.000 --> 00:03:41.000]  所以要來到聖殿的攤檔去買
[00:03:41.000 --> 00:03:47.000]  另外在耶穌的時代,凡年滿二十歲的男士都要交聖殿稅
[00:03:47.000 --> 00:03:52.000]  但是當時羅馬用的貨幣是刻有凱撒的像
[00:03:52.000 --> 00:03:54.000]  被視為拜偶像
[00:03:54.000 --> 00:03:59.000]  所以聖殿的奉獻是不可以用羅馬的錢幣
[00:03:59.000 --> 00:04:03.000]  要用一種當時不太流行的推羅銀幣
[00:04:03.000 --> 00:04:07.000]  於是又有另一些攤檔是賺錢的
[00:04:07.000 --> 00:04:12.000]  為了方便這些朝聖者可以買他們的祭生又可以賺錢
[00:04:12.000 --> 00:04:17.000]  所以這些攤檔是設置在聖殿外園的地方
[00:04:17.000 --> 00:04:19.000]  按一些學者的估計
[00:04:19.000 --> 00:04:25.000]  當時預計去到耶路撒冷的人是多達十萬人
[00:04:25.000 --> 00:04:30.000]  而所獻祭的祭生是超過二十五萬人
[00:04:30.000 --> 00:04:35.000]  表面上這些攤檔都是方便獻祭者
[00:04:35.000 --> 00:04:42.000]  但是實際上其實是一群祭司和商人的勾結
[00:04:42.000 --> 00:04:48.000]  當時帶進聖殿獻祭的祭生
[00:04:48.000 --> 00:04:52.000]  首先要經過祭司的檢查
[00:04:52.000 --> 00:04:58.000]  但這些祭司當祭生去到他們面前的時候
[00:04:58.000 --> 00:05:03.000]  就算多麼完美多麼肥美都過不了關
[00:05:03.000 --> 00:05:08.000]  獻祭者一定要在攤檔重新再買
[00:05:08.000 --> 00:05:12.000]  或者兌換另一隻,補錢換另一隻
[00:05:12.000 --> 00:05:15.000]  他們覺得是完美的
[00:05:15.000 --> 00:05:18.000]  另外像我們兌換外幣那樣
[00:05:18.000 --> 00:05:20.000]  會有少許手續費
[00:05:20.000 --> 00:05:23.000]  其實收手續費是很正常的
[00:05:23.000 --> 00:05:29.000]  但是這些商人並不是用正常的匯率去兌換
[00:05:29.000 --> 00:05:33.000]  他們把匯率提高了很多
[00:05:33.000 --> 00:05:35.000]  如果按剛才所說
[00:05:35.000 --> 00:05:38.000]  你獻祭的人超過十萬
[00:05:38.000 --> 00:05:42.000]  獻祭的祭生超過二十五萬隻
[00:05:42.000 --> 00:05:44.000]  你心算快的話計算一下
[00:05:44.000 --> 00:05:47.000]  這盤是一盤很大的生意
[00:05:47.000 --> 00:05:52.000]  當中的利潤是非常可觀
[00:05:52.000 --> 00:05:58.000]  所以當耶穌看到這些情況的時候
[00:05:58.000 --> 00:06:00.000]  祂就很生氣
[00:06:00.000 --> 00:06:07.000]  第一,外縣是外邦人祈禱和敬拜的地方
[00:06:07.000 --> 00:06:11.000]  但居然變成一個街市,變成一個市場
[00:06:11.000 --> 00:06:15.000]  當中有很多買賣叫樣的聲音
[00:06:15.000 --> 00:06:20.000]  根本他們沒辦法祈禱,沒辦法去獻祭
[00:06:20.000 --> 00:06:28.000]  接著我們看看圖畫中的商人
[00:06:28.000 --> 00:06:31.000]  你看到黃色衣服的跌倒了
[00:06:31.000 --> 00:06:35.000]  紅色衣服的抱著東西慌忙逃走
[00:06:35.000 --> 00:06:40.000]  另外有一個黑色衣服的匆匆忙忙地離開
[00:06:40.000 --> 00:06:46.000]  這些人帶著他們來的祭生
[00:06:46.000 --> 00:06:51.000]  帶著他們打算來搶別人的錢
[00:06:51.000 --> 00:06:53.000]  匆匆地離開
[00:06:53.000 --> 00:06:58.000]  原來他們不是為了來敬拜而來聖殿
[00:06:58.000 --> 00:07:01.000]  他們只是來做生意
[00:07:01.000 --> 00:07:05.000]  對於耶穌的驅趕
[00:07:05.000 --> 00:07:11.000]  耶穌趕他們離開,所以匆匆忙忙地拿走東西
[00:07:11.000 --> 00:07:14.000]  三十六爵,走為常爵
[00:07:14.000 --> 00:07:17.000]  耶穌的憤怒是因為這些買賣
[00:07:17.000 --> 00:07:21.000]  這些經濟活動居然可以在聖殿裡進行
[00:07:21.000 --> 00:07:28.000]  將原本是向神獻祭、敬拜、禱告、認識神的地方
