
[00:00:00.000 --> 00:00:03.120]  大家留意開頭李牧師曾經說過
[00:00:03.120 --> 00:00:04.880]  在兩星期前
[00:00:04.880 --> 00:00:09.520]  說到關於如何在男女關係
[00:00:09.520 --> 00:00:11.600]  戀愛裡 婚姻當中
[00:00:11.600 --> 00:00:14.480]  學習聖經的真理
[00:00:14.480 --> 00:00:17.760]  今天同樣進入主題當中
[00:00:17.760 --> 00:00:21.080]  其實我思考用什麼經文
[00:00:21.080 --> 00:00:25.360]  想來想去都是用李牧師的《路德記》
[00:00:25.360 --> 00:00:27.000]  《路德記》也是一個非常好的經文
[00:00:27.000 --> 00:00:29.000]  當中幫助我們思想
[00:00:30.360 --> 00:00:34.680]  有一本書想介紹給大家
[00:00:34.680 --> 00:00:38.000]  就是《聖經》中的著名夫婦
[00:00:38.000 --> 00:00:40.400]  這本書當中有十多對夫婦
[00:00:40.400 --> 00:00:41.800]  十三對夫婦
[00:00:41.800 --> 00:00:46.160]  很特別在每個夫婦的關係當中
[00:00:46.160 --> 00:00:47.280]  讓我們看到
[00:00:47.280 --> 00:00:49.480]  上帝是如何藉著他們的生命
[00:00:49.480 --> 00:00:51.160]  去帶出一些真理
[00:00:51.160 --> 00:00:53.360]  當然有些是正面 有些是負面
[00:00:53.360 --> 00:00:54.560]  我們在當中學習
[00:00:54.560 --> 00:00:56.720]  其中今天說到的就是《路德記》
[00:00:56.720 --> 00:00:59.600]  《路德記》也是非常好的經文
[00:00:59.600 --> 00:01:02.200]  我不知道大家有沒有
[00:01:02.200 --> 00:01:03.480]  回到題目
[00:01:03.480 --> 00:01:07.480]  大家有沒有喜歡吃馬拉糕
[00:01:07.480 --> 00:01:09.840]  誰喜歡吃辣馬拉糕 舉手
[00:01:09.840 --> 00:01:11.760]  很多人 真是很厲害
[00:01:11.760 --> 00:01:13.640]  我女兒也喜歡吃馬拉糕
[00:01:13.640 --> 00:01:15.160]  不過我有一天跟她說
[00:01:15.160 --> 00:01:18.960]  馬拉糕 馬拉兩個字在《聖經》中
[00:01:18.960 --> 00:01:23.160]  跟我們所認識的馬拉是有點不同的
[00:01:23.160 --> 00:01:25.320]  原來在《聖經》中
[00:01:25.320 --> 00:01:27.600]  馬拉 如果我看回《路德記》時
[00:01:27.600 --> 00:01:31.160]  是一個什麼意思呢?
[00:01:31.160 --> 00:01:34.800]  馬拉圓是一個苦的意思
[00:01:34.800 --> 00:01:36.680]  當然是陰逆的問題
[00:01:36.680 --> 00:01:38.240]  跟馬拉糕沒有直接關係
[00:01:38.240 --> 00:01:39.880]  不過提醒我們
[00:01:39.880 --> 00:01:43.360]  其實這段經文 書卷
[00:01:43.360 --> 00:01:47.960]  是在說人生的一個經歷的轉變
[00:01:47.960 --> 00:01:50.160]  從辣糯米到馬拉
[00:01:50.160 --> 00:01:51.600]  從甜到苦
[00:01:51.600 --> 00:01:54.200]  當然今天的主題反過來
[00:01:54.200 --> 00:01:56.200]  是從苦到甜
[00:01:56.200 --> 00:01:58.640]  我們看看上帝在當中
[00:01:58.640 --> 00:01:59.840]  施行祂的工作
[00:01:59.840 --> 00:02:04.560]  使祂的祝福帶給辣糯米一家
[00:02:04.560 --> 00:02:07.400]  今天我們讀第四章的經文
[00:02:07.400 --> 00:02:10.280]  經文裡 之前第三章是說到
[00:02:10.280 --> 00:02:14.680]  其實辣糯米叫路德
[00:02:14.680 --> 00:02:17.480]  去到波亞斯面前
[00:02:17.480 --> 00:02:19.920]  在晚上跟他有一個約定
[00:02:19.920 --> 00:02:22.640]  在田地裡有一個約定
[00:02:22.640 --> 00:02:24.520]  第三章非常精彩
[00:02:24.520 --> 00:02:29.160]  波亞斯在過程中應運了路德的請求
[00:02:29.160 --> 00:02:31.680]  於是在第二天開始
[00:02:31.680 --> 00:02:37.280]  就去計劃營取路德的計劃
[00:02:37.280 --> 00:02:40.480]  我們看到故事發展的場景在哪裡?
[00:02:40.480 --> 00:02:42.440]  在城門口
[00:02:42.440 --> 00:02:46.560]  為什麼波亞斯會去城門口這個地方呢?
[00:02:46.560 --> 00:02:49.280]  簡單來說 波亞斯去到那個地方
[00:02:49.280 --> 00:02:51.040]  那個地方 其實城門口
[00:02:51.040 --> 00:02:57.640]  是當時以色列百姓在城市裡聚集的地方
[00:02:57.640 --> 00:03:01.040]  很多人都經過那裡出出入入
[00:03:01.040 --> 00:03:07.720]  那裡是一個好好處理民眾當中的事情的地方
[00:03:07.720 --> 00:03:09.800]  如果我們看回舊約的時間
[00:03:09.800 --> 00:03:13.040]  甚至有些法律的裁定
[00:03:13.040 --> 00:03:14.760]  需要審判的時候
[00:03:14.760 --> 00:03:16.600]  都會在城門口
[00:03:16.600 --> 00:03:17.600]  所以我們看到
[00:03:17.600 --> 00:03:19.920]  波亞斯選擇在城門口
[00:03:19.920 --> 00:03:21.600]  其實是有特別的意思
[00:03:21.600 --> 00:03:24.480]  當然我們知道其中一個位置
[00:03:24.480 --> 00:03:27.360]  就是等待那位近親
[00:03:27.360 --> 00:03:28.880]  那位近親發生什麼事呢?
[00:03:28.880 --> 00:03:31.880]  我一會兒講到的時候會更加清楚
[00:03:31.880 --> 00:03:33.680]  不過如果你要看第三章的時候
[00:03:33.680 --> 00:03:36.960]  就更加清楚近親是什麼意思
[00:03:36.960 --> 00:03:39.760]  在聖經裡面
[00:03:39.760 --> 00:03:44.200]  他用了一個詞來提醒我們這些讀者
[00:03:44.200 --> 00:03:45.840]  上次李牧師也提到
[00:03:45.840 --> 00:03:47.600]  是「恰巧」
[00:03:47.600 --> 00:03:50.520]  《和學本》的聖經就用「恰巧」來形容
[00:03:50.520 --> 00:03:52.840]  原來他這麼巧
[00:03:52.840 --> 00:03:54.080]  波亞斯去到城門口的時候
[00:03:54.080 --> 00:03:57.440]  沒多久就遇到他要等待的那個人就是近親
[00:03:57.440 --> 00:04:00.000]  當然我們回到第二章的時候
[00:04:00.000 --> 00:04:01.280]  聖經也很奇妙
[00:04:01.280 --> 00:04:02.840]  很特別地用到同樣的詞
[00:04:02.840 --> 00:04:07.480]  中文聖經也是用同樣的詞來提醒我們
[00:04:07.480 --> 00:04:12.760]  路德去田地撿墨水
[00:04:12.760 --> 00:04:18.120]  誰知道這麼巧就去到波亞斯那裡
[00:04:18.120 --> 00:04:20.400]  這兩個詞其實告訴我們什麼意思呢?
[00:04:20.400 --> 00:04:21.680]  其實很簡單
[00:04:21.680 --> 00:04:25.640]  路德記整件事發生了四章的經文
[00:04:25.640 --> 00:04:28.800]  整件事看起來好像人在不斷做不同的事情
[00:04:28.800 --> 00:04:31.400]  但整件事正正在神的手裡
[00:04:31.400 --> 00:04:33.120]  在他的計劃當中
[00:04:33.120 --> 00:04:35.360]  一點都沒有偏差
[00:04:35.360 --> 00:04:38.280]  當我們讀到這整卷書最後的時候
[00:04:38.280 --> 00:04:40.760]  我們更加會發現
[00:04:40.760 --> 00:04:46.240]  這個故事正正是有一個神奇妙的祝福
[00:04:46.240 --> 00:04:48.400]  這個祝福在裡面
[00:04:48.400 --> 00:04:50.960]  不單只是給猶太人
[00:04:50.960 --> 00:04:55.400]  甚至是給世人一個很震撼性的影響
[00:04:55.400 --> 00:04:56.520]  這個震撼性的影響
[00:04:56.520 --> 00:04:57.280]  如果你讀過的話
[00:04:57.280 --> 00:04:58.240]  你會知道是什麼
[00:04:58.240 --> 00:05:00.120]  如果不太記得的話
[00:05:00.120 --> 00:05:01.520]  一會兒最後的時候
[00:05:01.520 --> 00:05:05.160]  我會再講這個故事
[00:05:05.160 --> 00:05:07.240]  講到波亞斯就召集了
[00:05:07.240 --> 00:05:10.080]  邀請了十個長老來到城門口
