
[00:00:00.000 --> 00:00:02.000]  靈性姐妹早晨
[00:00:02.000 --> 00:00:06.160]  繼續我們分享二思拉記第七章
[00:00:06.160 --> 00:00:07.160]  一開始的時候
[00:00:07.160 --> 00:00:08.480]  手
[00:00:08.480 --> 00:00:11.000]  我想先看看人的手
[00:00:11.000 --> 00:00:13.080]  可不可以看看自己的手
[00:00:13.080 --> 00:00:14.760]  看一看
[00:00:14.760 --> 00:00:15.520]  觀察一下
[00:00:15.520 --> 00:00:19.840]  看看自己的手是一隻怎樣的一雙手
[00:00:19.840 --> 00:00:21.560]  很幼細的
[00:00:21.560 --> 00:00:24.120]  很粗糙的
[00:00:24.120 --> 00:00:26.240]  很多肥肉的
[00:00:26.240 --> 00:00:28.120]  很多枕的
[00:00:28.120 --> 00:00:29.720]  又或者很多紋的
[00:00:29.720 --> 00:00:30.800]  你看看
[00:00:30.800 --> 00:00:33.920]  平時有沒有這樣看自己的手
[00:00:33.920 --> 00:00:36.680]  這一雙手
[00:00:36.680 --> 00:00:37.600]  就是這一雙手
[00:00:37.600 --> 00:00:39.320]  我們靠著這雙手
[00:00:39.320 --> 00:00:42.320]  從小時候一直拿筆
[00:00:42.320 --> 00:00:44.080]  或者現在按電腦
[00:00:44.080 --> 00:00:46.680]  一直去考試讀書
[00:00:46.680 --> 00:00:49.640]  完成我們要讀的書
[00:00:49.640 --> 00:00:51.760]  就是這一雙手
[00:00:51.760 --> 00:00:56.640]  讓我們去上班賺錢
[00:00:56.640 --> 00:00:59.080]  爸爸媽媽的阿爺阿嬤阿公阿婆
[00:00:59.080 --> 00:01:01.160]  就是靠這雙手
[00:01:01.160 --> 00:01:05.080]  去照顧自己的子女和孫子
[00:01:05.080 --> 00:01:07.720]  這一雙手
[00:01:07.720 --> 00:01:10.560]  為我們帶來很多我們人生需要的東西
[00:01:10.560 --> 00:01:14.120]  想要的東西
[00:01:14.120 --> 00:01:16.480]  這一雙手
[00:01:16.480 --> 00:01:19.320]  甚至我們會用這一雙手
[00:01:19.320 --> 00:01:23.360]  去做很多不同的侍奉
[00:01:23.360 --> 00:01:24.720]  很多從小到大
[00:01:24.720 --> 00:01:26.240]  很多的事情
[00:01:26.240 --> 00:01:28.760]  都是靠這一雙手
[00:01:28.760 --> 00:01:30.920]  靠你自己很努力
[00:01:30.920 --> 00:01:34.120]  用這雙手去完成
[00:01:34.120 --> 00:01:35.400]  去解決它
[00:01:35.400 --> 00:01:37.520]  是不是?
[00:01:37.520 --> 00:01:40.040]  一雙手
[00:01:40.040 --> 00:01:43.920]  成功也是靠這雙手
[00:01:43.920 --> 00:01:46.920]  但是有時失敗
[00:01:46.920 --> 00:01:49.600]  也是靠這雙手
[00:01:49.600 --> 00:01:52.960]  有時我們太著重自己的手的時候
[00:01:52.960 --> 00:01:55.720]  我們會忽略了一些東西
[00:01:55.720 --> 00:01:58.320]  人生總是有些時候
[00:01:58.320 --> 00:01:59.400]  去到某一個時刻
[00:01:59.400 --> 00:02:01.240]  不是自己的手
[00:02:01.240 --> 00:02:04.600]  有些事情是自己的手可以做到
[00:02:04.600 --> 00:02:05.720]  我們會發現自己
[00:02:05.720 --> 00:02:07.040]  原來自己這雙手
[00:02:07.040 --> 00:02:10.080]  所做到的事情都是有限的
[00:02:10.080 --> 00:02:13.400]  我們真正的需要另外一雙手
[00:02:13.400 --> 00:02:15.600]  去撐著我們的人生
[00:02:15.600 --> 00:02:17.760]  今天我們又透過這一段經文
[00:02:17.760 --> 00:02:20.040]  看看以斯拉
[00:02:20.040 --> 00:02:22.080]  這個歷史上的人
[00:02:22.080 --> 00:02:23.880]  他怎樣在他經歷
[00:02:23.880 --> 00:02:26.440]  他現在凡事都順利
[00:02:26.440 --> 00:02:28.760]  他怎樣看到在這些事情裡面
[00:02:28.760 --> 00:02:31.040]  看到有另外一雙手
[00:02:31.040 --> 00:02:32.880]  是在幫助他的呢?
[00:02:32.880 --> 00:02:39.040]  我們一起有個禱告
