
[00:00:00.000 --> 00:00:03.520]  你在哪裡找建築的藍圖呢?
[00:00:03.520 --> 00:00:05.040]  很有趣的 保羅說
[00:00:05.040 --> 00:00:11.760]  你看看我第二層重磚蛋糕的中心 你會看到的
[00:00:11.760 --> 00:00:15.560]  保羅說上帝大能的建築 堅固的建築
[00:00:15.560 --> 00:00:17.320]  是按照三樣東西
[00:00:17.320 --> 00:00:19.280]  三樣東西 我給你看看 ABC
[00:00:19.280 --> 00:00:26.080]  唯有上帝能照我所傳的福音
[00:00:26.080 --> 00:00:29.520]  就是照耶穌基督的信息
[00:00:29.520 --> 00:00:32.600]  是照奧秘的啟示
[00:00:32.600 --> 00:00:36.480]  聽起來好像很複雜 其實不是那麼難
[00:00:36.480 --> 00:00:38.800]  這裡說ABC 其實更加好
[00:00:38.800 --> 00:00:42.360]  相反反過來叫CBA
[00:00:42.360 --> 00:00:44.640]  保羅在說什麼呢?
[00:00:44.640 --> 00:00:48.440]  保羅說他自己一切的教導是出於A
[00:00:48.440 --> 00:00:49.760]  由A開始
[00:00:49.760 --> 00:00:51.080]  出於A A是什麼呢?
[00:00:51.080 --> 00:00:54.440]  奧秘的啟示 什麼叫奧秘的啟示?
[00:00:54.440 --> 00:00:59.720]  奧秘的啟示是說 主耶穌基督經過歷世歷代的等待
[00:00:59.720 --> 00:01:06.640]  終於有一天 進入了人類的世界
[00:01:06.640 --> 00:01:12.080]  我們說主耶穌基督 祂應驗了舊約所有的預言
[00:01:12.080 --> 00:01:17.600]  我們說主耶穌基督是舊約一切夢想達成
[00:01:17.600 --> 00:01:21.200]  今天我們看主耶穌基督 祂已經來了二千年了
[00:01:21.200 --> 00:01:27.840]  但是曾幾何時 以色列人 上帝的子民在等待這個彌賽亞的來臨
[00:01:27.840 --> 00:01:32.120]  直至有一天 奧秘被彰顯
[00:01:32.120 --> 00:01:35.040]  主耶穌基督進入了歷史當中
[00:01:35.040 --> 00:01:38.200]  就好像保羅在《迦太書》第四章第四節這樣說
[00:01:38.200 --> 00:01:42.000]  「時候到了的時候 成熟的時候 滿足的時候
[00:01:42.000 --> 00:01:46.520]  上帝差遣祂的兒子 為女子所生
[00:01:46.520 --> 00:01:51.880]  是生在法律之下 為要把律法之下的人贖出來
[00:01:51.880 --> 00:01:54.320]  使他們得到兒子的名分」
[00:01:54.320 --> 00:01:57.680]  保羅在說 祂所有一切 所傳講的
[00:01:57.680 --> 00:02:03.800]  是基於主耶穌基督進入歷史當中的事實
[00:02:03.800 --> 00:02:06.400]  因著主耶穌基督的奧秘啟示
[00:02:06.400 --> 00:02:09.040]  因著主耶穌基督三十三年的人生
[00:02:09.040 --> 00:02:11.120]  因著主耶穌基督三年的事供
[00:02:11.120 --> 00:02:13.840]  因著主耶穌基督天國的宣講
[00:02:13.840 --> 00:02:15.840]  因著主耶穌基督的十字架
[00:02:15.840 --> 00:02:17.720]  因著主耶穌基督的空墳墓
[00:02:17.720 --> 00:02:21.200]  初期教會就領受了B
[00:02:21.200 --> 00:02:23.040]  B是什麼呢?
[00:02:23.040 --> 00:02:24.240]  耶穌基督的訊息
[00:02:24.240 --> 00:02:25.360]  什麼叫做耶穌基督的訊息呢?
[00:02:25.360 --> 00:02:26.360]  如果你看回英文
[00:02:26.360 --> 00:02:28.520]  是The Preaching of Jesus Christ
[00:02:28.520 --> 00:02:33.160]  有關耶穌基督的宣講
[00:02:33.160 --> 00:02:34.760]  如果你熟悉新約的歷史
[00:02:34.760 --> 00:02:36.800]  你會知道
[00:02:36.800 --> 00:02:39.800]  起初的宣講全部都是口頭的宣講
[00:02:39.800 --> 00:02:41.800]  沒有新約聖經的
[00:02:41.800 --> 00:02:43.360]  新約聖經是什麼時候開始寫的呢?
[00:02:43.360 --> 00:02:45.960]  是耶穌基督死而復生之後
[00:02:45.960 --> 00:02:51.160]  十多二十年才開始有新約聖經的形成
[00:02:51.160 --> 00:02:55.160]  而第一個開始寫新約聖經的就是保羅
[00:02:55.160 --> 00:02:56.560]  所以保羅說
[00:02:56.560 --> 00:02:58.520]  因著墓碑的啟示
[00:02:58.520 --> 00:03:02.400]  我們有主耶穌基督的訊息傳講
[00:03:02.400 --> 00:03:05.240]  現在B變成了CC
[00:03:05.240 --> 00:03:05.840]  是什麼呢?
[00:03:05.840 --> 00:03:09.280]  我所傳的福音
[00:03:09.280 --> 00:03:10.120]  保羅說
[00:03:10.120 --> 00:03:12.120]  我們可以說主耶穌基督的訊息
[00:03:12.120 --> 00:03:16.760]  成為了保羅所傳福音的基礎
[00:03:16.760 --> 00:03:19.760]  什麼叫做我所傳的福音呢?
[00:03:19.760 --> 00:03:21.400]  其實很簡單
[00:03:21.400 --> 00:03:26.720]  就是他現在正在寫的羅馬書
[00:03:26.720 --> 00:03:27.640]  你明白嗎?
[00:03:27.640 --> 00:03:29.680]  他說我現在所寫給你
[00:03:29.680 --> 00:03:30.720]  所傳的福音
[00:03:30.720 --> 00:03:32.240]  所寫給你的羅馬書
[00:03:32.240 --> 00:03:35.480]  是基於過去十多年
[00:03:35.480 --> 00:03:38.360]  主耶穌基督訊息的傳講
[00:03:38.360 --> 00:03:39.680]  口頭的傳講
[00:03:39.680 --> 00:03:43.560]  而口頭的傳講是基於耶穌進入了歷史
[00:03:43.560 --> 00:03:47.920]  成為我們的救主
[00:03:47.920 --> 00:03:48.400]  保羅說
[00:03:48.400 --> 00:03:51.920]  如果你要堅固建造你基督徒的生命
[00:03:51.920 --> 00:03:53.560]  你要堅固建造
[00:03:53.560 --> 00:03:56.840]  你必須要熟讀我本羅馬書
[00:03:56.840 --> 00:03:58.400]  保羅真的很老實不客氣
[00:03:58.400 --> 00:04:02.000]  跟你自己賣廣告的
[00:04:02.000 --> 00:04:04.080]  他說你要堅固建造
[00:04:04.080 --> 00:04:05.120]  你要做什麼呢?
[00:04:05.120 --> 00:04:08.440]  你要留心聽我所講的福音
[00:04:08.440 --> 00:04:11.560]  因為上帝的堅固建造
[00:04:11.560 --> 00:04:16.800]  是按照我現在傳給你的福音
[00:04:16.800 --> 00:04:19.440]  如果你從一個更廣的角度來說
[00:04:19.440 --> 00:04:24.720]  今天我們基督徒要建造我們自己的生命
[00:04:24.720 --> 00:04:27.960]  那藍圖就不單止是羅馬書了
[00:04:27.960 --> 00:04:29.280]  因為我們除了羅馬書之外
[00:04:29.280 --> 00:04:30.000]  我們還有什麼呢?
[00:04:30.000 --> 00:04:34.120]  整個新約聖經二十七本書都是我們的
[00:04:34.120 --> 00:04:35.840]  甚至我們可以這樣說
[00:04:35.840 --> 00:04:41.160]  我們建立基督徒人生的藍圖
[00:04:41.160 --> 00:04:43.160]  是新舊約聖經
[00:04:43.160 --> 00:04:46.680]  六十六本書
[00:04:46.680 --> 00:04:49.640]  所以我們教會的聖經是這麼厚的
[00:04:49.640 --> 00:04:51.640]  不單止是羅馬書
[00:04:51.640 --> 00:04:53.440]  不單止是新約聖經
[00:04:53.440 --> 00:04:55.560]  是新舊約聖經
[00:04:55.560 --> 00:05:00.080]  這是我們建造基督徒人生的藍圖
[00:05:00.080 --> 00:05:02.520]  你要不要堅固建造?
[00:05:02.520 --> 00:05:03.560]  你要堅固建造
[00:05:03.560 --> 00:05:10.120]  我們就要這整本聖經的藍圖
[00:05:10.120 --> 00:05:12.800]  那我問一下你
[00:05:12.800 --> 00:05:15.400]  你有沒有讀這本聖經?
[00:05:15.400 --> 00:05:17.080]  你有沒有讀這本聖經?
[00:05:17.080 --> 00:05:20.680]  我不是問你以前有沒有讀過
[00:05:20.680 --> 00:05:23.080]  我是問你現在有沒有讀
