
[00:00:00.000 --> 00:00:03.600]  我們今天要講靠著聖靈來禱告
[00:00:03.600 --> 00:00:06.980]  保羅在最後的屬靈軍裝的時候講的禱告
[00:00:06.980 --> 00:00:10.080]  就表明這件事情是一個最重要的事情
[00:00:10.080 --> 00:00:17.520]  因為好久要存到如今
[00:00:17.520 --> 00:00:20.120]  這個好久要存到如今
[00:00:20.120 --> 00:00:22.660]  就是說最後的事是最好的
[00:00:22.660 --> 00:00:24.660]  屬靈軍裝你這一切都有了
[00:00:24.660 --> 00:00:27.960]  但是有一個東西一定要有就是要禱告
[00:00:27.960 --> 00:00:32.340]  其實嚴格講起來禱告不是軍裝
[00:00:32.340 --> 00:00:35.440]  軍裝你可以看見哪一個東西有禱告呢
[00:00:35.440 --> 00:00:39.040]  但是保羅在這裡特別把禱告放在軍裝裡面
[00:00:39.040 --> 00:00:42.040]  表明這件事情是一個非常重要的事情
[00:00:42.040 --> 00:00:44.040]  格林多後書我們來看一下
[00:00:44.040 --> 00:00:47.780]  格林多後書第十章四到五節
[00:00:47.780 --> 00:00:50.280]  在這個地方保羅提到什麼呢
[00:00:50.280 --> 00:01:01.060]  保羅提到說要靠著聖靈隨時多方的禱告
[00:01:01.060 --> 00:01:04.060]  讓我們看一下
[00:01:04.060 --> 00:01:05.360]  我們看一下我們起來練好不好
[00:01:05.360 --> 00:01:06.860]  我們起來練 預備請
[00:01:06.860 --> 00:01:09.860]  我們征戰的武器本不是屬血氣的
[00:01:09.860 --> 00:01:12.000]  乃是在神面前有能力
[00:01:12.000 --> 00:01:14.300]  可以攻破堅固的淫壘
[00:01:14.300 --> 00:01:15.840]  將各樣的計謀
[00:01:15.840 --> 00:01:19.280]  各樣男主人認識神的那些至高之士
[00:01:19.280 --> 00:01:23.780]  一概攻破了又將人所有的心意奪回
[00:01:23.780 --> 00:01:25.480]  使他順服嫉妒
[00:01:25.480 --> 00:01:28.680]  所以在這個地方保羅講得很清楚
[00:01:28.680 --> 00:01:31.520]  我們征戰的兵器不是屬血氣的
[00:01:31.520 --> 00:01:36.760]  乃是在神的面前怎麼樣
[00:01:36.760 --> 00:01:38.900]  在神的面前有怎麼樣
[00:01:38.900 --> 00:01:40.100]  填空題都不會啊
[00:01:40.100 --> 00:01:41.800]  在神的面前有怎麼樣
[00:01:41.800 --> 00:01:42.640]  有能力
[00:01:42.640 --> 00:01:45.140]  當你講這句話的時候你再講一遍好不好
[00:01:45.140 --> 00:01:48.480]  有能力
[00:01:48.480 --> 00:01:50.940]  你唱詩歌的時候唱得有沒有力量
[00:01:50.940 --> 00:01:52.640]  跟你的聲音很有關係
[00:01:52.640 --> 00:01:54.420]  所以弟兄姊妹你不要小看
[00:01:54.420 --> 00:01:56.580]  大聲
[00:01:56.580 --> 00:02:01.420]  跟你旁邊說要大聲
[00:02:01.420 --> 00:02:03.520]  如果今天牧師講到的時候
[00:02:03.520 --> 00:02:07.900]  弟兄姊妹今天我們是靠神的有能力
[00:02:07.900 --> 00:02:10.460]  五分鐘之後都睡覺了
[00:02:10.460 --> 00:02:12.500]  是不是
[00:02:12.500 --> 00:02:14.700]  唱詩歌也是
[00:02:14.700 --> 00:02:19.200]  唱詩歌大聲特別讚美的詩歌
[00:02:19.200 --> 00:02:22.340]  弟兄姊妹我們在神的面前有能力
[00:02:22.340 --> 00:02:24.940]  所以怎麼才能有能力呢
[00:02:24.940 --> 00:02:26.940]  禱告
[00:02:26.940 --> 00:02:30.620]  保羅說我們屬靈征戰很重要的是要靠著神
[00:02:30.620 --> 00:02:32.380]  要藉著禱告有能力
[00:02:32.380 --> 00:02:34.980]  耶穌在馬太福音17章21節的時候
[00:02:34.980 --> 00:02:38.160]  耶穌有一次在那邊跟門徒們
[00:02:38.160 --> 00:02:39.320]  教導門徒們禱告
[00:02:39.320 --> 00:02:42.300]  門徒們去為那些有一個被鬼附的
[00:02:42.300 --> 00:02:44.900]  記不記得有一個孩子啞巴的鬼在他裡面
[00:02:44.900 --> 00:02:46.360]  結果他們為他禱告
[00:02:46.360 --> 00:02:47.960]  禱告了半天沒有趕出來
[00:02:47.960 --> 00:02:49.300]  就請耶穌來了
[00:02:49.300 --> 00:02:50.200]  耶穌來了之後
[00:02:50.200 --> 00:02:56.080]  耶穌三兩下就清潔溜溜就把他趕出去了
[00:02:56.080 --> 00:02:59.540]  接著門徒們就很好奇了
[00:02:59.540 --> 00:03:01.480]  哎呀奇怪了
[00:03:01.480 --> 00:03:05.780]  怎麼師父一出馬就搞定了
[00:03:05.780 --> 00:03:07.580]  耶穌也很有智慧啊
[00:03:07.580 --> 00:03:09.920]  他沒有當著這些門徒馬上就說
[00:03:09.920 --> 00:03:12.160]  你看你們這些笨蛋
[00:03:12.160 --> 00:03:14.020]  教你們三年半門徒訓練
[00:03:14.020 --> 00:03:16.560]  LT都畢業了怎麼搞成這個樣子
