
[00:00:00.000 --> 00:00:03.220]  今天和大家講到如何面對困境
[00:00:03.220 --> 00:00:06.700]  在一個困境裡究竟上帝要我們學什麼功課呢?
[00:00:06.700 --> 00:00:09.520]  約書亞記第五章十三至十五節
[00:00:09.520 --> 00:00:11.020]  很簡短的一段經文
[00:00:11.020 --> 00:00:12.060]  請聽我讀出
[00:00:12.060 --> 00:00:13.180]  《和收本》的經文
[00:00:13.180 --> 00:00:15.360]  約書亞靠近耶利哥的時候
[00:00:15.360 --> 00:00:16.360]  舉目觀看
[00:00:16.360 --> 00:00:18.920]  看!有一個人站在他對面
[00:00:18.920 --> 00:00:21.000]  手裡拿著拔出來的刀
[00:00:21.000 --> 00:00:23.420]  約書亞到他那裡對他說
[00:00:23.420 --> 00:00:25.020]  你是屬我們的
[00:00:25.020 --> 00:00:27.540]  還是屬我們敵人的呢?
[00:00:27.540 --> 00:00:32.460]  他說:不,我現在來是要作義和華軍隊的元帥
[00:00:32.460 --> 00:00:35.700]  約書亞就臉伏於地下拜說
[00:00:35.700 --> 00:00:39.340]  我主有什麼話請吩咐僕人罷
[00:00:39.340 --> 00:00:41.960]  義和華軍隊的元帥對約書亞說
[00:00:41.960 --> 00:00:44.580]  把你腳上的鞋脫下來
[00:00:44.580 --> 00:00:47.220]  因為你所站的地方是聖的
[00:00:47.220 --> 00:00:50.260]  約書亞就照著做了
[00:00:50.260 --> 00:00:52.780]  我想人生裡面
[00:00:52.780 --> 00:00:55.740]  中國人說不如於事
[00:00:55.740 --> 00:00:57.980]  人生裡面十常八九
[00:00:57.980 --> 00:01:03.540]  就是說有八成到九成都是不如自己意的事情
[00:01:03.540 --> 00:01:07.940]  我想生命裡面應該不是那麼多
[00:01:07.940 --> 00:01:10.020]  或者暫時還沒遇到那麼多
[00:01:10.020 --> 00:01:11.440]  百分之百
[00:01:11.440 --> 00:01:14.820]  但是我們總會遇到一些不如意的事情
[00:01:14.820 --> 00:01:19.100]  中國古人嘗試用這樣來安慰我們
[00:01:19.100 --> 00:01:21.460]  天將降大任於斯人也
[00:01:21.460 --> 00:01:29.280]  孟子上次也說了一句上帝說話
[00:01:29.280 --> 00:01:36.980]  首先當然是苦其心志
[00:01:36.980 --> 00:01:38.420]  勞其筋骨
[00:01:38.420 --> 00:01:39.660]  餓其體膚
[00:01:39.660 --> 00:01:41.540]  行忽亂其所為
[00:01:41.540 --> 00:01:43.740]  Echo他的咪等等
[00:01:43.740 --> 00:01:46.420]  所以你可以勤心忍性
[00:01:46.420 --> 00:01:48.700]  增益其所能
[00:01:48.700 --> 00:01:52.820]  這也是中國人的思想
[00:01:52.820 --> 00:01:54.580]  我聽過PJ講道
[00:01:54.580 --> 00:01:56.100]  他也這麼說
[00:01:56.100 --> 00:01:57.860]  天將降大任於斯人也
[00:01:57.860 --> 00:02:01.060]  今天的版本是斷其Wi-Fi
[00:02:01.060 --> 00:02:02.100]  封其Facebook
[00:02:02.100 --> 00:02:03.860]  收其WeSwitch
[00:02:03.860 --> 00:02:05.380]  奪其手機
[00:02:05.380 --> 00:02:06.900]  使其心無所亂為
[00:02:06.900 --> 00:02:09.940]  所以能夠百般無聊認真生活
[00:02:09.940 --> 00:02:12.140]  當我跟同工分享的時候
[00:02:12.140 --> 00:02:13.180]  有一位教目
[00:02:13.180 --> 00:02:13.940]  不要說是誰了
[00:02:13.940 --> 00:02:16.300]  有一位教目就是這些Old School
[00:02:16.300 --> 00:02:17.780]  就是這些Old School
[00:02:17.780 --> 00:02:19.100]  應該是這樣說的
[00:02:19.100 --> 00:02:21.300]  天將降大任於斯人也
[00:02:21.300 --> 00:02:23.660]  必先賜其豐盛
[00:02:23.660 --> 00:02:25.100]  讓其發財
