
[00:00:00.000 --> 00:00:02.400]  大衛轉的第十八章
[00:00:02.400 --> 00:00:05.060]  三號以下的第十三章
[00:00:05.060 --> 00:00:07.800]  舊約就是講故事
[00:00:07.800 --> 00:00:10.840]  剛剛才講完羅馬書很多的神學
[00:00:10.840 --> 00:00:12.700]  現在就講故事
[00:00:12.700 --> 00:00:17.340]  但是在故事裡面我們都能夠找到神學的思想
[00:00:17.340 --> 00:00:19.820]  我們上次講到
[00:00:19.820 --> 00:00:22.740]  大衛他犯了姦淫
[00:00:22.740 --> 00:00:24.120]  犯了謀殺
[00:00:24.120 --> 00:00:27.620]  神就差派拿丹仙芝來面對他
[00:00:27.620 --> 00:00:30.560]  於是大衛就認罪悔改
[00:00:30.560 --> 00:00:33.060]  雖然他的罪被赦免
[00:00:33.060 --> 00:00:35.500]  但是他的罪是會有後果
[00:00:35.500 --> 00:00:37.600]  拿丹仙芝告訴他
[00:00:37.600 --> 00:00:40.340]  刀劍將會不離你的家
[00:00:40.340 --> 00:00:43.640]  所以我們今天的題目是什麼
[00:00:43.640 --> 00:00:47.340]  要知道你的罪必追上你
[00:00:47.340 --> 00:00:49.840]  我們犯罪我們基督徒
[00:00:49.840 --> 00:00:52.920]  當我們認罪悔改神是會赦免
[00:00:52.920 --> 00:00:56.260]  但是我們的罪都是會有後果
[00:00:56.260 --> 00:00:58.400]  所以我們要很小心
[00:00:58.400 --> 00:01:01.520]  這一章書
[00:01:01.520 --> 00:01:05.260]  撒姆爾夏的十三章究竟是什麼時候發生的呢?
[00:01:05.260 --> 00:01:09.040]  很多神學家都是爭論不休
[00:01:09.040 --> 00:01:14.180]  有人說是與亞門人爭戰之後不久
[00:01:14.180 --> 00:01:20.380]  也有人說是大衛與拔士巴結婚不久之後所發生
[00:01:20.380 --> 00:01:23.100]  但是也有學者認為
[00:01:23.100 --> 00:01:26.380]  是大衛統治整個以色列國
[00:01:26.380 --> 00:01:29.180]  十五年之後才發生
[00:01:29.180 --> 00:01:33.020]  顯然我們看到作者將注意力
