
[00:00:00.000 --> 00:00:03.200]  主持:我們一直都在看著以利亞的信息
[00:00:03.200 --> 00:00:06.240]  我們從《雅各書》中提醒我們
[00:00:06.240 --> 00:00:09.880]  以利亞和我們每一個人都一樣有同樣的性情
[00:00:09.880 --> 00:00:14.040]  即是說以利亞其實不是甚麼特別、超凡
[00:00:14.040 --> 00:00:17.280]  有一個特異功能或是一些很特別的東西
[00:00:17.280 --> 00:00:19.240]  它都和我們每一個基督徒一樣
[00:00:19.240 --> 00:00:23.320]  我們信主,我們在信主的路上有挫折
[00:00:23.320 --> 00:00:28.400]  有崎嶇,在侍奉的路上有軟弱,有剛強的時刻
[00:00:28.600 --> 00:00:32.400]  我們都是和以利亞同樣是血肉的
[00:00:32.400 --> 00:00:35.640]  我們英文叫mortal,我們都是血肉之軀
[00:00:35.640 --> 00:00:38.720]  我們都是一個一個地獄上的人
[00:00:38.720 --> 00:00:43.200]  但為甚麼以利亞能夠,《雅各書》說祈禱
[00:00:43.200 --> 00:00:45.360]  上帝就應允祂的禱告
[00:00:45.360 --> 00:00:49.240]  即是叫雨,不下的時候就不下,下的時候就下
[00:00:49.240 --> 00:00:51.440]  這個是我們很想了解到
[00:00:51.440 --> 00:00:56.800]  就是我們都想像以利亞一樣有這樣的服侍的經歷
[00:00:56.800 --> 00:01:01.480]  所以以利亞的系列都是幫助我們提醒我們
[00:01:01.480 --> 00:01:06.240]  以利亞經過的,其實是上帝怎樣去塗鑿祂的生命
[00:01:06.240 --> 00:01:08.960]  同樣地今天上帝也在塗鑿我們每一個人的生命
[00:01:08.960 --> 00:01:11.480]  以致我們好像以利亞一樣能夠有機會
[00:01:11.480 --> 00:01:15.120]  我們的人生能夠不再一樣
[00:01:15.120 --> 00:01:19.920]  從以利亞的呼召,到祂一路經歷上帝
[00:01:19.920 --> 00:01:22.640]  我們今天去到一個階段
[00:01:22.640 --> 00:01:26.640]  就是一個,我想我們每一個基督徒都會遇過的
[00:01:26.640 --> 00:01:31.440]  包括牧師在內,就是我們叫靈夫
[00:01:31.440 --> 00:01:35.280]  什麼叫靈夫呢?或者天主教叫神夫
[00:01:35.280 --> 00:01:37.960]  什麼叫靈夫呢?很簡單
[00:01:37.960 --> 00:01:42.560]  我們基督教術語就叫做靈命軟弱
[00:01:42.560 --> 00:01:46.320]  靈性低潮,或者叫屬靈低潮
[00:01:46.320 --> 00:01:49.040]  就好像大衛在詩篇裡面所說
[00:01:49.040 --> 00:01:51.680]  四二篇或者四三篇裡面所說的
