
[00:00:00.000 --> 00:00:04.440]  大家已經聽了幾個月的雅各書的講道
[00:00:04.440 --> 00:00:07.480]  對這本書已經有一些概念
[00:00:07.480 --> 00:00:12.320]  特別在在的導師都接受了雅各書一個很嚴謹的訓練
[00:00:12.320 --> 00:00:13.640]  大家可能都留意到
[00:00:13.640 --> 00:00:15.960]  在剛才的經文第一節
[00:00:15.960 --> 00:00:19.360]  似乎都有一個新的主題的開始
[00:00:19.360 --> 00:00:21.200]  不過這是什麼主題呢?
[00:00:21.200 --> 00:00:24.560]  經文又好像有少少的含糊
[00:00:24.560 --> 00:00:28.120]  因為明明一開始是講關於教導的主題
[00:00:28.120 --> 00:00:33.520]  但是第二節的一個轉眼就變成了是講言語的主題
[00:00:33.520 --> 00:00:35.960]  不僅如此 更加複雜的是
[00:00:35.960 --> 00:00:38.760]  其實我們剛才所看的經文一至十二節
[00:00:38.760 --> 00:00:41.560]  都不算是這個部分完整的講論
[00:00:41.560 --> 00:00:43.640]  其實一節這個主題
[00:00:43.640 --> 00:00:45.160]  是去到三章的結束
[00:00:45.160 --> 00:00:47.560]  十八節才叫正式的完結
[00:00:47.560 --> 00:00:49.400]  但是在十三節開始
[00:00:49.400 --> 00:00:53.160]  這個主題就變成了好像在講智慧這個主題
[00:00:53.160 --> 00:00:57.360]  按照大家手頭上有的講道的講題
[00:00:57.360 --> 00:00:59.080]  大家應該都知道
[00:00:59.080 --> 00:01:01.960]  勝出的就是這個言語的主題
[00:01:01.960 --> 00:01:04.080]  但是其實對於亞國來說
[00:01:04.080 --> 00:01:07.440]  這個教導、言語、智慧之間
[00:01:07.440 --> 00:01:10.280]  其實是有很密切的關係的
[00:01:10.280 --> 00:01:11.920]  那麼言語這個主題
[00:01:11.920 --> 00:01:15.880]  到底跟我們之前看的上文有什麼關係呢?
[00:01:15.880 --> 00:01:18.680]  我就沒有百分百的肯定
[00:01:18.680 --> 00:01:20.600]  大家上文可能比較熟
[00:01:20.600 --> 00:01:23.760]  二章二十六節是這樣講的
[00:01:23.760 --> 00:01:26.080]  身體沒有靈魂是死的
[00:01:26.080 --> 00:01:29.440]  信心沒有行為也是死的
[00:01:29.440 --> 00:01:31.720]  作為一位已婚的弟兄
[00:01:31.720 --> 00:01:33.120]  我就只知道
[00:01:33.120 --> 00:01:36.640]  對著老婆亂說話都是死的
[00:01:36.640 --> 00:01:39.440]  所以在這裡先說一聲不好意思
[00:01:39.440 --> 00:01:40.960]  因為大家都知道
[00:01:40.960 --> 00:01:42.920]  陪送是有錄音的
[00:01:42.920 --> 00:01:46.560]  所以今天是沒有什麼個人的例子跟大家分享的
[00:01:46.560 --> 00:01:49.400]  我們以下就按今天的經文
[00:01:49.400 --> 00:01:52.440]  來思想三個重點
[00:01:52.440 --> 00:01:53.640]  第一個重點就是
[00:01:53.640 --> 00:01:56.000]  沒有能力的言語
[00:01:56.000 --> 00:01:57.360]  第二個重點就是
[00:01:57.360 --> 00:01:59.400]  反照生命的言語
[00:01:59.400 --> 00:02:00.520]  第三個就是
[00:02:00.520 --> 00:02:05.400]  滿載恩典的言語
[00:02:05.400 --> 00:02:06.440]  第一點
[00:02:06.440 --> 00:02:08.240]  沒有能力的言語
[00:02:08.240 --> 00:02:11.720]  經文是一節到五節上
[00:02:11.720 --> 00:02:13.720]  其實亞國書他的經文
[00:02:13.720 --> 00:02:15.840]  他的討論是一個很
[00:02:15.840 --> 00:02:19.400]  很有鋪陳的
[00:02:19.400 --> 00:02:21.840]  如果大家有聖經就可以開著
[00:02:21.840 --> 00:02:24.040]  開著你的聖經
[00:02:24.040 --> 00:02:27.800]  我也有經文的,不過可能容易看到一些上下文
[00:02:27.800 --> 00:02:31.200]  就更加能夠捉到亞國的表達
[00:02:31.200 --> 00:02:35.880]  我們一起先梳理一下經文的思路
[00:02:35.880 --> 00:02:37.600]  經文由一節
[00:02:37.600 --> 00:02:40.560]  不要很多人做教師說起
[00:02:40.560 --> 00:02:42.080]  教師這個字
[00:02:42.080 --> 00:02:45.320]  其實在福音書有另一個我們都很熟悉的發音
[00:02:45.320 --> 00:02:47.240]  就是拉比
[00:02:47.240 --> 00:02:50.280]  一說拉比,感覺好像立刻不同了
[00:02:50.280 --> 00:02:52.520]  層次立刻高了很多
[00:02:52.520 --> 00:02:55.280]  拉比對於亞國的群體來說
[00:02:55.280 --> 00:02:58.120]  其實都是他們當中的領袖
[00:02:58.120 --> 00:03:00.520]  教師這個稱呼當然告訴我們
[00:03:00.520 --> 00:03:02.960]  這一班領袖有一個很重要的工作
[00:03:02.960 --> 00:03:05.080]  就是要去教導
[00:03:05.080 --> 00:03:08.760]  為什麼亞國說不要那麼多人做教師呢
[00:03:08.760 --> 00:03:10.880]  經文緊接的理由就是
[00:03:10.880 --> 00:03:13.480]  因為做教師就要預了
[00:03:13.480 --> 00:03:17.120]  面對更加嚴厲的審判
[00:03:17.120 --> 00:03:19.480]  新約好幾段的經文都反映了
[00:03:19.480 --> 00:03:21.360]  原來在信濠群體裡面
[00:03:21.360 --> 00:03:25.040]  原來有些弟兄姊妹都會很想在教會裡面
[00:03:25.040 --> 00:03:27.560]  做教師、做領袖
[00:03:27.560 --> 00:03:31.360]  好像要做大佬、大姐姐
[00:03:31.360 --> 00:03:33.160]  如果我們教會來說
[00:03:33.160 --> 00:03:37.320]  可能就會發覺有些人都會很想爭取去做職員
[00:03:37.320 --> 00:03:40.240]  可能極少數會很爭取做職員
[00:03:40.240 --> 00:03:45.000]  班長,甚至有些人會覺得很想做到導師、部員
[00:03:45.000 --> 00:03:47.280]  這些當然都可以是好事
[00:03:47.280 --> 00:03:50.760]  但原來實際就是有些情況
[00:03:50.760 --> 00:03:52.440]  都未必那麼好的
[00:03:52.440 --> 00:03:54.840]  好像在亞國書裡面我們就看到
[00:03:54.840 --> 00:03:58.080]  這些很努力在教會爭取做領導
[00:03:58.080 --> 00:04:00.640]  爭取可能還一個話語權的人
