
[00:00:00.000 --> 00:00:04.000]  今日我講到的題目是「基督為首」
[00:00:04.000 --> 00:00:06.000]  我們都記得
[00:00:06.000 --> 00:00:08.000]  當我們讀聖經的時候
[00:00:08.000 --> 00:00:11.000]  我們在聖經
[00:00:11.000 --> 00:00:15.000]  耶穌基督「道成肉身」來到這個世界的時候
[00:00:15.000 --> 00:00:18.000]  祂到處去傳道
[00:00:18.000 --> 00:00:22.000]  醫病、趕鬼、做神蹟騎士
[00:00:22.000 --> 00:00:25.000]  所以很多人來跟隨耶穌
[00:00:25.000 --> 00:00:29.000]  耶穌所去的地方都是人山人海
[00:00:29.000 --> 00:00:32.000]  很多人願意來跟隨祂
[00:00:32.000 --> 00:00:35.000]  今日如果我問下大家
[00:00:35.000 --> 00:00:38.000]  我們願不願意跟隨耶穌
[00:00:38.000 --> 00:00:41.000]  我們願不願意在我們一生人裏面
[00:00:41.000 --> 00:00:44.000]  都是能夠跟隨耶穌基督
[00:00:44.000 --> 00:00:46.000]  做祂的門徒
[00:00:46.000 --> 00:00:49.000]  我想大部份人都說願意
[00:00:49.000 --> 00:00:52.000]  希望我們都能夠
[00:00:52.000 --> 00:00:55.000]  真是可以一生來跟隨耶穌
[00:00:55.000 --> 00:00:58.000]  做祂自己的門徒
[00:00:58.000 --> 00:01:02.000]  但耶穌在聖經的新約的時候
[00:01:02.000 --> 00:01:04.000]  當祂在世界的時候
[00:01:04.000 --> 00:01:07.000]  祂時時跟隨祂的人說
[00:01:07.000 --> 00:01:13.000]  「狐狸有洞,天空的飛鳥有窩,只是人子沒有枕首的地方」
[00:01:13.000 --> 00:01:19.000]  祂說「我連睡覺的地方都沒有,你來跟從我?要考慮一下」
[00:01:19.000 --> 00:01:21.000]  耶穌又時時跟他們說
[00:01:21.000 --> 00:01:25.000]  「若有人要跟從我,就當捨己
[00:01:25.000 --> 00:01:29.000]  天天背起他的十字架來跟從我」
[00:01:29.000 --> 00:01:31.000]  在耶穌的時代
[00:01:31.000 --> 00:01:34.000]  捨己跟從耶穌
[00:01:34.000 --> 00:01:36.000]  要背負十字架
[00:01:36.000 --> 00:01:39.000]  他們知道是甚麼一回事
[00:01:39.000 --> 00:01:43.000]  因為背十字架就等同釘十字架
[00:01:43.000 --> 00:01:46.000]  因為釘十字架的人
[00:01:46.000 --> 00:01:48.000]  他們要將自己的十字架
[00:01:48.000 --> 00:01:51.000]  背上去山那裏來釘
[00:01:51.000 --> 00:01:55.000]  所以耶穌這樣跟他們說
[00:01:55.000 --> 00:01:57.000]  就預先告訴他們
[00:01:57.000 --> 00:02:01.000]  「你要跟從我,要付上生命的代價」
[00:02:01.000 --> 00:02:06.000]  但是我們都知道很多人都沒有計較
