
[00:00:00.000 --> 00:00:05.000]  大英姊妹 早晨 大家平安
[00:00:05.000 --> 00:00:10.000]  今日講平安真係唔係必然
[00:00:10.000 --> 00:00:16.000]  我哋啱啱香港經歷咗世紀嘅一個好巨大嘅黑雨
[00:00:16.000 --> 00:00:24.000]  我喺呢度先同大家講少少 我啱啱前日睇到一啲嘅資訊
[00:00:24.000 --> 00:00:30.000]  聯合國佢話到今年六月到八月
[00:00:30.000 --> 00:00:36.000]  全世界平均嘅氣溫高達十六點七七度攝氏表
[00:00:36.000 --> 00:00:44.000]  比起一九九零到二零二零年嘅平均氣溫係高出零點六六嘅攝氏
[00:00:44.000 --> 00:00:50.000]  令到二零二三年嘅夏天成為人類歷史最熱嘅一年
[00:00:50.000 --> 00:00:55.000]  唔知你覺唔覺呢 覺係咪
[00:00:55.000 --> 00:01:02.000]  有時我哋喺呢一個中環呢啲嘅商場裏面
[00:01:02.000 --> 00:01:08.000]  成日喺呢啲嘅冷氣嘅情況有時就感覺唔到
[00:01:08.000 --> 00:01:11.000]  但係你一行出去就係好犀利嘅
[00:01:11.000 --> 00:01:15.000]  天文台亦都同我哋講到
[00:01:15.000 --> 00:01:20.000]  香港係經歷咗一個有紀錄以嚟最炎熱嘅夏季
[00:01:20.000 --> 00:01:26.000]  六月到八月平均嘅氣溫係破紀錄嘅二十九點七度
[00:01:26.000 --> 00:01:30.000]  而平均最高嘅氣溫係三十二點四度
[00:01:30.000 --> 00:01:33.000]  最低氣溫係廿七點六度
[00:01:33.000 --> 00:01:38.000]  兩者呢都係同期有紀錄以嚟嘅第二高
[00:01:38.000 --> 00:01:41.000]  咁呢上月呢都係講緊八月嘅時候呢
[00:01:41.000 --> 00:01:45.000]  較正常係少咗雨水嘅
[00:01:45.000 --> 00:01:50.000]  本年到頭八個月嘅累積雨量呢係少大概四成
[00:01:50.000 --> 00:01:53.000]  但係啱啱呢我哋大家都知道啦
[00:01:53.000 --> 00:01:59.000]  禮拜五嗰日呢我哋嘅世紀黑雨呢
[00:01:59.000 --> 00:02:01.000]  就係短短十幾個鐘頭
[00:02:01.000 --> 00:02:06.000]  就係落咗我哋呢一年嘅四分一嘅雨量
[00:02:06.000 --> 00:02:10.000]  呢一種呢係好多科學家都擔心嘅一件事
[00:02:10.000 --> 00:02:13.000]  就係極端嘅天氣呢係會繼續頻繁
