
[00:00:00.000 --> 00:00:02.360]  能夠來這裡是上帝給我的恩典
[00:00:02.360 --> 00:00:05.400]  剛剛帶來的第二首詩是我第一次唱
[00:00:05.400 --> 00:00:08.440]  那首詩是我第一次唱的
[00:00:08.440 --> 00:00:11.320]  我非常受感動
[00:00:11.320 --> 00:00:13.480]  特別一句話說
[00:00:13.480 --> 00:00:15.280]  曾經徬徨
[00:00:15.280 --> 00:00:20.080]  曾經有句話說我曾經從低微時
[00:00:20.080 --> 00:00:22.240]  因為耶穌的愛可以展翅飛翔
[00:00:22.240 --> 00:00:24.880]  因為耶穌基督的愛所以可以展翅飛翔
[00:00:24.880 --> 00:00:27.440]  我今天晚上的題目就是
[00:00:27.440 --> 00:00:30.880]  苦難逆轉勝
[00:00:30.880 --> 00:00:33.800]  我今天講的題目是叫苦難逆轉勝
[00:00:33.800 --> 00:00:36.360]  在你的講章的大綱裡面有寫的
[00:00:36.360 --> 00:00:38.520]  來看擱淺的約伯
[00:00:38.520 --> 00:00:41.200]  我見到在擱淺中的約伯
[00:00:41.200 --> 00:00:42.840]  如何從苦難當中
[00:00:42.840 --> 00:00:44.520]  如何在苦難當中呢
[00:00:44.520 --> 00:00:46.000]  經歷逆轉勝
[00:00:46.000 --> 00:00:47.640]  經歷到這個逆轉勝
[00:00:47.640 --> 00:00:51.040]  正如剛剛所唱的說曾經徬徨
[00:00:51.040 --> 00:00:54.000]  好像我剛才唱的那首詩歌說曾經徬徨
[00:00:54.000 --> 00:00:56.520]  曾低微的時候
[00:00:56.520 --> 00:00:58.200]  夜已經深了
[00:00:58.200 --> 00:01:01.440]  我們見到已經勝了
[00:01:01.440 --> 00:01:03.000]  黎明還會太久嗎
[00:01:03.000 --> 00:01:05.240]  有沒有離開了太久呢
[00:01:05.240 --> 00:01:06.280]  夜已經深了
[00:01:06.280 --> 00:01:08.000]  夜已經越深
[00:01:08.000 --> 00:01:09.200]  黎明會太久嗎
[00:01:09.200 --> 00:01:10.360]  黎明會不會越久呢
[00:01:10.360 --> 00:01:12.240]  我們讀三處經文
[00:01:12.240 --> 00:01:13.880]  我們讀三處的經文
[00:01:13.880 --> 00:01:17.520]  第一次請你打開約伯記事九章
[00:01:17.520 --> 00:01:19.640]  在教育聖經的約伯記第十九章
[00:01:19.640 --> 00:01:20.840]  我們一起用廣東話
[00:01:20.840 --> 00:01:23.240]  二十五到二十七節
[00:01:23.240 --> 00:01:26.640]  到二十七節與我們用廣東話一起讀出
[00:01:26.640 --> 00:01:30.400]  在約伯記第十九章的二十五到二十七節
[00:01:30.400 --> 00:01:32.240]  與我們同聲一起讀出
[00:01:32.240 --> 00:01:34.600]  我知道我的救贖主活著
