
[00:00:00.000 --> 00:00:01.540]  在一個新聞的報導
[00:00:01.540 --> 00:00:03.560]  3月22日的時候
[00:00:03.560 --> 00:00:06.620]  就說意大利因為疫症的緣故
[00:00:06.620 --> 00:00:10.340]  已經大概有五千個人離世
[00:00:10.340 --> 00:00:14.480]  當然可能到今天會有更多的數字
[00:00:14.480 --> 00:00:15.820]  就在當天的時候
[00:00:15.820 --> 00:00:17.280]  總理已經說
[00:00:17.280 --> 00:00:21.300]  這個情形是第二次世界大戰以來
[00:00:21.300 --> 00:00:24.160]  最大的危機
[00:00:24.160 --> 00:00:29.140]  在香港也感受到這個疫情的危機
[00:00:29.140 --> 00:00:31.300]  可以說這個疫情是
[00:00:31.300 --> 00:00:36.200]  我們認為可能是全球性的疫症
[00:00:36.200 --> 00:00:37.460]  避無可避
[00:00:37.460 --> 00:00:38.820]  不可以說去哪裡
[00:00:38.820 --> 00:00:42.800]  我說又除了這個全球性地球的問題
[00:00:42.800 --> 00:00:46.780]  可能又帶來自己很多的困擾
[00:00:46.780 --> 00:00:49.580]  那麼在我們的信仰裡面
[00:00:49.580 --> 00:00:52.920]  究竟上帝在做什麼呢?
[00:00:52.920 --> 00:00:54.620]  有這麼大的困難
[00:00:54.620 --> 00:00:56.200]  這麼大的災難
[00:00:56.200 --> 00:00:58.340]  意義在哪裡呢?
[00:00:58.620 --> 00:01:04.020]  那麼今天就嘗試在聖經出埃及記第九章
[00:01:04.020 --> 00:01:08.180]  說十個災難上帝給法老埃及王
[00:01:08.180 --> 00:01:10.160]  有這個災難的時候
[00:01:10.160 --> 00:01:13.240]  災難背後的意義是什麼呢?
[00:01:13.240 --> 00:01:18.880]  那麼想想今天我們經歷的這個疫情災難
[00:01:18.880 --> 00:01:22.040]  有沒有東西我們可以去學習的
[00:01:22.040 --> 00:01:23.920]  那麼今天的題目叫做
[00:01:23.920 --> 00:01:25.960]  災難的啟示
[00:01:25.960 --> 00:01:30.560]  看看聖經出埃及記第九章
[00:01:30.560 --> 00:01:34.400]  第一節到第十四節
[00:01:34.400 --> 00:01:36.380]  這裡是這麼說的
[00:01:36.380 --> 00:01:39.980]  耶和華吩咐摩西說
[00:01:39.980 --> 00:01:43.360]  你進去見法老對他說
[00:01:43.360 --> 00:01:45.060]  耶和華
[00:01:45.060 --> 00:01:47.880]  希伯來人的上帝這樣說
[00:01:47.880 --> 00:01:50.200]  容我的百姓去
