
[00:00:00.000 --> 00:00:04.040]  既然梁化堂要慶祝這個六十周年的傳禧
[00:00:04.040 --> 00:00:09.080]  我們過往在這六十年來
[00:00:09.080 --> 00:00:13.120]  或者你在梁化堂聚會以來
[00:00:13.120 --> 00:00:15.680]  有些什麼值得去謝恩的呢
[00:00:15.680 --> 00:00:18.720]  今年即將結束
[00:00:18.720 --> 00:00:23.520]  事實上今天是整個教會年的最後一天來的
[00:00:23.520 --> 00:00:29.720]  教會和我自己過往在過去這一年來
[00:00:29.720 --> 00:00:33.840]  又有些什麼是值得感謝上帝的恩典的呢
[00:00:33.840 --> 00:00:38.120]  通常我們說謝恩
[00:00:38.120 --> 00:00:40.240]  往往我們是在想一些
[00:00:40.240 --> 00:00:42.800]  數算一些美好的事情
[00:00:42.800 --> 00:00:45.000]  但是
[00:00:45.000 --> 00:00:49.160]  士圖保羅在《帖撒羅尼加》前書第五章
[00:00:49.160 --> 00:00:50.600]  這段經文裡面
[00:00:50.600 --> 00:00:52.680]  他說要常常喜樂
[00:00:52.680 --> 00:00:55.440]  不住地禱告凡是謝恩
[00:00:57.080 --> 00:01:00.400]  有人說人生不如意事的十常八九
[00:01:00.400 --> 00:01:03.040]  即使不是
[00:01:03.040 --> 00:01:05.560]  其實有一些不開心的事情
[00:01:05.560 --> 00:01:09.160]  或者一些是令我們失意的事情
[00:01:09.160 --> 00:01:10.880]  都真的會存在
[00:01:10.880 --> 00:01:14.920]  怎樣可以凡事都謝恩的呢
[00:01:14.920 --> 00:01:18.960]  首先要弄清楚
[00:01:18.960 --> 00:01:21.680]  這裡所說的凡事謝恩
[00:01:21.680 --> 00:01:26.280]  不是為每一件事情感謝上帝恩典
[00:01:26.280 --> 00:01:29.240]  而是在每一件事情之中
[00:01:29.240 --> 00:01:32.360]  在所有事情之中都感謝上帝恩典
[00:01:32.360 --> 00:01:36.000]  這個原文是有個在這樣的意思的
[00:01:36.000 --> 00:01:37.560]  就是說
[00:01:37.560 --> 00:01:40.240]  保羅的意思不是說發生什麼事情
[00:01:40.240 --> 00:01:42.240]  我們都感謝上帝的恩典
[00:01:42.240 --> 00:01:43.320]  當然這個是可能的
[00:01:43.320 --> 00:01:45.600]  不過這個不是這段經文的意思
[00:01:45.600 --> 00:01:46.880]  這段經文的意思是
[00:01:46.880 --> 00:01:48.960]  無論有什麼事情發生
[00:01:48.960 --> 00:01:52.240]  在什麼的場景當中
[00:01:52.240 --> 00:01:56.040]  我們都要感謝上帝的恩典
[00:01:56.040 --> 00:01:58.000]  帖撒羅尼加教會
[00:01:58.000 --> 00:02:01.000]  只是面對來自猶太人
[00:02:01.000 --> 00:02:03.080]  和外邦人的敵意
[00:02:03.080 --> 00:02:04.960]  甚至是迫害
