
[00:00:00.000 --> 00:00:04.000]  當時大概是史詩時期和很多君王的時候
[00:00:04.000 --> 00:00:07.000]  一些言語 很多智慧的說話收集回來
[00:00:07.000 --> 00:00:12.000]  特別所羅門王 他是其中一個主要的收集者
[00:00:12.000 --> 00:00:14.000]  或者有些是他自己的說話
[00:00:14.000 --> 00:00:18.000]  《針研》和《傳道書》都有很接近的地方
[00:00:18.000 --> 00:00:21.000]  不過呢 在《傳道書》裏面問很多問題
[00:00:21.000 --> 00:00:23.000]  是為甚麼 為甚麼 為甚麼會這樣發生
[00:00:23.000 --> 00:00:27.000]  對我們明白一些事理 有多一些的體會
[00:00:27.000 --> 00:00:32.000]  但是《針研》是幫助我們知道怎樣去活出來
[00:00:32.000 --> 00:00:35.000]  因為《針研》是屬神的人
[00:00:35.000 --> 00:00:39.000]  無論昔日和今日 或者人類都面對著很多的問題
[00:00:39.000 --> 00:00:44.000]  很多的事情 是需要智慧去面對
[00:00:44.000 --> 00:00:46.000]  所以在《針研》的三十一章裏面
[00:00:46.000 --> 00:00:50.000]  其實智慧是一個很重要的中心的思想
[00:00:50.000 --> 00:00:53.000]  智慧和知識是有一些的分別
[00:00:53.000 --> 00:00:56.000]  知識我們說是一種IQ對很多的事情
[00:00:56.000 --> 00:00:59.000]  可能是邏輯性 或者一些事物
[00:00:59.000 --> 00:01:01.000]  一些實際的事情他明白
[00:01:01.000 --> 00:01:05.000]  他知道所有的人是這些很科學家
[00:01:05.000 --> 00:01:07.000]  或者一些很有知識的人
[00:01:07.000 --> 00:01:08.000]  他IQ很高
[00:01:08.000 --> 00:01:09.000]  你問他很多東西
[00:01:09.000 --> 00:01:11.000]  如果你有看過一些問答比賽
[00:01:11.000 --> 00:01:12.000]  他問甚麼他都會懂
[00:01:12.000 --> 00:01:15.000]  這些是很高知識的人
[00:01:15.000 --> 00:01:18.000]  但是有智慧的人很不同
[00:01:18.000 --> 00:01:21.000]  在《針研》裏面甚至形容到一些小動物
[00:01:21.000 --> 00:01:22.000]  他都很有智慧
[00:01:22.000 --> 00:01:24.000]  很顯然他沒有甚麼知識
[00:01:24.000 --> 00:01:26.000]  但是他很有智慧知道怎樣做
[00:01:26.000 --> 00:01:27.000]  例如螞蟻
[00:01:27.000 --> 00:01:29.000]  他知道很勤勞地工作
[00:01:29.000 --> 00:01:32.000]  在適當的時候去收集一些食物
[00:01:32.000 --> 00:01:34.000]  在甚麼時候去怎樣做
[00:01:34.000 --> 00:01:37.000]  而《針研》所說的智慧更加是一種
[00:01:37.000 --> 00:01:38.000]  不是一般人所說的智慧
[00:01:38.000 --> 00:01:40.000]  是屬神的智慧
[00:01:40.000 --> 00:01:42.000]  所以我相信將來的同工
