
[00:00:00.000 --> 00:00:07.100]  剛纔所讀的聖經,我們大家都很熟悉
[00:00:07.100 --> 00:00:09.880]  本來下個禮拜講是最好的
[00:00:09.880 --> 00:00:19.040]  因爲那裏講到耶穌準備進入耶路撒冷的一段日子
[00:00:19.040 --> 00:00:23.840]  下個禮拜就是我們教會年曆所講的中樹節
[00:00:23.840 --> 00:00:30.320]  也就是說耶穌在那天騎着爐子進入耶路撒冷
[00:00:30.320 --> 00:00:33.520]  他進入耶路撒冷的目的是什麼呢?
[00:00:33.520 --> 00:00:35.640]  或者說他將會遇到什麼事呢?
[00:00:35.640 --> 00:00:38.920]  就是我們今天所讀的這段經文所講的
[00:00:38.920 --> 00:00:42.680]  在那裏當大家還記得剛纔你讀的聖經時
[00:00:42.680 --> 00:00:45.400]  你會留意到一件很特別的事情
[00:00:45.400 --> 00:00:47.400]  在那裏21節他說
[00:00:47.400 --> 00:00:55.720]  從此以後耶穌指示門徒必須上耶路撒冷去
[00:00:55.720 --> 00:01:03.480]  在那裏受祭司掌、問事、許多苦
[00:01:03.480 --> 00:01:05.120]  甚至被殺
[00:01:05.120 --> 00:01:06.440]  這是第三天的復活
[00:01:06.440 --> 00:01:10.520]  換言之,耶穌知道此行凶多吉少
[00:01:10.520 --> 00:01:13.960]  他這次去可能會死
[00:01:13.960 --> 00:01:18.000]  但是在那裏聖經說他指示門徒
[00:01:18.000 --> 00:01:19.920]  指示門徒什麼呢?
[00:01:19.920 --> 00:01:22.880]  他必須上耶路撒冷
[00:01:22.880 --> 00:01:26.560]  換言之,他很清楚自己在做什麼
[00:01:26.560 --> 00:01:28.040]  爲什麼我這麼說呢?
[00:01:28.040 --> 00:01:31.720]  如果我們再看回上一節的時候
[00:01:31.720 --> 00:01:34.080]  在那裏他的說話
[00:01:34.080 --> 00:01:38.880]  彼得就說:你是神的兒子,是基督
[00:01:38.880 --> 00:01:41.840]  因爲在那個場景裏
[00:01:41.840 --> 00:01:44.440]  耶穌去了一個地步
[00:01:44.440 --> 00:01:45.800]  他去問門徒
[00:01:45.800 --> 00:01:51.160]  你們知不知道那些人究竟說我是誰?
[00:01:51.160 --> 00:01:52.960]  說我是誰?
[00:01:52.960 --> 00:01:55.200]  門徒就回答他
[00:01:55.200 --> 00:01:57.600]  有人說你是先知
