
[00:00:00.000 --> 00:00:02.440]  我們在進入今天的信息之前
[00:00:02.440 --> 00:00:04.440]  我們同心低頭祈禱
[00:00:04.440 --> 00:00:09.460]  創天造地的真神
[00:00:09.460 --> 00:00:11.460]  愛我們的主耶穌基督
[00:00:11.460 --> 00:00:13.940]  引導我們進入真理的聖靈
[00:00:13.940 --> 00:00:16.960]  我們真是滿心感恩
[00:00:16.960 --> 00:00:19.660]  是因為主耶穌祢說過
[00:00:19.660 --> 00:00:21.100]  「恩典救我們勇」
[00:00:21.100 --> 00:00:23.100]  是真確的
[00:00:23.100 --> 00:00:25.600]  是我們親身經歷的
[00:00:25.600 --> 00:00:28.600]  所以如果我們真是內裡
[00:00:28.600 --> 00:00:30.600]  遇到什麼困難
[00:00:30.600 --> 00:00:33.600]  或者有什麼憂傷擔寡
[00:00:33.600 --> 00:00:35.900]  我們求聖靈幫助我們
[00:00:35.900 --> 00:00:37.700]  在今天的崇拜裡面
[00:00:37.700 --> 00:00:41.200]  我們能夠安心在祢的面前
[00:00:41.200 --> 00:00:44.700]  並且按照祢自己的教導
[00:00:44.700 --> 00:00:47.300]  叫我們能夠把握得到
[00:00:47.300 --> 00:00:48.700]  祢是真神
[00:00:48.700 --> 00:00:50.200]  祢的恩典夠用
[00:00:50.200 --> 00:00:51.700]  這個寶貴信息
[00:00:51.700 --> 00:00:53.300]  我們這樣同心仰望
[00:00:53.300 --> 00:00:55.000]  奉耶穌的名求
[00:00:55.000 --> 00:00:56.900]  阿們
[00:00:56.900 --> 00:00:59.400]  教會在今年的一月開始
[00:00:59.400 --> 00:01:01.900]  已經選擇了馬可福音
[00:01:01.900 --> 00:01:04.500]  成為講壇的信息
[00:01:04.500 --> 00:01:07.700]  馬可福音又叫做行動福音
[00:01:07.700 --> 00:01:10.600]  因為就算是同一個事件
[00:01:10.600 --> 00:01:12.200]  馬可的描述
[00:01:12.200 --> 00:01:15.100]  它都是比較簡短
[00:01:15.100 --> 00:01:17.500]  以及描述得很快速的
