
[00:00:00.000 --> 00:00:03.160]  好,我們今天會繼續看二福所書
[00:00:03.160 --> 00:00:05.280]  我們繼續會看二福所書
[00:00:05.280 --> 00:00:08.600]  正如剛才我們所唸的這段經文
[00:00:08.600 --> 00:00:11.000]  我們剛才已經讀了這段經文
[00:00:11.000 --> 00:00:14.000]  那我把它命名為神極大的救恩
[00:00:14.000 --> 00:00:19.280]  我將這個經文標題為神極大的救恩
[00:00:19.280 --> 00:00:25.360]  因為我希望我們看見說神為我們所成就的是
[00:00:25.360 --> 00:00:31.280]  如此大、如此長闊高深的一件事情
[00:00:31.280 --> 00:00:39.680]  我希望大家能夠看見神為我們成就的何等大、何等高深的救恩
[00:00:39.680 --> 00:00:42.280]  對不起,可能需要後台的弟兄姐妹幫忙一下
[00:00:42.280 --> 00:00:48.880]  這個有時候不操作
[00:00:48.880 --> 00:00:52.880]  所以很簡單,除非你從神領受了生命
[00:00:52.880 --> 00:00:55.080]  否則你無法為神而活
[00:00:55.080 --> 00:00:57.880]  這段說話,除非你從神領受了生命
[00:00:57.880 --> 00:00:59.880]  否則你無法為神而活
[00:00:59.880 --> 00:01:01.680]  這個應該很明顯,對吧?
[00:01:01.680 --> 00:01:03.880]  這個很明顯,是不是呢?
[00:01:03.880 --> 00:01:07.080]  我們希望說我們在座的每一位弟兄姐妹
[00:01:07.080 --> 00:01:08.880]  都是蒙恩得救的弟兄姐妹
[00:01:08.880 --> 00:01:12.480]  我希望我們在座當中每一個都是蒙恩得救的人
[00:01:12.480 --> 00:01:16.680]  所以不是你做什麼,以致你成為教會的一份子
[00:01:16.680 --> 00:01:19.680]  不是,因為你做了什麼,成為教會的一份子
[00:01:19.680 --> 00:01:24.080]  也不是你在教會多久,以致你成為神的兒女
[00:01:24.080 --> 00:01:27.880]  也不是你在教會多久,以致你成為教會的一份子
[00:01:27.880 --> 00:01:30.480]  所以我們常常問弟兄姐妹的時候
[00:01:30.480 --> 00:01:34.680]  起碼我會學習說,我不是問你信主了沒有
[00:01:34.680 --> 00:01:37.080]  所以很多時候我都會問弟兄姐妹
[00:01:37.080 --> 00:01:38.880]  不是問你信了主多久
[00:01:38.880 --> 00:01:41.080]  我會問你重生了嗎?
[00:01:41.080 --> 00:01:42.680]  我會問你是不是重生了?
[00:01:42.680 --> 00:01:44.080]  因為如果你問他信主的話
[00:01:44.080 --> 00:01:46.880]  他說我信了,我曾經
[00:01:46.880 --> 00:01:50.480]  他就會追溯到他以前的一段時間
[00:01:50.480 --> 00:01:52.080]  因為如果你問他是不是信了主的時候
[00:01:52.080 --> 00:01:56.080]  他就會返回某個時刻告訴你
[00:01:56.080 --> 00:01:58.680]  但是我們關心的是
[00:01:58.680 --> 00:02:02.680]  你到底有沒有神的生命在你裏面
[00:02:02.680 --> 00:02:04.080]  但是我們其實關心的就是
[00:02:04.080 --> 00:02:07.880]  有沒有神的生命在一個人的生命裏面
[00:02:07.880 --> 00:02:10.080]  所以我們今天看經文的時候
[00:02:10.080 --> 00:02:15.080]  我們可以回顧一下我第一章講到的一些內容
[00:02:15.080 --> 00:02:18.680]  所以我們現在要重溫我們上一堂的時候
[00:02:18.680 --> 00:02:20.080]  我們講過什麼內容呢?
[00:02:20.080 --> 00:02:22.080]  所以保羅為教會的禱告
[00:02:22.080 --> 00:02:24.080]  他是希望說我們看見
[00:02:24.080 --> 00:02:29.080]  開我們的眼睛看見神的恩兆有何等的指望
