
[00:00:00.000 --> 00:00:03.740]  今天講的題目我想大家都不陌生
[00:00:03.740 --> 00:00:04.920]  「主在來」
[00:00:04.920 --> 00:00:08.280]  但是不少的信徒在這個課題裡面
[00:00:08.280 --> 00:00:10.620]  都要清晰的了解
[00:00:10.620 --> 00:00:16.400]  以及這件事情對我們有什麼切身的
[00:00:16.400 --> 00:00:17.760]  直照的關係
[00:00:17.760 --> 00:00:19.600]  我們的態度如何面對「主在來」
[00:00:19.600 --> 00:00:22.800]  這也是我們需要不斷學習的功課
[00:00:22.800 --> 00:00:24.900]  我們一起去禱告
[00:00:24.900 --> 00:00:26.040]  天父我們多謝祢
[00:00:26.040 --> 00:00:29.040]  給我們今天早上一起去學習
[00:00:29.040 --> 00:00:32.140]  願意聖靈開啟我們的眼睛
[00:00:32.140 --> 00:00:33.440]  叫我們去明白
[00:00:33.440 --> 00:00:35.240]  並且改變我們的生命
[00:00:35.240 --> 00:00:36.200]  我們這樣祈禱
[00:00:36.200 --> 00:00:37.800]  奉主耶穌基督的名
[00:00:37.800 --> 00:00:40.280]  阿們
[00:00:40.280 --> 00:00:45.280]  有一次有位朋友打電話來聯絡教會
[00:00:45.280 --> 00:00:49.800]  講到他其實很喜歡上一個網站
[00:00:49.800 --> 00:00:53.640]  這個網站作者講很多末世的事情
[00:00:53.640 --> 00:00:58.600]  這個朋友當時他的信仰都在沉迷中
[00:00:58.600 --> 00:01:00.200]  未很認真地相信
[00:01:00.200 --> 00:01:01.840]  未很清楚地相信
[00:01:01.840 --> 00:01:03.240]  很有興趣
[00:01:03.240 --> 00:01:04.160]  因為講到末世
[00:01:04.160 --> 00:01:07.320]  我不知道大家對末世有沒有興趣
[00:01:07.320 --> 00:01:09.160]  好像將來發生什麼事情那樣
[00:01:09.160 --> 00:01:10.880]  但是他又跟我分享
[00:01:10.880 --> 00:01:13.640]  當他越來越看這個網站的時候
[00:01:13.640 --> 00:01:14.920]  他就害怕起來
[00:01:14.920 --> 00:01:15.520]  越來越害怕
[00:01:15.520 --> 00:01:18.840]  因為這個作者講到很真實的事情
[00:01:18.840 --> 00:01:21.520]  又講到「主在來」的時候
[00:01:21.520 --> 00:01:23.800]  很多的審判
[00:01:23.800 --> 00:01:24.760]  很多的刑罰
[00:01:24.760 --> 00:01:26.280]  他很害怕
[00:01:26.280 --> 00:01:30.240]  就來教會
[00:01:30.240 --> 00:01:33.880]  看看有沒有什麼指引
