
[00:00:00.000 --> 00:00:03.700]  讓我們一起來讀今天的經文,以佛所述二章十四節
[00:00:03.700 --> 00:00:13.200]  這邊說,因他使我們和睦,將兩下合而為一,拆毀了中間隔斷的牆
[00:00:13.200 --> 00:00:21.600]  另外一處是在約翰一書四章十九節,這邊說我們愛,因為神先愛我們
[00:00:21.600 --> 00:00:28.100]  我們看到現在社會的混亂,有許多種族的議題
[00:00:29.000 --> 00:00:36.600]  像是Black Lives Matter, Stop Asian Hate,相當有爭議性又看似無解的難題
[00:00:36.600 --> 00:00:44.800]  事實上在現在許多的家庭當中,也是在關係上面的一個掙扎裡
[00:00:44.800 --> 00:00:49.200]  烏煙瘴氣,甚至有許多的裂痕
[00:00:49.200 --> 00:00:56.400]  有些人說是不是因為疫情的關係所導致,或是政治的因素所造成
[00:00:56.700 --> 00:01:03.600]  甚至是因為經濟的壓力,讓現在有這樣這麼多的Tension
[00:01:03.600 --> 00:01:10.600]  事實上都不是的,是因為人的罪,使人自我中心
[00:01:10.600 --> 00:01:15.900]  使人開始排擠他人,並有極深的不安全感
[00:01:15.900 --> 00:01:22.900]  才造成不合一,造成關係的緊繃,甚至分裂
[00:01:24.800 --> 00:01:31.900]  坦白講,如果罪的問題沒有得到解決的話,紛爭永遠不會停止
[00:01:31.900 --> 00:01:39.200]  這是為什麼上帝需要派他的愛子耶穌基督來到世界上
[00:01:39.200 --> 00:01:46.700]  因為我有十字架的救恩,人與神才能夠和好
[00:01:47.800 --> 00:01:56.300]  罪的問題可以得到解決,而我有十字架的救恩,人與人才能夠和好
[00:01:56.300 --> 00:02:00.300]  因為罪的問題才能夠得到解決
[00:02:00.300 --> 00:02:07.800]  今天我們需要在耶穌的救恩當中,在十字架裡面
[00:02:07.800 --> 00:02:12.600]  我們才能夠看到和好的可能性
[00:02:13.900 --> 00:02:19.000]  但是這不是消極的,這是一個可以來期待的
[00:02:19.000 --> 00:02:27.300]  因為神他非常的樂意看到他的百姓和好
[00:02:27.300 --> 00:02:31.500]  並且成為萬國的祝福
[00:02:31.500 --> 00:02:37.800]  所以今天我們在面對社會的問題
[00:02:39.700 --> 00:02:45.800]  在面對我們家中的問題,在面對我們所居住的土地的問題
[00:02:45.800 --> 00:02:52.700]  我們需要解決的,其實是唯有教會能夠提供的答案
[00:02:52.700 --> 00:02:56.000]  就是耶穌基督的救恩
[00:02:56.000 --> 00:03:01.500]  而當我們聽見,當這個世界看見
[00:03:04.000 --> 00:03:10.500]  在主的愛中是有盼望,在主的愛中是可以有愛與尊重的價值
[00:03:10.500 --> 00:03:14.600]  並且若能夠看見耶穌基督的榜樣的時候
[00:03:14.600 --> 00:03:17.400]  是蠻有盼望的
[00:03:17.400 --> 00:03:23.300]  所以今天盼望這個信息能夠鼓勵我們在座的每一位
[00:03:23.300 --> 00:03:29.800]  從我們的家庭,我們的婚姻,到我們的所侍奉的地方,我們工作的場合
[00:03:30.000 --> 00:03:34.400]  以至於到我們所居住著,所愛的這塊土地
[00:03:34.400 --> 00:03:38.000]  能夠看到有和好的契機
[00:03:38.000 --> 00:03:44.900]  所以今天讓我們一起來學習能夠如何活出和好的秘訣
[00:03:44.900 --> 00:03:52.200]  今天第一個和好的關鍵在於在愛裡面的溝通
[00:03:52.200 --> 00:03:55.600]  我們知道在business裡面
[00:03:56.300 --> 00:04:01.100]  最重要的三個要素就是location, location, and location
[00:04:01.100 --> 00:04:09.100]  而在關係裡面最重要的要素就是communication, communication, and communication
[00:04:09.100 --> 00:04:14.900]  事實上我們在婚姻和親子關係中我們都知道要溝通
