
[00:00:00.000 --> 00:00:07.000]  今天我會繼續講關於敬拜的題目
[00:00:07.000 --> 00:00:09.000]  上一次的講道我提過
[00:00:09.000 --> 00:00:14.000]  我會用兩次的講道來講關於敬拜的題目
[00:00:14.000 --> 00:00:21.000]  上一次我講了歸榮耀彼神的敬拜
[00:00:21.000 --> 00:00:24.000]  歸榮耀彼神的敬拜是怎樣呢
[00:00:24.000 --> 00:00:28.000]  就是去敬拜之前
[00:00:28.000 --> 00:00:34.000]  好好地、很深入地、很全面地去審查自己
[00:00:34.000 --> 00:00:36.000]  然後認罪悔改
[00:00:36.000 --> 00:00:39.000]  然後很歡喜快樂地在神面前
[00:00:39.000 --> 00:00:43.000]  去唱詩讚美、去奉獻、去敬拜
[00:00:43.000 --> 00:00:46.000]  這樣是神所預立的敬拜
[00:00:46.000 --> 00:00:50.000]  是歸榮耀彼神的敬拜
[00:00:50.000 --> 00:00:56.000]  今天我要講的是尋求神的面的敬拜
[00:00:56.000 --> 00:01:00.000]  意思是我們來敬拜的其中一個目的
[00:01:00.000 --> 00:01:05.000]  就是要來尋求神的面
[00:01:05.000 --> 00:01:10.000]  為什麼我們需要尋求神的面呢?
[00:01:10.000 --> 00:01:12.000]  因為神的面
[00:01:12.000 --> 00:01:17.000]  祂的面光可以光照我們
[00:01:17.000 --> 00:01:20.000]  可以將我們心裡的黑暗
[00:01:20.000 --> 00:01:28.000]  特別是恐懼這一方面驅走
[00:01:28.000 --> 00:01:32.000]  恐懼對我們現時代的人
[00:01:32.000 --> 00:01:34.000]  或者對所有人
[00:01:34.000 --> 00:01:39.000]  從歷史裡面各個時代的人
[00:01:39.000 --> 00:01:41.000]  恐懼對人類的打擊
[00:01:41.000 --> 00:01:47.000]  它的嚴重程度很多時候比我們想像之高
[00:01:47.000 --> 00:01:50.000]  我們一般可能都不是很留意
[00:01:50.000 --> 00:01:53.000]  恐懼會令到一個人的身心靈
[00:01:53.000 --> 00:01:56.000]  他的功能都可以癱瘓
[00:01:56.000 --> 00:02:02.000]  我想做醫生的人都很清楚
[00:02:02.000 --> 00:02:07.000]  恐懼可以令到一個人僵硬、發呆
[00:02:07.000 --> 00:02:12.000]  或者另外一個極端會突然發狂、發瘋
[00:02:12.000 --> 00:02:14.000]  恐懼會令到我們失去理智
[00:02:14.000 --> 00:02:18.000]  我們會盲目、亂做事
[00:02:18.000 --> 00:02:24.000]  不理智、做錯決定、做錯事
[00:02:24.000 --> 00:02:28.000]  甚至會犯罪、離開神
[00:02:28.000 --> 00:02:36.000]  但是恐懼有時候會令到我們走近神
[00:02:36.000 --> 00:02:42.000]  戴德生曾經有句說話說得很好
[00:02:42.000 --> 00:02:46.000]  他說恐懼有時候會產生壓力
[00:02:46.000 --> 00:02:48.000]  恐懼也好、壓力也好
[00:02:48.000 --> 00:02:52.000]  有恐懼、有壓力不是最大的問題
[00:02:52.000 --> 00:02:55.000]  最大的問題就是恐懼、壓力發生的時候
[00:02:55.000 --> 00:02:57.000]  是令到我們離開神
[00:02:57.000 --> 00:02:59.000]  抑或去親近神
