
[00:00:00.000 --> 00:00:04.220]  我們這個月頭兩個星期應該有聽過分享
[00:00:04.220 --> 00:00:10.440]  我們已經聽過之前Edward 弟兄和 Passaconti 的分享
[00:00:10.440 --> 00:00:20.460]  在這三個星期我們會重開關於「教務書信」的內容
[00:00:20.460 --> 00:00:25.560]  這三個星期我們會看提摩太前書的內容
[00:00:25.560 --> 00:00:29.600]  上個月我們是看提多書,即是 Book of Titus
[00:00:29.600 --> 00:00:33.840]  即是上個月我們整個月都在看提多書
[00:00:33.840 --> 00:00:37.200]  今個月我們會轉看其中另一卷書信
[00:00:37.200 --> 00:00:40.160]  就是提摩太前書
[00:00:40.160 --> 00:00:44.320]  其實如果我們稍後看一些內容你會發現有多相似
[00:00:44.320 --> 00:00:47.840]  即是我們這兩個月是會看這些書信
[00:00:47.840 --> 00:00:52.240]  即是你覺得好像是比較直接
[00:00:52.240 --> 00:00:56.440]  或者是很坦白說比較悶的一些教導
[00:00:56.440 --> 00:01:03.080]  因為這些書其實重點是寫給教會去面對一些信仰的挑戰
[00:01:03.080 --> 00:01:07.000]  即是例如今日我們看的提摩太前書
[00:01:07.000 --> 00:01:11.680]  就是保羅寫給爾弗索這個地方的人的信
[00:01:11.680 --> 00:01:13.680]  那爾弗索是一個甚麼地方呢?
[00:01:13.680 --> 00:01:18.080]  爾弗索是當時羅馬帝國的一個很大的城市
[00:01:18.080 --> 00:01:23.000]  即是例如好像這些有一個很大的那些叫競技場
[00:01:23.000 --> 00:01:25.400]  即是那些表演的場地
[00:01:25.400 --> 00:01:27.560]  即是這個是一個很大的城市
[00:01:27.560 --> 00:01:31.560]  所以它跟提多書那些例如寫給克里特島
[00:01:31.560 --> 00:01:33.240]  這樣是有一點點不同
[00:01:33.240 --> 00:01:38.680]  但是這兩個地方的教會都是有些相似的問題
[00:01:38.680 --> 00:01:44.040]  我們這三次就未必會看得很多具體是甚麼問題
[00:01:44.040 --> 00:01:46.600]  因為問題基本上有些東西是相似的
[00:01:46.600 --> 00:01:51.640]  即是舉個例來說提摩太前書我們稍後會看到
[00:01:51.640 --> 00:01:55.880]  都有一些所謂去講假教導的人的問題
[00:01:55.880 --> 00:01:59.720]  即是有一些講一些錯的道理的人
[00:01:59.720 --> 00:02:04.440]  亦都是挑戰著提摩太和保羅的權威
[00:02:04.440 --> 00:02:08.920]  又或者是一些去追求一些其實沒有必要追求的事情
[00:02:08.920 --> 00:02:13.080]  所以基本上這些都是相似的一些段落
[00:02:13.080 --> 00:02:19.240]  那接下來這三個星期我們會看提摩太前書的四到第六章
[00:02:19.240 --> 00:02:21.560]  我們主要會探討一些的段落
[00:02:21.560 --> 00:02:25.880]  如果我們當中有探討者是有興趣了解這本書
[00:02:25.880 --> 00:02:28.680]  那當年我很鼓勵大家是回去自己看
[00:02:28.680 --> 00:02:29.800]  是回去自己看一看
[00:02:29.800 --> 00:02:31.080]  因為不長的
[00:02:31.080 --> 00:02:32.280]  即是只有六個章節
[00:02:32.280 --> 00:02:35.160]  所以應該很快就看得完
[00:02:35.160 --> 00:02:40.680]  但是今天我們會討論的是提摩太前書第四章第六到十六節
[00:02:40.680 --> 00:02:45.000]  那這次其實是因為的確這些就比較直接
[00:02:45.000 --> 00:02:47.960]  所以我沒有想到任何很有趣的題目
[00:02:47.960 --> 00:02:53.560]  很坦白說就是一個比較可能覺得很直接的題目來的
[00:02:53.560 --> 00:02:58.120]  因為在這本書裏面其實提摩太的情況
[00:02:58.120 --> 00:03:05.800]  可能和我們今天我們自己面對的情況是有點相似
[00:03:05.800 --> 00:03:11.160]  提摩太當年是保羅其中一個很重視的徒弟
