
[00:00:00.000 --> 00:00:02.000]  大師兄姐妹早晨
[00:00:02.000 --> 00:00:05.000]  我們願意一起學習神的話語
[00:00:05.000 --> 00:00:07.000]  我們首先有個禱告
[00:00:07.000 --> 00:00:11.000]  天父我們多謝祢給我們今天一同的敬拜祢
[00:00:11.000 --> 00:00:13.000]  給我們一齊思想理智的話
[00:00:13.000 --> 00:00:18.000]  叫我們屬靈的生命繼續去無懼的前行
[00:00:18.000 --> 00:00:21.000]  幫助我們這段經文可以提醒我們
[00:00:21.000 --> 00:00:24.000]  叫我們生命裏面有反省
[00:00:24.000 --> 00:00:26.000]  我們這樣祈禱奉主耶穌基督的名
[00:00:26.000 --> 00:00:28.000]  阿們
[00:00:28.000 --> 00:00:31.000]  人生都很多的患難
[00:00:31.000 --> 00:00:35.000]  就算我們基督徒都一樣經歷很多這些事情
[00:00:35.000 --> 00:00:37.000]  有時我們經歷患難的時候
[00:00:37.000 --> 00:00:40.000]  我不知道大家會帶來什麼樣的影響
[00:00:40.000 --> 00:00:43.000]  有可能是叫我們更加的退縮
[00:00:43.000 --> 00:00:49.000]  也可以叫我們更加的去無懼的繼續的前行
[00:00:49.000 --> 00:00:52.000]  我不知道大家你怎樣看前面的路
[00:00:52.000 --> 00:01:01.000]  有一位我看到中信月刊裏面其中記載一個女士
[00:01:01.000 --> 00:01:03.000]  姓何的叫Carmen
[00:01:03.000 --> 00:01:05.000]  可能大家都有留意
[00:01:05.000 --> 00:01:08.000]  她寫了篇文章在中信裏面
[00:01:08.000 --> 00:01:11.000]  講到她自己經歷很多的艱難
[00:01:11.000 --> 00:01:16.000]  很多年前她提到婚姻失敗
[00:01:16.000 --> 00:01:21.000]  以致一個很傷痛的一個破裂的關係
[00:01:21.000 --> 00:01:24.000]  她自己也很有自己的能力
[00:01:24.000 --> 00:01:27.000]  有穩定的工作也有穩定的收入
[00:01:27.000 --> 00:01:30.000]  於是湊大兩個兒子
[00:01:30.000 --> 00:01:32.000]  一直這樣很艱辛
[00:01:32.000 --> 00:01:35.000]  但是這麼多年她感情的傷害
[00:01:35.000 --> 00:01:39.000]  沒有辦法只可以揮去這些的受害
[00:01:39.000 --> 00:01:44.000]  有一天她有個同事介紹她來教會
[00:01:44.000 --> 00:01:46.000]  看她的水禮
[00:01:46.000 --> 00:01:50.000]  這位Carmen去到教會裏面
[00:01:50.000 --> 00:01:52.000]  她覺得那些人洗禮
[00:01:52.000 --> 00:01:55.000]  很發自內心的那種興奮那種雀躍
[00:01:55.000 --> 00:01:57.000]  她很難去了解
[00:01:57.000 --> 00:02:01.000]  她從沒有經歷過這樣的喜樂
[00:02:01.000 --> 00:02:07.000]  於是她就被吸引回來教會裏面聚會
[00:02:07.000 --> 00:02:11.000]  感覺到一種溫暖
[00:02:11.000 --> 00:02:15.000]  久而久之就認識了一些朋友
[00:02:15.000 --> 00:02:18.000]  教會裏面的朋友和她討告
[00:02:18.000 --> 00:02:24.000]  她慢慢感覺到她的傷口被治癒的感覺
[00:02:24.000 --> 00:02:29.000]  後來當然繼續在教會認識著洗禮
[00:02:29.000 --> 00:02:31.000]  成為了一個信徒
[00:02:31.000 --> 00:02:36.000]  我們看到人生一個新的旅程也挺好的
[00:02:36.000 --> 00:02:40.000]  誰知道禍不單行
[00:02:40.000 --> 00:02:44.000]  當她計劃前路的時候
[00:02:44.000 --> 00:02:47.000]  她就預備去澳洲進修
[00:02:47.000 --> 00:02:48.000]  繼續進修
[00:02:48.000 --> 00:02:51.000]  雖然有家庭的負擔
[00:02:51.000 --> 00:02:53.000]  但是她覺得也要這樣去
[00:02:53.000 --> 00:02:55.000]  去到的時候就讀書
[00:02:55.000 --> 00:02:56.000]  很有理想
[00:02:56.000 --> 00:02:59.000]  結果有一次在家裏
[00:02:59.000 --> 00:03:01.000]  香港的父母來探望她
[00:03:01.000 --> 00:03:03.000]  探望她的時候
[00:03:03.000 --> 00:03:07.000]  他們一起去順道去玩一下旅遊
[00:03:07.000 --> 00:03:11.000]  很不幸在當中有一個很嚴重的車禍發生
[00:03:11.000 --> 00:03:12.000]  父母沒有什麼事
[00:03:12.000 --> 00:03:15.000]  但是她卻是嚴重的受傷
[00:03:15.000 --> 00:03:16.000]  搶救之後
[00:03:16.000 --> 00:03:19.000]  她救了一條命
[00:03:19.000 --> 00:03:22.000]  但是她胸口以下
[00:03:22.000 --> 00:03:24.000]  全部都是癱瘓了
[00:03:24.000 --> 00:03:26.000]  這真是晴天霹靂
[00:03:26.000 --> 00:03:29.000]  她說當她康復的時候
[00:03:29.000 --> 00:03:31.000]  這個過程也很漫長
[00:03:31.000 --> 00:03:34.000]  開頭的時候
[00:03:34.000 --> 00:03:37.000]  她覺得不要麻煩別人
[00:03:37.000 --> 00:03:38.000]  又要自己梳洗
[00:03:38.000 --> 00:03:41.000]  又要自己在床裏面去到輪椅
[00:03:41.000 --> 00:03:44.000]  你猜大概要多久呢
[00:03:44.000 --> 00:03:47.000]  大概五個小時才可以開始做到這些事情
[00:03:47.000 --> 00:03:51.000]  因為她全部都想自己去活動
[00:03:51.000 --> 00:03:52.000]  一年之後
[00:03:52.000 --> 00:03:54.000]  時間減了一半
[00:03:54.000 --> 00:03:55.000]  快了一半
[00:03:55.000 --> 00:03:57.000]  但是也是很厲害
[00:03:57.000 --> 00:03:59.000]  你看看這位Carmen
[00:03:59.000 --> 00:04:02.000]  期間她的父母
