
[00:00:00.000 --> 00:00:05.800]  今天想繼續在50週年這個月裏
[00:00:05.800 --> 00:00:09.120]  我自己就會有個心願
[00:00:09.120 --> 00:00:11.640]  就是透過小仙之書
[00:00:11.640 --> 00:00:14.400]  去和大家一起去思想
[00:00:14.400 --> 00:00:16.440]  有關於侍奉
[00:00:16.440 --> 00:00:18.600]  有關於我們的生命
[00:00:18.600 --> 00:00:20.840]  有關於耶和華的日子
[00:00:20.840 --> 00:00:23.600]  這些很重要的觀念
[00:00:23.600 --> 00:00:25.520]  很多時候我們經常說
[00:00:25.520 --> 00:00:28.720]  舊約的仙之書好像距離我們很遠
[00:00:28.720 --> 00:00:32.960]  那個時代好像和我們今天相差很遠
[00:00:32.960 --> 00:00:35.760]  但我越來越看到舊約仙之書
[00:00:35.760 --> 00:00:39.120]  反映出我們今天這個時代
[00:00:39.120 --> 00:00:41.920]  最大的需要
[00:00:41.920 --> 00:00:44.320]  今天我們會看到
[00:00:44.320 --> 00:00:46.600]  很多人會覺得
[00:00:46.600 --> 00:00:49.280]  做基督徒是好的
[00:00:49.280 --> 00:00:51.440]  信耶穌是好的
[00:00:51.440 --> 00:00:54.400]  但是侍奉神這件事
[00:00:54.400 --> 00:00:56.680]  就不需要每個人去做
[00:00:56.680 --> 00:00:58.720]  或者我們有個觀念
[00:00:58.720 --> 00:01:00.600]  侍奉神就好像
[00:01:00.600 --> 00:01:02.440]  一些專職的傳道人
[00:01:02.440 --> 00:01:04.920]  他們蒙照去侍奉神
[00:01:04.920 --> 00:01:06.760]  我們經常有個觀念就是
[00:01:06.760 --> 00:01:10.400]  傳道人獻上的侍奉就比較高級
[00:01:10.400 --> 00:01:13.600]  我們一般弟兄姊妹做接待
[00:01:13.600 --> 00:01:19.000]  做一些小組裏面帶領四個W
[00:01:19.000 --> 00:01:21.720]  相對來說沒有傳道人那麼好
[00:01:21.720 --> 00:01:25.160]  我們的侍奉層次是低一點
[00:01:25.160 --> 00:01:28.280]  我不知道大家會不會有這樣的想法
[00:01:28.280 --> 00:01:30.480]  我想告訴大家
[00:01:30.480 --> 00:01:32.720]  神去拯救我們的時候
[00:01:32.720 --> 00:01:36.000]  其實祂已經預了我們去侍奉神
[00:01:36.000 --> 00:01:36.680]  爲什麼?
[00:01:36.680 --> 00:01:39.640]  因爲神給我們每一個人都有不同的恩賜
[00:01:39.640 --> 00:01:41.000]  不同的特質
[00:01:41.000 --> 00:01:45.280]  只要我們能夠發揮神給我們的恩賜和特質的時候
[00:01:45.280 --> 00:01:47.640]  我們侍奉的時候會很起勁
[00:01:47.640 --> 00:01:49.280]  和我們侍奉的時候
[00:01:49.280 --> 00:01:52.360]  心裏面也會有滿足
[00:01:52.360 --> 00:01:56.280]  所以我也是藉着50週年
[00:01:56.280 --> 00:02:01.640]  我想分享一下過去在燒燈的歷史當中
[00:02:01.640 --> 00:02:04.720]  也都有一幫弟兄姊妹
[00:02:04.720 --> 00:02:07.200]  他們很忠心地去服侍神
[00:02:07.200 --> 00:02:09.760]  所以我們一起彼此共勉
[00:02:09.760 --> 00:02:11.320]  我們一起祈禱
[00:02:11.320 --> 00:02:13.440]  慈愛主我們滿心感謝禰
[00:02:13.440 --> 00:02:17.920]  在今天這個時刻讓我們去思想一個奉獻的課題
[00:02:17.920 --> 00:02:24.800]  這個奉獻就是我們生命裏面再一次的遍圍活祭來歸禰
[00:02:24.800 --> 00:02:27.360]  因爲神禰是喜悅我們這樣做
[00:02:27.360 --> 00:02:30.160]  更加這個是我們生命裏面
[00:02:30.160 --> 00:02:32.520]  存留的一個目的
[00:02:32.520 --> 00:02:34.040]  神拯救我們
[00:02:34.040 --> 00:02:36.760]  慰藏就是我們可以去侍奉祂
[00:02:36.760 --> 00:02:39.560]  神不是立刻將我們帶回天堂
[00:02:39.560 --> 00:02:42.840]  但是今天神讓我們存留在世的時候
[00:02:42.840 --> 00:02:44.560]  就是要我們去侍奉祂
[00:02:44.560 --> 00:02:46.480]  所以我們滿心感謝禰
[00:02:46.480 --> 00:02:49.680]  帶領我們一起去體會神的恩典
[00:02:49.680 --> 00:02:52.000]  我們這樣在禰面前祈禱感謝
[00:02:52.000 --> 00:02:55.440]  奉基督寶貴名字祈求
[00:02:55.440 --> 00:02:59.880]  我們看第一張圖就是說1972年的時候
[00:02:59.880 --> 00:03:02.920]  成年座道會的一幅相
[00:03:02.920 --> 00:03:06.200]  不知道在這幅相里面大家會不會看到自己呢
[00:03:06.200 --> 00:03:09.000]  如果你看到自己都相當厲害
[00:03:09.000 --> 00:03:11.320]  因爲這裏個個都是大人
[00:03:11.320 --> 00:03:16.240]  1972年的大人到現在都很不簡單
[00:03:16.240 --> 00:03:20.560]  有人告訴我其中一個是陳美德執事
[00:03:20.560 --> 00:03:23.320]  我不知道你看不看到他在哪裏
[00:03:23.320 --> 00:03:24.640]  陳美德執事
[00:03:24.640 --> 00:03:29.200]  我想說成年座道會究竟是什麼
[00:03:29.200 --> 00:03:32.400]  原來座道會英文叫Training Union
[00:03:32.400 --> 00:03:36.080]  其實是浸信會里面一個很特別的
[00:03:36.080 --> 00:03:38.280]  類似一個團契
[00:03:38.280 --> 00:03:45.600]  或者類似一個弟兄姊妹能夠相聚的地方
[00:03:45.600 --> 00:03:48.640]  但是它叫Training Union它有一個目的
[00:03:48.640 --> 00:03:51.520]  它的口號就是
[00:03:51.520 --> 00:03:53.520]  學而後知服務
[00:03:53.520 --> 00:03:56.480]  認識並傳揚基督
[00:03:56.480 --> 00:03:58.040]  我不知道哪個先走
[00:03:58.040 --> 00:03:59.600]  認識並傳揚基督
[00:03:59.600 --> 00:04:01.200]  學而後知服務
[00:04:01.200 --> 00:04:06.560]  我不知道大家在座當中有沒有一些回得久的弟兄姊妹印象
[00:04:06.560 --> 00:04:10.760]  這個座道會其實就是一個去訓練弟兄姊妹
[00:04:10.760 --> 00:04:12.440]  他們怎麼去侍奉神
[00:04:12.440 --> 00:04:15.920]  譬如怎麼去做主席 怎麼去做靈脩
[00:04:15.920 --> 00:04:19.000]  怎麼去做師傅 怎麼去做文書
