
[00:00:00.000 --> 00:00:04.820]  今天我們的題目是「曾平安的確據」
[00:00:04.820 --> 00:00:07.200]  我們仍然是分享《路加福音》的
[00:00:07.200 --> 00:00:09.200]  不過梁牧師很細心的
[00:00:09.200 --> 00:00:12.540]  他叫我這個禮拜倒轉頭
[00:00:12.540 --> 00:00:16.000]  我們去看《路加福音》第二章
[00:00:16.000 --> 00:00:22.700]  所以我們今天倒轉頭看《路加福音》第二章的一至二十一節
[00:00:22.700 --> 00:00:27.500]  十二月通常是聖誕節的月份
[00:00:27.500 --> 00:00:30.540]  如果你是香港人你都會發現
[00:00:30.540 --> 00:00:35.900]  每年的市面上都會充滿著節日的氣氛
[00:00:35.900 --> 00:00:38.580]  無論你是不是基督徒也好
[00:00:38.580 --> 00:00:43.300]  都很容易被這個聖誕氣氛感染得很開心 是吧
[00:00:43.300 --> 00:00:48.180]  不過今年的十二月香港有些不一樣了
[00:00:48.180 --> 00:00:50.300]  由於大埔的火災
[00:00:50.300 --> 00:00:56.500]  全香港其實是瀰漫著一些傷感的氣氛
[00:00:56.500 --> 00:01:00.240]  過往很多香港人都會這樣說
[00:01:00.240 --> 00:01:04.140]  「嘩 我們住的城市是個福地」
[00:01:04.140 --> 00:01:07.140]  「我們不會有很嚴重的天災」
[00:01:07.140 --> 00:01:11.640]  「我們又不像其他國家那樣經常受到戰爭的威脅」
[00:01:11.640 --> 00:01:20.860]  不過原來一瞬間可以令差不多接近二千個家庭喪失了家園
[00:01:20.860 --> 00:01:27.900]  昨天最新的數字是161個生命就此失去了
[00:01:27.900 --> 00:01:32.340]  究竟真平安可以在哪裏找到呢
[00:01:32.340 --> 00:01:35.400]  於是我就和AI聊聊天
[00:01:35.400 --> 00:01:41.660]  AI就給了我十大可以為人帶來平安感的元素給我
[00:01:41.660 --> 00:01:46.340]  我想今早和大家倒數十大 好不好
[00:01:46.340 --> 00:01:55.000]  看看AI給覺得人可以有平安感的第十位是甚麼
[00:01:55.000 --> 00:01:57.860]  原來是服務與奉獻
[00:01:57.860 --> 00:02:01.240]  原來幫助其他人回饋教會
[00:02:01.240 --> 00:02:04.700]  可以帶來的意義感和滿足感
[00:02:04.700 --> 00:02:07.740]  是可以帶給人平安的
[00:02:07.740 --> 00:02:12.060]  第九位 平和的環境和生活節奏
[00:02:12.060 --> 00:02:16.840]  有寧靜的空間不要只追求外面的刺激
[00:02:16.840 --> 00:02:21.540]  會令我們的心靈慢慢安靜下來
[00:02:21.540 --> 00:02:25.140]  第八位 安全感和保障
[00:02:25.140 --> 00:02:30.140]  本來真是有穩定的居所當然帶給人安全感
[00:02:30.140 --> 00:02:33.560]  足夠的保障包括保險
[00:02:33.560 --> 00:02:38.140]  就會讓人沒有後顧之憂
[00:02:38.140 --> 00:02:42.140]  第七位 和大自然連結
[00:02:42.140 --> 00:02:45.400]  有空真的去大自然出去走走
[00:02:45.400 --> 00:02:51.600]  那種寧靜可以給我們一個平靜安穩的感覺
[00:02:51.600 --> 00:02:54.600]  遠離煩囂
[00:02:54.600 --> 00:02:58.400]  第六位是正向的自我價值和目標
[00:02:58.400 --> 00:03:01.800]  了解自己多點 肯定自己
[00:03:01.800 --> 00:03:04.200]  並且有努力的目標
[00:03:04.200 --> 00:03:10.100]  可以為我們帶來裏面的充實和平靜的感覺
[00:03:10.100 --> 00:03:14.200]  進入五大了 你猜第五位是甚麼呢
[00:03:14.200 --> 00:03:18.200]  都很實際的 財務穩定
[00:03:18.200 --> 00:03:21.700]  要的 真是有足夠的資源
[00:03:21.700 --> 00:03:26.400]  去應對生活的開支和突發事件
[00:03:26.400 --> 00:03:31.200]  這個是可以減少對未來的憂慮
[00:03:31.200 --> 00:03:35.200]  咦 終於出現人了
[00:03:35.200 --> 00:03:37.700]  是呀 原來友誼很重要
[00:03:37.700 --> 00:03:41.200]  堅實的友誼 有朋友在身邊陪伴
[00:03:41.200 --> 00:03:43.200]  支持共渡難關
[00:03:43.200 --> 00:03:47.200]  提供了不少的安全感
[00:03:47.200 --> 00:03:50.700]  三大了 第三位是
[00:03:50.700 --> 00:03:53.700]  有朋友怎會少得家人呢
[00:03:53.700 --> 00:03:56.700]  所以家人的愛和支持
[00:03:56.700 --> 00:04:00.200]  家人的平安健康
[00:04:00.200 --> 00:04:03.700]  常常都是我們祈禱的方向
[00:04:03.700 --> 00:04:06.700]  所以這一份和家人的連結
[00:04:06.700 --> 00:04:09.200]  這一份的歸屬感是很重要
[00:04:09.200 --> 00:04:11.200]  家就是避風港
[00:04:11.200 --> 00:04:15.700]  當然是一個平安的元素
[00:04:15.700 --> 00:04:19.700]  第二位 看你能否猜到
[00:04:19.700 --> 00:04:21.700]  身體健康
[00:04:21.700 --> 00:04:25.200]  是呀 健康是最大的本錢
[00:04:25.200 --> 00:04:27.700]  可以平安健康地生活
[00:04:27.700 --> 00:04:31.200]  本身就是平安的來源
[00:04:31.200 --> 00:04:34.200]  AI給了第十位至第二位
[00:04:34.200 --> 00:04:35.700]  不知道你認同多少位
[00:04:35.700 --> 00:04:41.200]  還有第一位 你猜第一位是甚麼呢
[00:04:41.200 --> 00:04:43.700]  信仰和靈性
[00:04:43.700 --> 00:04:45.700]  原來是信仰和靈性
[00:04:45.700 --> 00:04:48.200]  AI沒有說哪個宗教
[00:04:48.200 --> 00:04:52.200]  它說透過禱告 冥想和神連結
[00:04:52.200 --> 00:04:54.200]  就可以將重擔交托
[00:04:54.200 --> 00:04:57.700]  獲得超越環境的平安和力量
[00:04:57.700 --> 00:05:01.700]  不過最奇妙的是最後一句
[00:05:01.700 --> 00:05:04.700]  原來AI的第一位用甚麼總結
[00:05:04.700 --> 00:05:06.700]  是用聖經
[00:05:06.700 --> 00:05:08.700]  它引述了以賽亞書
[00:05:08.700 --> 00:05:11.700]  二十六章第三節至第四節
[00:05:11.700 --> 00:05:13.200]  它沒有寫章節
[00:05:13.200 --> 00:05:14.700]  不過它寫了經文出來
[00:05:14.700 --> 00:05:16.700]  堅心倚靠你職
[00:05:16.700 --> 00:05:20.700]  你必保守他十分平安
[00:05:20.700 --> 00:05:24.200]  我看到這裡都覺得相當奇妙
[00:05:24.200 --> 00:05:25.700]  就算是AI也好
[00:05:25.700 --> 00:05:27.700]  去到第一位
[00:05:27.700 --> 00:05:29.700]  被人帶來平安的感覺
[00:05:29.700 --> 00:05:31.700]  竟然最後的終結
[00:05:31.700 --> 00:05:35.700]  都是用聖經作為一個方向
[00:05:35.700 --> 00:05:37.700]  原來上帝的來
[00:05:37.700 --> 00:05:43.700]  真的會帶給我們真正的平安
[00:05:43.700 --> 00:05:46.700]  這個禮拜剛剛是張臨期的第四個主日
[00:05:46.700 --> 00:05:50.700]  我們點起的也正是平安之燭
[00:05:50.700 --> 00:05:53.700]  不如今天我們就從三個方面
[00:05:53.700 --> 00:05:56.700]  去看看主耶穌基督的降生
[00:05:56.700 --> 00:06:00.700]  怎樣為我們帶來真平安的確具
[00:06:00.700 --> 00:06:03.700]  而當中我們又學習哪三個功課
[00:06:03.700 --> 00:06:04.700]  好不好
[00:06:04.700 --> 00:06:06.700]  第一個功課
[00:06:06.700 --> 00:06:08.700]  效法主耶穌基督
[00:06:08.700 --> 00:06:10.700]  道成肉身
[00:06:10.700 --> 00:06:13.700]  謙卑走進人群的服事
[00:06:13.700 --> 00:06:15.700]  我邀請大家一起讀這幾節聖經
[00:06:15.700 --> 00:06:17.700]  方拿錫入紙
[00:06:46.700 --> 00:06:48.700]  麻煩大家讀完這三節
[00:06:48.700 --> 00:07:13.700]  相信在教會內的弟兄姊妹
