
[00:00:00.000 --> 00:00:03.740]  《歷代志》是一本挺難讀的書
[00:00:03.740 --> 00:00:08.720]  尤其是一開始就有九章聖經都是講一些家譜的
[00:00:08.720 --> 00:00:12.980]  《歷代志》也是一個挺奇怪的書
[00:00:12.980 --> 00:00:17.720]  因為它有一點點好像重寫了整個舊約的歷史
[00:00:17.720 --> 00:00:22.640]  我們的系列就叫做《基督自保盡藏舊約》
[00:00:22.640 --> 00:00:24.440]  但是其實從另外一個角度來說
[00:00:24.440 --> 00:00:28.320]  你也可以說叫做《黑暗舊約,期待基督》
[00:00:28.320 --> 00:00:32.380]  因為到了最後的時候 其實是非常之黑暗的
[00:00:32.380 --> 00:00:37.280]  進入這個400年的黑暗 上帝再不說話等等
[00:00:37.280 --> 00:00:42.340]  所以今天 現在我們在讀這本《歷代志》
[00:00:42.340 --> 00:00:45.880]  其實就帶我們進入這樣的一個階段
[00:00:45.880 --> 00:00:49.820]  而最後是期待著耶穌基督的來臨
[00:00:49.820 --> 00:00:54.560]  再講 如果大家是和我們一起在讀的話
[00:00:54.560 --> 00:00:57.200]  可能你現在是讀到《歷代志》
[00:00:57.200 --> 00:01:00.420]  當然你有快有慢 有些人讀得快一點的
[00:01:00.420 --> 00:01:03.060]  或者他不是按著這個 都沒有所謂
[00:01:03.060 --> 00:01:06.300]  但是我們今天要講的 如果你有這樣看
[00:01:06.300 --> 00:01:10.620]  今天應該是在讀《歷代志》上的17、18章
[00:01:10.620 --> 00:01:14.240]  其實《歷代志》是一本書 沒有上下的
[00:01:14.240 --> 00:01:18.180]  因為太長 所以我們把它變成做上下
[00:01:18.180 --> 00:01:22.240]  但是其實未來一、二、兩個禮拜
[00:01:22.240 --> 00:01:25.120]  甚至三個禮拜 大家都會在讀《歷代志》
[00:01:25.120 --> 00:01:28.080]  所以我今天有一點點要回頭
[00:01:28.080 --> 00:01:33.100]  為大家介紹一下這本書 大家努力吧
[00:01:33.100 --> 00:01:35.140]  《歷代志》是一本什麼書呢?
[00:01:35.140 --> 00:01:39.140]  它就真是有些將整個舊約的歷史
[00:01:39.140 --> 00:01:43.260]  是總結的一本書 所以你看《歷代志》的時候
[00:01:43.260 --> 00:01:45.320]  很需要的一件事就是
[00:01:45.320 --> 00:01:52.060]  知道舊約聖經的一個歷史的一個藍圖
[00:01:52.060 --> 00:01:56.960]  我們都是去回這個講以色列的歷史
[00:01:56.960 --> 00:01:59.840]  阿拉罕出埃及 入迦南
[00:01:59.840 --> 00:02:03.780]  進入了迦南之後是一個非常混亂的時代
[00:02:03.780 --> 00:02:06.020]  約書亞記就好像挺好的
[00:02:06.020 --> 00:02:09.240]  但是一去到史詩記就非常的混亂
[00:02:09.240 --> 00:02:13.200]  史詩記說我們要有一個 期待一個君王
[00:02:13.200 --> 00:02:17.760]  這個君王不是蘇羅 甚至從另一個角度來講
[00:02:17.760 --> 00:02:23.100]  都不是大衛 而當大衛傳位給索羅門的時候
