
[00:00:00.000 --> 00:00:01.340]  兩位姐妹平安
[00:00:01.340 --> 00:00:04.000]  不知道大家喜不喜歡看電視
[00:00:04.000 --> 00:00:05.960]  但最近大家都知道
[00:00:05.960 --> 00:00:08.300]  因爲有沒有得看電視
[00:00:08.300 --> 00:00:09.640]  有沒有選擇
[00:00:09.640 --> 00:00:13.300]  有很多的爭議或者討論
[00:00:13.300 --> 00:00:15.420]  到這個地步
[00:00:15.420 --> 00:00:18.420]  就很想有一個公義的聲音
[00:00:18.420 --> 00:00:19.580]  一個地方
[00:00:19.580 --> 00:00:22.580]  是可以講一句公道的說話
[00:00:22.580 --> 00:00:24.180]  不知道大家
[00:00:24.180 --> 00:00:25.280]  在上一次
[00:00:25.280 --> 00:00:28.640]  對上一次經歷到不公平的事情是什麼時候
[00:00:28.760 --> 00:00:30.080]  是什麼時候
[00:00:30.080 --> 00:00:32.940]  你可能會爲自己出頭
[00:00:32.940 --> 00:00:35.180]  或者盼望真是有一位
[00:00:35.180 --> 00:00:36.960]  有實權的人
[00:00:36.960 --> 00:00:39.900]  可以在那裏主持公道
[00:00:39.900 --> 00:00:45.060]  大家日日晚晚見到整個制度偏離公義
[00:00:45.060 --> 00:00:48.360]  一些虛假的藉口被集體講爲事實
[00:00:48.360 --> 00:00:50.040]  指鹿爲馬的時候
[00:00:50.040 --> 00:00:52.040]  或者過去大家
[00:00:52.040 --> 00:00:55.380]  很真實的基礎和制度
[00:00:55.380 --> 00:00:58.720]  感受到深受威脅的時候
[00:00:59.480 --> 00:01:01.940]  當一切努力都似乎沒有用
[00:01:01.940 --> 00:01:04.080]  在那一刻
[00:01:04.080 --> 00:01:06.940]  我們真的很希望有一把公義的聲音
[00:01:06.940 --> 00:01:08.560]  施行判斷
[00:01:08.560 --> 00:01:13.160]  判斷或者審判
[00:01:13.160 --> 00:01:16.840]  是基督教信仰裏面很重要很重要的成分
[00:01:16.840 --> 00:01:18.440]  在舊約裏面
[00:01:18.440 --> 00:01:21.840]  神是被稱爲審判全地的主
[00:01:21.840 --> 00:01:24.480]  又或者稱爲公義的神
[00:01:24.480 --> 00:01:27.160]  大家可以想象一下
[00:01:27.160 --> 00:01:29.680]  如果在聖綱裏面沒有了這一部分的時候
[00:01:29.680 --> 00:01:31.400]  我們會覺得
[00:01:31.400 --> 00:01:35.640]  公義公平我們還能夠在哪裏找得到
[00:01:35.640 --> 00:01:41.480]  但是審判並不單單是指善與惡之間的判斷
[00:01:41.480 --> 00:01:43.080]  而是更加的見得到
[00:01:43.080 --> 00:01:46.840]  神是親自來對抗罪惡
[00:01:46.840 --> 00:01:49.520]  在人類的歷史裏面
[00:01:49.520 --> 00:01:53.280]  審判更加彰顯到神自己的屬性
[00:01:53.280 --> 00:01:54.720]  神自己的公義
[00:01:54.720 --> 00:01:55.840]  祂的憐憫
[00:01:55.840 --> 00:01:57.000]  祂的慈悲
[00:01:57.000 --> 00:01:58.120]  祂的徵直
[00:01:58.120 --> 00:02:00.920]  更加的彰顯得到
[00:02:00.920 --> 00:02:02.800]  在不義的裏面
[00:02:02.800 --> 00:02:06.880]  神如何的來拯救那些信靠祂的人
[00:02:06.880 --> 00:02:15.680]  在新約裏面我們見得到審判更加的講到將來要來的大日的審判
[00:02:15.680 --> 00:02:18.120]  每一個人都要接受這個審判
[00:02:18.120 --> 00:02:19.160]  無一倖免
[00:02:19.160 --> 00:02:21.120]  人類每一個說話
[00:02:21.120 --> 00:02:22.920]  每一個隱蔽的事
[00:02:22.920 --> 00:02:24.160]  每一個意念
[00:02:24.160 --> 00:02:26.360]  所講的閒話
[00:02:26.640 --> 00:02:28.040]  主耶穌自己說
[00:02:28.040 --> 00:02:31.200]  都要一一的被審判
