
[00:00:00.000 --> 00:00:03.200]  今天要給大家分享一個題目
[00:00:03.200 --> 00:00:05.940]  叫無知的財主
[00:00:05.940 --> 00:00:09.300]  就是講一個財主的故事
[00:00:09.300 --> 00:00:11.800]  我不曉得在我們當中有沒有財主
[00:00:11.800 --> 00:00:14.580]  可能會有 我們
[00:00:14.580 --> 00:00:17.140]  曾經裡面真的是
[00:00:17.140 --> 00:00:18.740]  長龍臥虎
[00:00:18.740 --> 00:00:21.440]  就是很多的人坐在這裡 你不知道他是
[00:00:21.440 --> 00:00:22.220]  什麼來頭
[00:00:22.220 --> 00:00:25.800]  有可能有一天你會發現原來坐在你旁邊
[00:00:25.800 --> 00:00:27.900]  那個人 他很有來頭
[00:00:27.900 --> 00:00:29.180]  他是
[00:00:29.820 --> 00:00:31.580]  什麼名人 或說他是什麼
[00:00:31.580 --> 00:00:33.380]  很有權柄的人
[00:00:33.380 --> 00:00:37.580]  但是今天這個的財主 我們所講的
[00:00:37.580 --> 00:00:38.500]  他是一個
[00:00:38.500 --> 00:00:43.300]  不是太有智慧的一個財主 我
[00:00:43.300 --> 00:00:46.500]  形容他是一個無知的財主 他至少在
[00:00:46.500 --> 00:00:49.460]  好幾方面是無知的 那這個財主
[00:00:49.460 --> 00:00:50.580]  也是耶穌基督
[00:00:50.580 --> 00:00:54.220]  藉著他來教導我們的一個反面的
[00:00:54.220 --> 00:00:55.620]  一個教材
[00:00:55.620 --> 00:00:57.540]  那我們在
[00:00:58.660 --> 00:01:01.700]  開始分享之前 我們先來一起來念一下
[00:01:01.700 --> 00:01:03.260]  今天的經文 是在
[00:01:03.260 --> 00:01:06.660]  路加福音的十二章十三到
[00:01:06.660 --> 00:01:07.900]  二十一節
[00:01:07.900 --> 00:01:11.420]  如果你沒有聖經 你可以看我們的這個
[00:01:11.420 --> 00:01:14.180]  屏幕 屏幕上面也有經文
[00:01:14.180 --> 00:01:16.580]  看到我們一起來念
[00:01:16.580 --> 00:01:17.980]  一二起
[00:01:17.980 --> 00:01:21.980]  眾人中有一個人對耶穌說
[00:01:21.980 --> 00:01:25.100]  夫子 請你吩咐我的兄長
[00:01:25.100 --> 00:01:26.940]  和我分開家業
[00:01:27.260 --> 00:01:30.660]  耶穌說 你這個人誰利我賺
[00:01:30.660 --> 00:01:34.380]  你們斷世的官 給你們分家業呢
[00:01:34.380 --> 00:01:36.660]  於是對眾人說
[00:01:36.660 --> 00:01:41.300]  你們要謹慎自守 免去一切的貪心
[00:01:41.300 --> 00:01:45.620]  因為人的生命不在乎家道豐富
[00:01:45.620 --> 00:01:48.540]  就用比喻對他們說
[00:01:48.540 --> 00:01:51.660]  有一個財主田產豐盛
[00:01:51.660 --> 00:01:54.020]  自己心裡思想說
[00:01:54.020 --> 00:01:56.980]  我的出產沒有地方收藏
[00:01:57.180 --> 00:01:58.140]  怎麼辦呢
[00:01:58.140 --> 00:02:00.460]  又說 我要這麼辦
[00:02:00.460 --> 00:02:03.140]  要把我的倉房拆了
[00:02:03.140 --> 00:02:04.940]  另蓋更大的
[00:02:04.940 --> 00:02:09.780]  在那裡好收藏我一切的糧食和財物
[00:02:09.780 --> 00:02:13.980]  然後要對我的靈魂說
[00:02:13.980 --> 00:02:17.580]  靈魂啊 你有許多財物資存
[00:02:17.580 --> 00:02:19.860]  可做多年的費用
[00:02:19.860 --> 00:02:23.300]  只管安安逸逸的吃喝快樂吧
[00:02:23.300 --> 00:02:25.500]  神卻對他說
[00:02:25.660 --> 00:02:29.500]  無知的人啊 今夜必要你的靈魂
[00:02:29.500 --> 00:02:32.260]  你所預備的要歸誰呢
[00:02:32.260 --> 00:02:34.500]  凡為自己積財
[00:02:34.500 --> 00:02:37.420]  在神面前卻不付足的
[00:02:37.420 --> 00:02:38.900]  也是這樣
[00:02:38.900 --> 00:02:43.100]  如果大家有留意新聞的話
[00:02:43.100 --> 00:02:45.860]  一定會知道在香港有很多時候
[00:02:45.860 --> 00:02:47.460]  都會出現有關這個
[00:02:47.460 --> 00:02:49.300]  豪門或者是富豪
[00:02:49.300 --> 00:02:51.100]  他們增產的這些的案件
[00:02:51.100 --> 00:02:53.460]  你活在香港一定對這個
[00:02:53.460 --> 00:02:54.660]  不陌生的
