
[00:00:00.000 --> 00:00:02.000]  讓姊妹主內平安
[00:00:02.000 --> 00:00:05.680]  很高興再一次在港台上和大家見面
[00:00:05.680 --> 00:00:12.360]  大家知道現在全球爆發一個大流行
[00:00:12.360 --> 00:00:14.360]  已經有十個月的時間
[00:00:14.360 --> 00:00:18.240]  看回今早的數據
[00:00:18.240 --> 00:00:21.640]  全球有三千七百萬人確診
[00:00:21.640 --> 00:00:24.880]  而超過一百萬人死亡
[00:00:24.880 --> 00:00:29.520]  而我們英國真是重災區之一
[00:00:29.520 --> 00:00:32.800]  聽說排第十位左右
[00:00:32.800 --> 00:00:35.280]  近六十萬人確診
[00:00:35.280 --> 00:00:37.280]  超過四萬人死亡
[00:00:37.280 --> 00:00:40.800]  四萬人真是不是一個小的數字
[00:00:40.800 --> 00:00:44.800]  可能我們覺得這四萬個都是老弱殘兵
[00:00:44.800 --> 00:00:46.160]  很年長者
[00:00:46.160 --> 00:00:49.040]  但他們本來都是很健康的
[00:00:49.040 --> 00:00:52.320]  雖然說有些長期病患
[00:00:52.320 --> 00:00:56.160]  但沒有哪個長者是沒有長期病患的
[00:00:56.160 --> 00:00:59.400]  只有十個、九個都有些病痛 年紀大
[00:00:59.400 --> 00:01:04.600]  但因為今次疫症提早結束了他們的生命
[00:01:04.600 --> 00:01:06.600]  實在是非常可惜
[00:01:06.600 --> 00:01:12.120]  這場疫症可以被譽為第二次世界大戰以來
[00:01:12.120 --> 00:01:15.920]  全球最大影響到我們的民生
[00:01:15.920 --> 00:01:18.680]  我們的經濟和我們的健康
[00:01:18.680 --> 00:01:23.800]  相信這個影響是會持續性的
[00:01:23.800 --> 00:01:27.520]  最保守估計這個影響會是起碼兩至三年
[00:01:27.520 --> 00:01:31.320]  但後遺症 即是經濟的損傷
[00:01:31.320 --> 00:01:33.320]  將來要交重稅
[00:01:33.320 --> 00:01:36.320]  或者很多長期病患
[00:01:36.320 --> 00:01:41.080]  很多因為康復 但是有很多的首尾
[00:01:41.080 --> 00:01:43.880]  這個可能真是五至十年的時間
[00:01:43.880 --> 00:01:45.880]  才可以完全康復
[00:01:45.880 --> 00:01:48.520]  實在是影響了我們很大
[00:01:48.520 --> 00:01:50.520]  相信會影響到我們每一個人
[00:01:50.520 --> 00:01:55.080]  本來我們可以很自由的去出街
[00:01:55.080 --> 00:01:59.040]  很自由的不用戴口罩去吸收新鮮空氣
[00:01:59.040 --> 00:02:03.120]  很自由的去探望我們沒見很久的朋友 親戚
[00:02:03.120 --> 00:02:05.120]  或者我們的子女 我們的孫子
[00:02:05.120 --> 00:02:07.120]  但因為這個全球的大流行
[00:02:07.120 --> 00:02:10.480]  令到我們就慌張 令到我們連出街
[00:02:10.480 --> 00:02:12.480]  我們都有一些懼怕
[00:02:12.480 --> 00:02:15.120]  搭公共車我們更加懼怕
[00:02:15.120 --> 00:02:17.120]  去到別人的家
[00:02:17.120 --> 00:02:21.200]  我們真是仍然要保持一些社交的距離
[00:02:21.200 --> 00:02:25.160]  社交距離這四個字都是近一年
[00:02:25.160 --> 00:02:29.760]  由於大流行我們才學會了一個新的名詞
[00:02:29.760 --> 00:02:31.760]  平時社交就是社交
[00:02:31.760 --> 00:02:33.760]  為什麼要距離呢
[00:02:33.760 --> 00:02:37.280]  人與人之間距離應該是越拉越近的
