
[00:00:00.000 --> 00:00:02.000]  我們教會有個小組
[00:00:02.000 --> 00:00:04.000]  這個小組叫做
[00:00:04.000 --> 00:00:06.000]  阿加皮組
[00:00:06.000 --> 00:00:10.000]  大家都不知道阿加皮組以前的組叫什麼名字?
[00:00:10.000 --> 00:00:11.000]  摩尼組
[00:00:11.000 --> 00:00:12.000]  為什麼用摩尼?
[00:00:12.000 --> 00:00:14.000]  因為大部分的人都住在摩尼
[00:00:14.000 --> 00:00:16.000]  所以我們就叫它做摩尼小組
[00:00:16.000 --> 00:00:19.000]  但是現在已經改名叫做阿加皮組
[00:00:19.000 --> 00:00:21.000]  這個是一個新名
[00:00:21.000 --> 00:00:23.000]  新名所賦予的其實就是
[00:00:23.000 --> 00:00:25.000]  這個希臘文本身就是突出了
[00:00:25.000 --> 00:00:28.000]  我們期待會學習神的愛
[00:00:28.000 --> 00:00:30.000]  我們期待這個小組充滿著
[00:00:30.000 --> 00:00:32.000]  神的愛的一個小組
[00:00:32.000 --> 00:00:34.000]  過去的一年教會的年度
[00:00:34.000 --> 00:00:36.000]  就是由二四年的七月
[00:00:36.000 --> 00:00:38.000]  一直到二五年的
[00:00:38.000 --> 00:00:40.000]  為什麼上面這麼黑暗?
[00:00:40.000 --> 00:00:42.000]  二五年的六月
[00:00:42.000 --> 00:00:45.000]  其實教會就是以這個彼此相愛
[00:00:45.000 --> 00:00:47.000]  成為了我們教會的主題
[00:00:47.000 --> 00:00:51.000]  學習愛是教會和信徒
[00:00:51.000 --> 00:00:53.000]  一個很重要的標記
[00:00:53.000 --> 00:00:56.000]  這個是我們港圖裡面已經強調過
[00:00:56.000 --> 00:00:58.000]  我們強調過愛有巨大的能力
[00:00:58.000 --> 00:01:00.000]  我們學習過
[00:01:00.000 --> 00:01:01.000]  我們要彼此謙卑
[00:01:01.000 --> 00:01:03.000]  我們要彼此接納
[00:01:03.000 --> 00:01:04.000]  我們要和睦
[00:01:04.000 --> 00:01:06.000]  我們要彼此饒恕
[00:01:06.000 --> 00:01:10.000]  甚至我們見到友情的那種可貴
[00:01:10.000 --> 00:01:13.000]  這些都是我們曾經在港台裡面
[00:01:13.000 --> 00:01:16.000]  所得到的所教導的一個信息
[00:01:16.000 --> 00:01:19.000]  所以我們一定要明白到
[00:01:19.000 --> 00:01:21.000]  彼此相愛的各方面
[00:01:21.000 --> 00:01:23.000]  一些聖經的教導
[00:01:23.000 --> 00:01:25.000]  來到教會的年度的結束
[00:01:25.000 --> 00:01:28.000]  我們不只是要回顧
[00:01:28.000 --> 00:01:30.000]  以前是怎麼樣
[00:01:30.000 --> 00:01:31.000]  更重要的我們要問的是
[00:01:31.000 --> 00:01:34.000]  彼此相愛的終極目標
[00:01:34.000 --> 00:01:36.000]  到底是什麼?
[00:01:36.000 --> 00:01:40.000]  答案當然不是感情的維繫
[00:01:40.000 --> 00:01:43.000]  答案當然也不是氣氛的維繫
[00:01:43.000 --> 00:01:46.000]  又或者是多搞一些成功的聚會
[00:01:46.000 --> 00:01:48.000]  吸引更多人來參加
[00:01:48.000 --> 00:01:50.000]  這些都不是彼此相愛
[00:01:50.000 --> 00:01:53.000]  我們接下來要做的事
[00:01:53.000 --> 00:01:55.000]  其實聖經告訴我們
[00:01:55.000 --> 00:01:58.000]  愛其實是一種建立生命
[00:01:58.000 --> 00:02:00.000]  建立教會
[00:02:00.000 --> 00:02:04.000]  建立基督身體的力量
[00:02:04.000 --> 00:02:06.000]  今天我們會嘗試
[00:02:06.000 --> 00:02:09.000]  從《二福所書》第四章十五到十六節
[00:02:09.000 --> 00:02:10.000]  這兩者經文
[00:02:10.000 --> 00:02:13.000]  去為這個主題做一個總結
[00:02:13.000 --> 00:02:15.000]  保羅在第四章一開始的時候
[00:02:15.000 --> 00:02:19.000]  就提到保羅要我們做些什麼
[00:02:19.000 --> 00:02:20.000]  要我們謙虛
[00:02:20.000 --> 00:02:22.000]  要我們溫柔
[00:02:22.000 --> 00:02:23.000]  要我們忍耐
[00:02:23.000 --> 00:02:24.000]  要我們愛心
[00:02:24.000 --> 00:02:25.000]  互相寬容
[00:02:25.000 --> 00:02:28.000]  努力去保守聖靈所賜
[00:02:28.000 --> 00:02:29.000]  合二為一的心
[00:02:29.000 --> 00:02:30.000]  這句話
[00:02:30.000 --> 00:02:32.000]  聖靈所賜合二為一的心
[00:02:32.000 --> 00:02:34.000]  不是一句口頭禪
[00:02:34.000 --> 00:02:35.000]  或者是一個口號
[00:02:35.000 --> 00:02:37.000]  意思在上面
[00:02:37.000 --> 00:02:40.000]  合一是要建基在基督的愛
[00:02:40.000 --> 00:02:42.000]  和神的說話
[00:02:42.000 --> 00:02:43.000]  真理的上面
[00:02:43.000 --> 00:02:45.000]  並且也都需要教會
[00:02:45.000 --> 00:02:48.000]  有愛的人來建立
[00:02:48.000 --> 00:02:50.000]  而不是拆毀
[00:02:50.000 --> 00:02:53.000]  所以為什麼《二福所書》
[00:02:53.000 --> 00:02:56.000]  雖然只有六章經文
[00:02:56.000 --> 00:02:57.000]  但是你知不知道
[00:02:57.000 --> 00:02:58.000]  「愛」這個字
[00:02:58.000 --> 00:03:00.000]  「阿加皮」這個字出現了多少次
[00:03:00.000 --> 00:03:01.000]  十次
[00:03:01.000 --> 00:03:02.000]  它的動詞
[00:03:02.000 --> 00:03:03.000]  它的動詞
[00:03:03.000 --> 00:03:05.000]  又是出現了十次
[00:03:05.000 --> 00:03:06.000]  換句話說
[00:03:06.000 --> 00:03:08.000]  我沒有空查它的形容詞
[00:03:08.000 --> 00:03:09.000]  但是它的名詞
[00:03:09.000 --> 00:03:10.000]  是不是它的動詞
[00:03:10.000 --> 00:03:13.000]  已經出現了二十次
[00:03:13.000 --> 00:03:16.000]  《二福所書》強調的是愛
[00:03:16.000 --> 00:03:18.000]  保羅不是叫我們
[00:03:18.000 --> 00:03:20.000]  只是停留在維持和諧
[00:03:20.000 --> 00:03:22.000]  這個局面上面
[00:03:22.000 --> 00:03:24.000]  而是教會必須要
[00:03:24.000 --> 00:03:26.000]  在基督的愛和真理上面
[00:03:26.000 --> 00:03:29.000]  連接一條線
