
[00:00:00.000 --> 00:00:03.000]  第一次會讓我們聽神的禱言 同心禱告
[00:00:03.000 --> 00:00:06.000]  弟兄們 讓我們聽到之前先同心禱告
[00:00:06.000 --> 00:00:12.000]  慈悲的父神 多謝祢 讓我們再次回到聖殿當中
[00:00:12.000 --> 00:00:15.000]  讓我們一同去仰望主祢的根深
[00:00:15.000 --> 00:00:18.000]  求祢讓聽到的時間
[00:00:18.000 --> 00:00:23.000]  使我們更認識祢是怎樣的主 怎樣的神
[00:00:23.000 --> 00:00:27.000]  讓我們學會怎樣尊敬祢是我們的主 我們的神
[00:00:27.000 --> 00:00:29.000]  我們以此為念
[00:00:29.000 --> 00:00:32.000]  讓我們今天的經拜 聽到的時間
[00:00:32.000 --> 00:00:36.000]  完完全全再次在上帝的主權之下
[00:00:36.000 --> 00:00:38.000]  我親愛的父神 感謝祢
[00:00:38.000 --> 00:00:41.000]  讓我們能夠再次打開主祢的說話
[00:00:41.000 --> 00:00:45.000]  能夠使我們明白 祢是怎樣的一位主
[00:00:45.000 --> 00:00:49.000]  怎樣一位生命的帶領者
[00:00:49.000 --> 00:00:51.000]  讓我們更能夠有機會
[00:00:51.000 --> 00:00:55.000]  能夠明白 祢是怎樣把祢的主權
[00:00:55.000 --> 00:00:59.000]  加在我們身上 為的都是為我們的好處
[00:00:59.000 --> 00:01:02.000]  讓我們再次把這段時間共進教堂
[00:01:02.000 --> 00:01:07.000]  讓祢的話語成為我們最重要的信仰根基
[00:01:07.000 --> 00:01:10.000]  來要完全存活在你當中
[00:01:10.000 --> 00:01:13.000]  我們懇求祢就讓我們今天這個經拜
[00:01:13.000 --> 00:01:15.000]  能夠在祢的帶領當中
[00:01:15.000 --> 00:01:19.000]  再次重歸於主祢的主權之下
[00:01:19.000 --> 00:01:21.000]  我們禱告 奉主耶穌的名求
[00:01:21.000 --> 00:01:23.000]  Amen
[00:01:24.000 --> 00:01:26.000]  不知道你有沒有試過
[00:01:26.000 --> 00:01:30.000]  有些人和你的意見或者立場
[00:01:30.000 --> 00:01:32.000]  是有衝突的時候呢?
[00:01:32.000 --> 00:01:34.000]  我不知道你有沒有試過
[00:01:34.000 --> 00:01:38.000]  當別人和你的意見和立場有差別的時候
[00:01:38.000 --> 00:01:41.000]  當別人和你抱著一種不同的態度
[00:01:41.000 --> 00:01:44.000]  或者不同的看法的時候
[00:01:44.000 --> 00:01:46.000]  你又會覺不覺得對方
[00:01:46.000 --> 00:01:48.000]  是對你造成很大的滋擾呢?
[00:01:48.000 --> 00:01:51.000]  當然如果說別人的觀點和看法
[00:01:51.000 --> 00:01:53.000]  跟你不一樣的時候
[00:01:53.000 --> 00:01:57.000]  你是否覺得對你造成很大的滋擾呢?
[00:01:57.000 --> 00:01:59.000]  以前我們工作的時候
[00:01:59.000 --> 00:02:01.000]  以前我們做事的時候
[00:02:01.000 --> 00:02:04.000]  無論是在教會侍奉也好
[00:02:04.000 --> 00:02:07.000]  或者是在教會侍奉裡面也好
[00:02:07.000 --> 00:02:09.000]  就是說無論是在教會外面
[00:02:09.000 --> 00:02:11.000]  還是教會裡面侍奉
[00:02:11.000 --> 00:02:15.000]  有不少的人對於我在開會期間
[00:02:15.000 --> 00:02:17.000]  告訴他我的意見的時候
[00:02:17.000 --> 00:02:19.000]  他覺得我很麻煩
[00:02:19.000 --> 00:02:21.000]  當我把我的意見告訴別人的時候
[00:02:21.000 --> 00:02:23.000]  別人覺得我很麻煩
[00:02:23.000 --> 00:02:24.000]  覺得你是用英文說
[00:02:24.000 --> 00:02:26.000]  You are a troublemaker
[00:02:26.000 --> 00:02:28.000]  你是麻煩者
[00:02:28.000 --> 00:02:30.000]  就是說別人覺得我是一個麻煩製造者
[00:02:30.000 --> 00:02:34.000]  覺得你不能妥協在整個群眾裡面
[00:02:34.000 --> 00:02:37.000]  如果不能在整個群眾中妥協
[00:02:37.000 --> 00:02:40.000]  或者你不能夠有大家同心合意的看法
[00:02:40.000 --> 00:02:42.000]  如果大家不能有同心合意的看法
[00:02:42.000 --> 00:02:47.000]  於是他們就處於一種很敵對的態度
[00:02:47.000 --> 00:02:49.000]  處於一種敵對的態度
[00:02:49.000 --> 00:02:51.000]  你不要以為在基督徒之間
[00:02:51.000 --> 00:02:53.000]  這種態度不會存在
