
[00:00:00.000 --> 00:00:01.360]  請大家打一段經文
[00:00:01.360 --> 00:00:03.960]  在新界聖經的《約翰福音》第十五章
[00:00:03.960 --> 00:00:07.440]  由第一節開始至到第十七節
[00:00:07.440 --> 00:00:10.080]  《約翰福音》第十五章
[00:00:10.080 --> 00:00:15.360]  由第一節開始至到第十七節
[00:00:15.360 --> 00:00:18.000]  如果找到的話我們會同聲一起讀出這段經文
[00:00:18.000 --> 00:00:22.480]  《約翰福音》第十五章第一節開始至到十七節
[00:00:22.480 --> 00:00:24.320]  如果找到的話我們會同聲一起讀出
[00:00:24.320 --> 00:00:27.840]  我是真葡萄樹 我父是栽培的人
[00:00:27.840 --> 00:00:31.200]  凡屬我不結果之的枝子他就剪去
[00:00:31.200 --> 00:00:33.840]  凡結果之的他就修理乾淨
[00:00:33.840 --> 00:00:35.680]  洗枝子結果子更多
[00:00:35.680 --> 00:00:39.280]  現在你們因我講給你的道已經乾淨了
[00:00:39.280 --> 00:00:42.640]  你們要常在我裡面 我也常在你們裡面
[00:00:42.640 --> 00:00:46.480]  枝子若不常在葡萄樹上 自己就不能夠結果子
[00:00:46.480 --> 00:00:49.280]  你們若不常在我裡面 也是這樣
[00:00:49.280 --> 00:00:50.080]  第五節
[00:00:50.080 --> 00:00:52.640]  我是葡萄樹 你們是枝子
[00:00:52.640 --> 00:00:55.360]  常在我裡面的 我也常在他裡面
[00:00:55.360 --> 00:01:00.000]  這人就多結果子 因為來了我 你們就不能作甚麼
[00:01:00.000 --> 00:01:04.160]  人若不常在我裡面 就像枝子凋在外面枯乾
[00:01:04.160 --> 00:01:07.360]  人濕起來 冰在火裡燒了
[00:01:07.360 --> 00:01:11.040]  你們若常在我裡面 我的話也常在你們裡面
[00:01:11.040 --> 00:01:14.240]  凡你們所願意的 祈求就給你們成就
[00:01:14.240 --> 00:01:17.040]  你們多結果子 我父就因此得榮耀
[00:01:17.040 --> 00:01:19.360]  你們也就是我的門徒了
[00:01:19.360 --> 00:01:22.080]  我愛你們 正如父愛我一樣
[00:01:22.080 --> 00:01:26.000]  你們常在我外裡 你們若遵守我的命令
[00:01:26.000 --> 00:01:29.760]  就常在我外裡 正如我遵守了我父的命令
[00:01:29.760 --> 00:01:31.120]  常在他外裡
[00:01:31.120 --> 00:01:33.280]  這即是我已經對你們說了
[00:01:33.280 --> 00:01:36.080]  是要叫我的喜樂存在你們心裡
[00:01:36.080 --> 00:01:38.320]  並叫你們的喜樂可以滿足
[00:01:38.320 --> 00:01:41.840]  你們要彼此相愛 像我愛你們一樣
[00:01:41.840 --> 00:01:43.280]  這就是我的命令
[00:01:43.280 --> 00:01:47.040]  人為朋友捨命 人的愛心沒有比這個大的
[00:01:47.040 --> 00:01:50.560]  你們若遵從我所吩咐的 就是我的朋友了
[00:01:50.560 --> 00:01:52.880]  以後我不再稱你們為僕人
[00:01:52.880 --> 00:01:55.280]  因為僕人不知道主人所作的事
[00:01:55.280 --> 00:01:56.880]  我乃稱你們為朋友
[00:01:56.880 --> 00:02:00.480]  因為我從父所聽見的 都已經告訴了你們
[00:02:00.480 --> 00:02:03.760]  不是你們揀選了我 是我揀選了你們
[00:02:03.760 --> 00:02:05.760]  並且分派你們的結果子
[00:02:05.760 --> 00:02:07.600]  叫你們的果子常存
[00:02:07.600 --> 00:02:09.120]  此你們奉我命
[00:02:09.120 --> 00:02:11.760]  無論向父求什麼 他就賜給你們
[00:02:11.760 --> 00:02:15.440]  我這樣吩咐你們 是要叫你們彼此相愛
[00:02:15.440 --> 00:02:16.800]  跟你們旁邊的聽眾說一聲
[00:02:16.800 --> 00:02:18.800]  我們要連結啟動
[00:02:20.320 --> 00:02:23.760]  在這段經文裡我們讀完之後有兩個反應
[00:02:23.760 --> 00:02:27.360]  第一個反應就是 我們不知道讀了些什麼
[00:02:27.360 --> 00:02:31.040]  因為究竟我們在父的裡面 父在我們裡面
[00:02:31.040 --> 00:02:33.120]  基督在我們裡面 我在基督的裡面
[00:02:33.120 --> 00:02:35.040]  究竟誰在誰的裡面 是不是
[00:02:35.040 --> 00:02:37.920]  但是不要忘記耶穌是用最簡單的言辭
[00:02:37.920 --> 00:02:39.920]  去說了最深的東西
[00:02:39.920 --> 00:02:41.920]  如果今天有人用很深的言辭
[00:02:41.920 --> 00:02:43.920]  去說耶穌的簡單的東西
[00:02:43.920 --> 00:02:47.200]  這個人是在說話
[00:02:47.200 --> 00:02:48.400]  我的意思是說
[00:02:48.400 --> 00:02:50.960]  耶穌的教導一向都是很顯淺的
[00:02:50.960 --> 00:02:52.960]  祂能夠成為偉大的導師
[00:02:52.960 --> 00:02:54.960]  因為祂將最深的道
[00:02:54.960 --> 00:02:57.600]  是用最簡單的說話講解出來
[00:02:57.600 --> 00:02:58.560]  如果是這樣的話
[00:02:58.560 --> 00:03:01.200]  這段經文沒什麼再簡單得過這段經文了
[00:03:01.200 --> 00:03:05.040]  耶穌用了最簡單的說話去說了最深的東西
[00:03:05.040 --> 00:03:07.520]  就是說沒有任何更簡單的說話
[00:03:07.520 --> 00:03:09.200]  比耶穌的說話更簡單了
[00:03:09.200 --> 00:03:10.080]  如果這樣的話
[00:03:10.080 --> 00:03:11.600]  你們看不明白 我也看不明白的話
[00:03:11.600 --> 00:03:12.560]  只有一個方法
[00:03:12.560 --> 00:03:14.800]  看多一次 都不明白再看多一次
[00:03:14.800 --> 00:03:16.160]  都不明白再看多一次
[00:03:16.160 --> 00:03:16.960]  Amen
[00:03:16.960 --> 00:03:18.480]  第二
[00:03:18.480 --> 00:03:21.440]  這段經文很明顯地分了兩個段落
[00:03:21.440 --> 00:03:24.320]  第一在第一節和第五節重複了
[00:03:24.320 --> 00:03:25.760]  我是真葡萄樹
[00:03:25.760 --> 00:03:28.240]  第五節說我是葡萄樹
[00:03:28.240 --> 00:03:32.720]  猶太人在你看《雅各書》和《約翰方樣》
[00:03:32.720 --> 00:03:35.840]  一二三書都出現了這種現象
[00:03:35.840 --> 00:03:37.680]  就是無論是《雅各》和《約翰》
[00:03:37.680 --> 00:03:39.680]  他雖然用希臘文去寫聖經
[00:03:39.680 --> 00:03:41.920]  因為當時是通用的文字
[00:03:41.920 --> 00:03:42.960]  是希臘文
[00:03:42.960 --> 00:03:45.760]  但是他的思維是希伯來人
[00:03:45.760 --> 00:03:46.800]  如果這樣的話
[00:03:46.800 --> 00:03:48.640]  很不幸地
[00:03:48.640 --> 00:03:50.480]  西方的哲學思想
[00:03:50.480 --> 00:03:53.440]  因為後來基督教到了希羅世界裡面
[00:03:53.440 --> 00:03:57.600]  受到亞歷士多德等等的哲學思想影響
[00:03:57.600 --> 00:04:00.240]  到了十九世紀的哲學思潮
[00:04:00.240 --> 00:04:02.960]  神學等同於哲學
[00:04:02.960 --> 00:04:07.280]  哲學凌駕於神學之上
[00:04:07.280 --> 00:04:09.040]  這樣就出現了問題了
[00:04:09.040 --> 00:04:11.760]  因為西方的哲學思想
[00:04:11.760 --> 00:04:13.920]  和猶太人的思維方法
