
[00:00:00.000 --> 00:00:02.580]  周六上課的頂姐妹 早晨
[00:00:02.580 --> 00:00:05.640]  線上的頂姐妹 大家好
[00:00:05.640 --> 00:00:08.140]  今天我們來到十誡
[00:00:08.140 --> 00:00:10.940]  最後一誡的講道
[00:00:10.940 --> 00:00:15.500]  十誡是上主對祂的子民說的十句說話
[00:00:15.500 --> 00:00:17.540]  這十句說話對我們來說
[00:00:17.540 --> 00:00:19.400]  都很重要的
[00:00:19.400 --> 00:00:20.740]  我們在聽到之前
[00:00:20.740 --> 00:00:24.340]  我們一起有一個禱告
[00:00:24.340 --> 00:00:26.240]  深愛我們的天父上帝
[00:00:26.240 --> 00:00:28.240]  我們喜歡你的說話
[00:00:28.240 --> 00:00:29.740]  求主幫助我們
[00:00:29.740 --> 00:00:31.400]  在我們的生命裡面
[00:00:31.400 --> 00:00:32.900]  能夠有一些空間
[00:00:32.900 --> 00:00:34.540]  勝在你的教導
[00:00:34.540 --> 00:00:37.600]  又賜給我們有信心 決心
[00:00:37.600 --> 00:00:40.300]  去做一個聽道 行道的人
[00:00:40.300 --> 00:00:42.100]  多謝你聽我們祈禱
[00:00:42.100 --> 00:00:43.200]  禱告奉靠
[00:00:43.200 --> 00:00:43.900]  營養所基督
[00:00:43.900 --> 00:00:45.200]  得聖名至義
[00:00:45.200 --> 00:00:47.400]  及阿們
[00:00:47.400 --> 00:00:50.800]  好 我們知道這十句說話
[00:00:50.800 --> 00:00:53.200]  十誡其實一開始的時候
[00:00:53.200 --> 00:00:55.200]  就不是一個命令
[00:00:55.200 --> 00:00:56.500]  十誡一開始
[00:00:56.500 --> 00:00:58.800]  就是上帝介紹祂自己
[00:00:58.800 --> 00:01:01.600]  神說我是耶和華 你的神
[00:01:01.600 --> 00:01:03.800]  曾將你從埃及地
[00:01:03.800 --> 00:01:06.000]  圍爐之家領出來
[00:01:06.000 --> 00:01:08.200]  神就是拯救者
[00:01:08.200 --> 00:01:11.200]  又是主動跟人納約的主
[00:01:11.200 --> 00:01:13.800]  所以我們的信仰是一個滿有關係
[00:01:13.800 --> 00:01:15.500]  還是親密的關係
[00:01:15.500 --> 00:01:19.000]  用我和你來形容的一個信仰
[00:01:19.000 --> 00:01:22.200]  這十句說話不是冷冰冰的命令
[00:01:22.200 --> 00:01:25.000]  而是為了讓屬神的群體
[00:01:25.000 --> 00:01:29.400]  可以過豐盛生活的安全界線
[00:01:29.400 --> 00:01:30.800]  在這個界線裡
[00:01:30.800 --> 00:01:32.600]  神的子民可以享受
[00:01:32.600 --> 00:01:35.400]  完全的自由和釋放
[00:01:35.400 --> 00:01:37.300]  讓我們來重溫一下
[00:01:37.300 --> 00:01:40.400]  這十句上主的叮嚀
[00:01:40.400 --> 00:01:42.100]  在頭四句
[00:01:42.100 --> 00:01:46.200]  十誡裡強調要盡心盡性盡義
[00:01:46.200 --> 00:01:48.400]  愛主 你的神
[00:01:48.400 --> 00:01:49.900]  不可有別神
[00:01:49.900 --> 00:01:52.700]  是因為創造宇宙的獨一真神
[00:01:52.700 --> 00:01:55.800]  已經成為了我們的神
[00:01:55.800 --> 00:01:58.100]  不可為神造像
[00:01:58.100 --> 00:02:01.700]  我們不可以將神當做偶像來去拜
[00:02:01.700 --> 00:02:03.600]  我們要以心靈誠實
[00:02:03.600 --> 00:02:07.200]  信靠信服的心去敬拜神
[00:02:07.200 --> 00:02:09.600]  不可妄清神的名
[00:02:09.600 --> 00:02:14.000]  我們不可以用一個虛情假意去跟隨神
[00:02:14.000 --> 00:02:18.500]  我們要用真心誠意去遵行神的旨意
[00:02:18.500 --> 00:02:20.900]  守安息日
[00:02:20.900 --> 00:02:23.300]  我們這個群體要憑著信心
[00:02:23.300 --> 00:02:26.300]  在這個邪惡的現實當中去見證
[00:02:26.300 --> 00:02:30.000]  我們的神是終必得盛的
[00:02:30.000 --> 00:02:34.600]  十誡的第六誡之後的這幾誡
[00:02:34.600 --> 00:02:39.500]  就鼓勵我們要愛人如己
[00:02:39.500 --> 00:02:41.500]  我們要孝敬父母
[00:02:41.500 --> 00:02:46.500]  用尊重尊敬的心去愛護照顧父母
[00:02:46.500 --> 00:02:48.000]  不可殺人
[00:02:48.000 --> 00:02:49.800]  因為生命無價
[00:02:49.800 --> 00:02:54.800]  更加要竭盡所能去尊重和愛惜
[00:02:54.800 --> 00:02:56.200]  不可姦淫
[00:02:56.200 --> 00:03:00.800]  我們必須對伴侶忠誠去拒絕誘惑
[00:03:00.800 --> 00:03:02.200]  不可偷渡
[00:03:02.200 --> 00:03:05.900]  就要輔助貧窮人不要剝削他們
[00:03:05.900 --> 00:03:08.200]  不可作假見證
[00:03:08.200 --> 00:03:13.800]  我們要誠實公義地去對待我們的鄰舍
[00:03:13.800 --> 00:03:16.800]  今天來到十誡的第十誡
[00:03:16.800 --> 00:03:18.200]  最後一誡了
[00:03:18.200 --> 00:03:20.800]  不可貪戀你鄰舍的房屋
[00:03:20.800 --> 00:03:23.600]  不可貪戀你鄰舍的妻子
[00:03:23.600 --> 00:03:26.600]  奴僕、婢女、牛奴
[00:03:26.600 --> 00:03:28.900]  以及他一切所有的
[00:03:28.900 --> 00:03:31.500]  「貪」這個字簡單來說
[00:03:31.500 --> 00:03:33.700]  就是覺得不夠
[00:03:33.700 --> 00:03:37.700]  時時都想要更多、更好
[00:03:37.700 --> 00:03:40.400]  小時候我們已經懂得「貪」了
[00:03:40.400 --> 00:03:42.700]  女孩「貪」什麼呢?
[00:03:42.700 --> 00:03:45.400]  貪靚,大家都懂得說
[00:03:45.400 --> 00:03:48.000]  那男孩呢?男孩「貪」什麼呢?
[00:03:48.000 --> 00:03:51.200]  沒錯,貪玩
[00:03:51.200 --> 00:03:54.200]  無論是貪靚還是貪玩
[00:03:54.200 --> 00:03:57.800]  其實都可能要付出沉重的代價
[00:03:57.800 --> 00:04:01.400]  小時候我們只想要一條更好看的裙子
[00:04:01.400 --> 00:04:04.200]  更有趣的裝飾、飾物
[00:04:04.200 --> 00:04:05.600]  到長大後
[00:04:05.600 --> 00:04:07.400]  可能就是繼續「貪」下去
[00:04:07.400 --> 00:04:11.700]  又要瘦身、整容
[00:04:11.700 --> 00:04:12.900]  貪玩?
[00:04:12.900 --> 00:04:16.000]  可能一開始我們只是想打機
[00:04:16.000 --> 00:04:18.300]  不過打著打著
[00:04:18.300 --> 00:04:22.700]  可能又會變成不能不打的打機人
[00:04:22.700 --> 00:04:24.100]  弟兄姊妹
[00:04:24.100 --> 00:04:26.500]  第十屆所說的「貪戀」
[00:04:26.500 --> 00:04:28.600]  不僅會影響我們自己
[00:04:28.600 --> 00:04:32.200]  也同樣可能會傷害其他人
[00:04:32.200 --> 00:04:35.600]  今天就讓我們從三個方向去思想
[00:04:35.600 --> 00:04:38.200]  為什麼人總是要「貪」呢?
[00:04:38.200 --> 00:04:40.200]  神又教我們可以怎樣從
[00:04:40.200 --> 00:04:43.400]  「貪」這個慾念得到釋放呢?
[00:04:43.400 --> 00:04:46.100]  十屆最後的這一屆
[00:04:46.100 --> 00:04:49.600]  跟前面的九屆有一個很不同的地方
[00:04:49.600 --> 00:04:50.800]  之前所說的
[00:04:50.800 --> 00:04:53.100]  無論是對神還是對人
[00:04:53.100 --> 00:04:56.000]  無論是鼓勵還是禁止
[00:04:56.000 --> 00:04:59.500]  都是跟人的一些外在行為有關的
[00:04:59.500 --> 00:05:01.600]  尤其是第六、八屆
[00:05:01.600 --> 00:05:04.400]  不可殺人、不可姦淫、不可偷盜
