
[00:00:00.000 --> 00:00:07.000]  今日同大家講異忽所書第六章第四
[00:00:07.000 --> 00:00:10.000]  因為佢話你們作父親的就包括埋母親
[00:00:10.000 --> 00:00:13.000]  大家唔好睇呢個經文
[00:00:13.000 --> 00:00:17.000]  因為呢個經文我曾經同大家提過
[00:00:17.000 --> 00:00:20.000]  睇返手裏面嗰個副頁嗰個經文
[00:00:20.000 --> 00:00:25.000]  因為有啲翻譯上我唔係幾覺得佢譯得幾好
[00:00:25.000 --> 00:00:28.000]  所以我重新係要執一執嗰啲翻譯
[00:00:28.000 --> 00:00:32.000]  你們作父親的不要惹兒女嘅氣
[00:00:32.000 --> 00:00:34.000]  呢個我都講過好多次
[00:00:34.000 --> 00:00:40.000]  只要照著主嘅教訓同埋警戒去養育他們
[00:00:40.000 --> 00:00:44.000]  要照主嘅教訓同埋警戒養育他們
[00:00:44.000 --> 00:00:46.000]  所以呢度有一個基礎
[00:00:46.000 --> 00:00:51.000]  如果父母唔好去惹佢嘅氣
[00:00:51.000 --> 00:00:58.000]  唔好係不合理地去令到子女係嬲怒憤怒
[00:00:58.000 --> 00:01:02.000]  合理呢好多時候呢人會聽嘅
[00:01:02.000 --> 00:01:06.000]  唔合理呢會令到人呢係好難接受嘅
[00:01:06.000 --> 00:01:09.000]  唔好以為話我係爸爸媽媽喎
[00:01:09.000 --> 00:01:12.000]  我係權威喎所以我同你講
[00:01:12.000 --> 00:01:16.000]  總之我話畀你聽你就要咁
[00:01:16.000 --> 00:01:20.000]  如果咁樣樣總之我話畀你聽你就要聽
[00:01:20.000 --> 00:01:23.000]  連不合理嘅嘢都要聽呢
[00:01:23.000 --> 00:01:27.000]  咁呢個小朋友或者呢個兒女
[00:01:27.000 --> 00:01:29.000]  我話畀你聽到一個地步呢
[00:01:29.000 --> 00:01:32.000]  就係中國人有句說話
[00:01:32.000 --> 00:01:34.000]  愚孝呀
[00:01:34.000 --> 00:01:37.000]  你要唔要一個仔變成一個傻仔呢
[00:01:37.000 --> 00:01:38.000]  愚孝喎
[00:01:38.000 --> 00:01:42.000]  只要係佢話上高話大人話我就聽嘅
[00:01:42.000 --> 00:01:45.000]  咁就好弊呀冇咗獨立思想呀
[00:01:45.000 --> 00:01:49.000]  冇咗自己嗰個去思考一下咁啱定唔啱呢
