
[00:00:00.000 --> 00:00:04.140]  我們讀一段聖經,在提摩太前書第三章第十五節,
[00:00:04.140 --> 00:00:07.820]  只有一節的聖經,把我們同聲開口來念,
[00:00:07.820 --> 00:00:13.180]  倘若我單言日久,你也可以知道在神的家中當如何行。
[00:00:13.180 --> 00:00:17.920]  這家就是永生神的教會,真理的注石和根基。
[00:00:17.920 --> 00:00:19.620]  我們就讀到這裡。
[00:00:19.620 --> 00:00:22.100]  弟兄姐,這些年當我在服事的過程當中,
[00:00:22.100 --> 00:00:25.940]  我越來越看見教會的重要。
[00:00:25.940 --> 00:00:29.060]  當教會被建造起來的時候,
[00:00:29.060 --> 00:00:34.240]  每一個信徒在其中才能夠一同被建造。
[00:00:34.240 --> 00:00:37.820]  過去在中國教會當中,常常有一種錯誤的觀念,
[00:00:37.820 --> 00:00:41.240]  那就是我們常常比較注重於個人的追求,
[00:00:41.240 --> 00:00:46.240]  個人的一些靈修生活,我們個人與主的關係。
[00:00:46.240 --> 00:00:49.720]  我們很少注重教會的建造,
[00:00:49.720 --> 00:00:52.060]  以至於在中國教會當中,
[00:00:52.060 --> 00:00:54.240]  雖然我們看有很多很好的基督徒,
[00:00:54.240 --> 00:00:57.040]  非常有生命,非常有榜樣,
[00:00:57.040 --> 00:01:00.100]  但教會卻沒有建造起來。
[00:01:00.100 --> 00:01:05.460]  所以在中國教會我們很少看見一些強而有力的教會,
[00:01:05.460 --> 00:01:09.740]  而且能夠在社區帶來影響力的教會。
[00:01:09.740 --> 00:01:12.060]  但事實上我越來越明白,弟兄姐妹,
[00:01:12.060 --> 00:01:18.340]  神的心意不是只是要有更多更好的基督徒而已。
[00:01:18.340 --> 00:01:19.760]  讓我再說,
[00:01:19.760 --> 00:01:24.700]  過去我們的觀念就是希望有更多更好的基督徒。
[00:01:24.700 --> 00:01:30.660]  我們所有的工作都是為了要有更多更好的基督徒。
[00:01:30.660 --> 00:01:32.340]  但是這些年我越來越明白,
[00:01:32.340 --> 00:01:37.140]  神的心意不單是更多更好的基督徒,
[00:01:37.140 --> 00:01:42.260]  神的心意乃是要興起一個有使命的群體。
[00:01:42.260 --> 00:01:43.180]  Amen?
[00:01:43.180 --> 00:01:43.900]  我再次說,
[00:01:43.900 --> 00:01:47.940]  神的心意要興起一個有使命的群體,
[00:01:47.940 --> 00:01:50.740]  能夠來影響這個世代的。
[00:01:50.740 --> 00:01:51.940]  Amen?
[00:01:51.940 --> 00:01:56.860]  跟你的朋友說,要有一個有使命的群體,你說?
[00:01:56.860 --> 00:02:00.820]  換句話說,教會需要被建造起來,
[00:02:00.820 --> 00:02:05.540]  然後信徒在其中才能夠一同被建造。
[00:02:05.540 --> 00:02:07.780]  所以今天當你來到教會的時候,
[00:02:07.780 --> 00:02:13.300]  你在思想上一定要有一個大轉彎才行。
[00:02:13.300 --> 00:02:14.740]  很多時候我們來到教會,
[00:02:14.740 --> 00:02:17.180]  只是為了我們自己的需求,自己的滿足。
[00:02:17.180 --> 00:02:18.300]  當然這些都很好,
