
[00:00:00.000 --> 00:00:08.480]  身為天父,我們感謝祢的恩典,讓我們有機會一同聚集,敬拜祢,一同思想祢的說話。
[00:00:08.480 --> 00:00:17.760]  我們懇求聖靈在我們當中幫助我們,讓我們有心、渴慕進行祢的話語。
[00:00:17.760 --> 00:00:23.560]  以下時間,求聖靈與我們同在,奉耶穌基督的名,祈禱,阿們。
[00:00:23.560 --> 00:00:35.320]  上星期和大家思想過耶穌是王,以及祂是以一個王的權威來頒佈一些法例。
[00:00:35.320 --> 00:00:45.240]  希望大家記得主耶穌這位王的角度是天國,而不是地上的角度。
[00:00:45.240 --> 00:00:52.280]  而天國其實是一個很難想像的角度,因為我們是肉眼看不到,
[00:00:52.280 --> 00:01:01.000]  要憑信心來相信,天國是超時間,也是超空間的。
[00:01:01.000 --> 00:01:09.040]  二千年前,跟隨主耶穌的門徒已經在天國裡面,他們的靈魂去到天堂。
[00:01:09.040 --> 00:01:15.160]  過去二千年來,信耶穌的人都同樣進入了天國。
[00:01:15.160 --> 00:01:23.160]  天國的子民的人數是一路一路上升,永遠上升,不會減少。
[00:01:23.160 --> 00:01:29.880]  天國雖然是從今天中東以色列一帶的地方開始,
[00:01:29.880 --> 00:01:38.960]  但是到現在已經是全面世上每一個地方,到處都有天國的子民。
[00:01:38.960 --> 00:01:46.640]  所以天國是比世上任何一個國家都更加榮耀,更加美好。
[00:01:46.640 --> 00:01:55.840]  而且天國是講愛的,而不是講一個國家有多少黑子彈,不是講軍備。
[00:01:55.840 --> 00:02:04.880]  上星期我們特別思想過主耶穌講到天國裡面的子民要愛人,不要恨人。
[00:02:04.880 --> 00:02:11.880]  如果我們要像天父完全一樣,我們就要為我們的仇敵祈禱。
[00:02:11.880 --> 00:02:19.560]  這樣在愛鄰如己這條界面上就會做得很完全了。
[00:02:19.560 --> 00:02:26.080]  如果我們將人分成一邊是朋友,一邊是敵人,
[00:02:26.080 --> 00:02:29.200]  只是愛我們的朋友,恨我們的敵人,
[00:02:29.200 --> 00:02:36.120]  這樣在愛鄰如己的界面上就很不完全了。
[00:02:36.120 --> 00:02:44.640]  而主耶穌在第六章一至十八節也批評了當時猶太教認為重要的宗教行為,
[00:02:44.640 --> 00:02:51.880]  就是施捨、禱告和禁食,那些行為是好的。
[00:02:51.880 --> 00:02:59.600]  假如人的動機不純正,是為了追明俗利的話,
[00:02:59.600 --> 00:03:05.640]  去做的事情就一定不會得到上帝的讚賞。
[00:03:05.640 --> 00:03:13.480]  今天我們要看的經文主耶穌其實是講到我們的安全感、價值觀和憂慮的問題。
[00:03:13.480 --> 00:03:17.800]  我們一起來思想今天這一段經文。
[00:03:17.800 --> 00:03:23.480]  我相信人類本來就知道自己是很渺小,
[00:03:23.480 --> 00:03:26.280]  還有能力是很有限的。
[00:03:26.280 --> 00:03:32.040]  我們都知道我們不能夠控制明天會發生什麼事,
[00:03:32.040 --> 00:03:37.000]  例如我們去街會不會有什麼意外,
[00:03:37.000 --> 00:03:42.440]  不去街是不是一定會安全,我們不知道的。
[00:03:42.440 --> 00:03:48.320]  最近澳洲紐省天氣反常,又有豪雨成災,
[00:03:48.320 --> 00:03:52.160]  在西澳那邊也發生山林大火,
[00:03:52.160 --> 00:03:59.360]  整條村都被火燒了,一百多間屋燒了,有幾個人死了。
[00:03:59.360 --> 00:04:03.560]  所以你不去街也不一定代表安全,
[00:04:03.560 --> 00:04:07.120]  但是人就很需要有安全感。
[00:04:07.120 --> 00:04:09.800]  雖然我們不能夠控制明天,
[00:04:09.800 --> 00:04:17.200]  不過如果有意外發生的話,我們都希望自己的生活方式不會受到影響。
[00:04:17.200 --> 00:04:25.960]  結果為了要有安全感,很多人就不斷去積蓄財寶,以應不時之需。
[00:04:25.960 --> 00:04:33.000]  現代人除了積蓄財寶之外,還會買各類保險。
[00:04:33.000 --> 00:04:39.920]  主耶穌在第十九節告訴我們,不可為自己積蓄財寶在地上,
[00:04:39.920 --> 00:04:48.680]  因為有蟲蛛也會生鏽,又有盜賊破門進來偷竊。
[00:04:48.680 --> 00:04:54.720]  他的意思就是說,即使我們為自己積蓄財寶,
[00:04:54.720 --> 00:04:57.920]  都不一定可以帶來安全,
[00:04:57.920 --> 00:05:04.280]  因為有蟲蛛也會生鏽,又有盜賊破門進來偷竊。
[00:05:04.280 --> 00:05:10.120]  現在的世界經濟都是在一個低增長、低利息的情況,
[00:05:10.120 --> 00:05:13.640]  很多先進國家的利息很低。
[00:05:13.640 --> 00:05:17.680]  當銀行存款的利息低於通貨膨脹的時候,
[00:05:17.680 --> 00:05:24.720]  我們的存款就會貶值,相當於被蟲蛛。
[00:05:24.720 --> 00:05:29.840]  有很多人投資,但他投資的時候信錯了理財師的建議,
[00:05:29.840 --> 00:05:33.720]  把錢托付給一些財務公司,
[00:05:33.720 --> 00:05:38.240]  但是那些財務公司會破產的,以致血本無歸。
[00:05:38.240 --> 00:05:45.400]  相當於那些財寶生鏽了,變成無用的廢鐵。
[00:05:45.400 --> 00:05:47.640]  至於被盜賊偷竊,
[00:05:47.640 --> 00:05:54.720]  我上網查一查近年來的大爆竊案,大偷竊案的情況。
[00:05:54.720 --> 00:06:02.120]  在2008年,原來在法國有一家珠寶店被劫匪進去搶劫他們的珠寶,
[00:06:02.120 --> 00:06:06.120]  他們損失超過一億歐元。
[00:06:06.120 --> 00:06:10.880]  在2009年,在英國有另外一家珠寶店的劫案,
[00:06:10.880 --> 00:06:16.440]  有價值四千萬鎊的珠寶被搶走。
