
[00:00:00.000 --> 00:00:02.940]  講到「圍城」這個題目
[00:00:02.940 --> 00:00:06.720]  我不知道令到大家想起什麼
[00:00:06.720 --> 00:00:09.620]  有一本很舊的書
[00:00:09.620 --> 00:00:13.620]  1947年,很久之前
[00:00:13.620 --> 00:00:16.040]  錢鍾書先生
[00:00:16.040 --> 00:00:17.960]  寫了一本小說
[00:00:17.960 --> 00:00:20.720]  他的名字就叫「圍城」
[00:00:20.720 --> 00:00:24.120]  他說很久了,不太認識
[00:00:24.120 --> 00:00:27.040]  不過我相信這個字
[00:00:27.040 --> 00:00:29.000]  你必定聽過
[00:00:30.000 --> 00:00:33.820]  就是過去一年,因應疫情
[00:00:33.820 --> 00:00:38.200]  令到很多地方都需要封鎖
[00:00:38.200 --> 00:00:42.800]  這個英文字就告訴我們
[00:00:42.800 --> 00:00:47.620]  要好像將所有事情都停頓下來
[00:00:47.620 --> 00:00:51.560]  正正就是因為這個字
[00:00:51.560 --> 00:00:56.760]  在過去一年的使用量大幅飆升
[00:00:57.440 --> 00:01:01.100]  所以在2020年
[00:01:01.100 --> 00:01:04.020]  一本英文字典
[00:01:04.020 --> 00:01:06.840]  Colin's English Dictionary
[00:01:06.840 --> 00:01:09.880]  都將它選為
[00:01:09.880 --> 00:01:13.420]  當年的代表字
[00:01:13.420 --> 00:01:14.660]  Word of the Year
[00:01:14.660 --> 00:01:20.260]  今天我要用這個字「圍城」
[00:01:20.260 --> 00:01:23.860]  來跟大家分享一下
[00:01:23.860 --> 00:01:26.360]  昔日耶路撒冷
[00:01:26.540 --> 00:01:29.880]  他們需要面對的一個處境
[00:01:29.880 --> 00:01:34.400]  當時他們面對的處境
[00:01:34.400 --> 00:01:37.100]  究竟是怎樣的呢?
[00:01:37.100 --> 00:01:41.080]  我們需要看回前的那麼多
[00:01:41.080 --> 00:01:45.660]  上星期,余姑娘跟我們分享到
[00:01:45.660 --> 00:01:48.740]  第三章的下半部分
[00:01:48.740 --> 00:01:51.320]  她告訴我們
[00:01:51.320 --> 00:01:54.060]  神要求以西傑
[00:01:54.060 --> 00:01:56.400]  去做一個守望者
[00:01:56.400 --> 00:01:58.400]  如果大家仍然記得的話
[00:01:58.400 --> 00:02:03.680]  其實由以西傑書的第三章二十二節
[00:02:03.680 --> 00:02:06.920]  一直到第五章第四節
[00:02:06.920 --> 00:02:12.860]  是記載了一連串的象徵性動作
[00:02:12.860 --> 00:02:17.120]  因為這幾章的聖經篇幅很長
[00:02:17.120 --> 00:02:19.960]  所以我們的同工沒辦法
[00:02:19.960 --> 00:02:24.620]  每一個段落都跟大家詳細分享
[00:02:25.120 --> 00:02:29.120]  但是正正因為我今天要講的第五章
[00:02:29.120 --> 00:02:31.680]  第五至十七節
[00:02:31.680 --> 00:02:34.380]  其實是一個小結
[00:02:34.380 --> 00:02:38.900]  所以我必須很簡單地講一講
[00:02:38.900 --> 00:02:44.620]  究竟過去這幾章聖經提到的一連串
[00:02:44.620 --> 00:02:46.980]  象徵性的動作
[00:02:46.980 --> 00:02:48.980]  是代表什麼呢?
[00:02:48.980 --> 00:02:52.680]  第一個象徵性的動作
[00:02:52.680 --> 00:02:58.200]  是說到人要用繩子去綑綁以西傑
[00:02:58.200 --> 00:03:02.200]  在三章二十二至二十七節
[00:03:02.200 --> 00:03:04.920]  大家在螢光幕上都會看到
[00:03:04.920 --> 00:03:10.000]  神要透過這個象徵性動作
[00:03:10.000 --> 00:03:12.200]  告訴以西傑
[00:03:12.200 --> 00:03:15.880]  他的行動會被限制
[00:03:15.880 --> 00:03:17.320]  被人綁住
[00:03:17.320 --> 00:03:20.400]  以致要表明
[00:03:20.400 --> 00:03:25.320]  無論以西傑做什麼
[00:03:25.320 --> 00:03:27.320]  開口說什麼
[00:03:27.320 --> 00:03:31.040]  全部都在神掌管的底下
[00:03:31.040 --> 00:03:36.220]  不過這一群以色列民
[00:03:36.220 --> 00:03:39.400]  就是死都不聽
[00:03:39.400 --> 00:03:40.800]  你要管我
[00:03:40.800 --> 00:03:43.200]  我就偏偏要撥逆
[00:03:43.200 --> 00:03:49.840]  接著神就要求先知擺設堡壘
[00:03:49.840 --> 00:03:53.880]  經文在四章第一至第三節
[00:03:53.880 --> 00:03:56.240]  這個就很容易解釋了
[00:03:56.240 --> 00:04:00.040]  就是要象徵耶路撒冷這個地方
[00:04:00.040 --> 00:04:01.560]  會被攻擊
[00:04:01.560 --> 00:04:03.560]  會被圍困
[00:04:03.560 --> 00:04:06.800]  第三個象徵性動作
[00:04:06.800 --> 00:04:11.000]  是接著下來的四章四至八節
[00:04:11.000 --> 00:04:16.760]  神就叫以西傑分別向左向右
[00:04:16.760 --> 00:04:25.080]  執臥表明以西傑在這個處境當中
[00:04:25.080 --> 00:04:32.560]  要一起去承擔以色列民很深重的罪孽
[00:04:32.560 --> 00:04:37.840]  第四個象徵性動作
[00:04:37.840 --> 00:04:41.360]  是四章九至十七節
[00:04:41.360 --> 00:04:46.200]  神吩咐以西傑要按時候
[00:04:46.200 --> 00:04:49.080]  吃什麼都要量度
[00:04:49.080 --> 00:04:52.280]  喝什麼都要量度清楚
[00:04:52.280 --> 00:04:59.200]  並且要用人的分辨作為燃料去烤一些餅
[00:04:59.200 --> 00:05:03.080]  這個象徵性的行為
[00:05:03.080 --> 00:05:07.080]  正是要告訴這些以色列民
[00:05:07.080 --> 00:05:11.160]  到時候他們會沒得吃
[00:05:11.160 --> 00:05:15.360]  而且人心惶惶
[00:05:15.360 --> 00:05:18.000]  沒得吃到一個階段
[00:05:18.000 --> 00:05:22.320]  他們是被迫要去吃一些不潔淨的食物
[00:05:22.320 --> 00:05:28.600]  接著第五章一至第四節
[00:05:28.600 --> 00:05:34.680]  就說到以西傑會被割掉他的鬍鬚和頭髮
[00:05:34.680 --> 00:05:38.920]  象徵他們不單止被圍困
[00:05:38.920 --> 00:05:40.440]  沒有尊嚴
[00:05:40.440 --> 00:05:42.920]  甚至會被擄
[00:05:42.920 --> 00:05:48.920]  不過神最終都會賜下憐憫和恩典
[00:05:48.920 --> 00:05:53.440]  在這個背景下
[00:05:53.440 --> 00:05:58.240]  今天我要和大家分享接著的段落
[00:05:58.240 --> 00:06:02.400]  就是第五章的第五至第十七節
[00:06:02.400 --> 00:06:04.000]  正如剛才所說
[00:06:04.000 --> 00:06:08.600]  這是一個小小的總結
[00:06:09.200 --> 00:06:14.120]  經文在第五至第六節是這樣說的
