
[00:00:00.000 --> 00:00:05.920]  我們今天要說的是沙漠的最後這一段的事情
[00:00:05.920 --> 00:00:13.520]  所包含的《聖經》是從十三章開始一直到了十六章
[00:00:13.520 --> 00:00:16.520]  就是都提到有關沙漠的事情
[00:00:16.520 --> 00:00:23.840]  那沙漠最後在提到它是它離開世界
[00:00:23.840 --> 00:00:27.840]  二十五章有一句話 沙漠失了
[00:00:27.840 --> 00:00:37.120]  所以我們就從這一段《聖經》裡頭看到掃羅發生的所遇到的事情
[00:00:37.120 --> 00:00:44.240]  那麼也從這裡我們看看沙漠在它人生的最後這一段的路程
[00:00:44.240 --> 00:00:47.360]  它是怎樣的故事的
[00:00:47.360 --> 00:00:56.400]  我們先要來看到的就是沙漠兩次這杯掃羅
[00:00:56.400 --> 00:01:03.680]  剛才我們讀的第一次就是它沒有等沙漠來 它自己就獻祭了
[00:01:03.680 --> 00:01:10.960]  還有一次就是它沒有遵從神的命令 沒有滅盡亞馬里人
[00:01:10.960 --> 00:01:17.560]  它把亞馬里王給留下來 把這些好的牛羊給留下來
[00:01:17.560 --> 00:01:21.400]  那麼這個沙漠有兩次這杯它
[00:01:21.400 --> 00:01:26.200]  我們先來看第一次就是掃羅擅自獻祭
[00:01:26.200 --> 00:01:31.520]  它不是祭祀 可是它就要獻祭
[00:01:31.520 --> 00:01:39.000]  沙漠是要掃羅在機甲這個地方等候它七天
[00:01:39.000 --> 00:01:46.440]  要等沙漠來獻祭 但是掃羅沒有等夠七天
[00:01:46.440 --> 00:01:50.840]  它在第七天看到沙漠還沒有來
[00:01:50.840 --> 00:01:55.840]  它就看到斐理斯人比較勢力很大 它就害怕了
[00:01:55.840 --> 00:02:00.680]  它就勉強的獻祭 就自己獻祭了
[00:02:00.680 --> 00:02:08.500]  這是在十三章所記載的事情
[00:02:08.500 --> 00:02:21.840]  這個就是 這個沙漠就已經是事先告訴它了
[00:02:21.840 --> 00:02:29.360]  在第十章的第七節 沙漠記的第十章的第七節
[00:02:29.360 --> 00:02:34.480]  掃羅事先已經是告訴沙漠了
[00:02:34.480 --> 00:02:43.440]  它說 第七節說 這個兆頭臨到你
[00:02:43.440 --> 00:02:49.960]  因為沙漠跟掃羅說到 立了你為王
[00:02:49.960 --> 00:02:58.080]  神前選你了 有幾個兆頭 有幾個你會遇見的事情
[00:02:58.080 --> 00:03:04.880]  那麼這個臨到你 你就可以趁勢而作
[00:03:04.880 --> 00:03:09.360]  因為神與你同在 就是現在你做了王了
[00:03:09.360 --> 00:03:16.960]  那麼一般的情形 你就可以根據神是不是與你同在
[00:03:16.960 --> 00:03:27.280]  是不是合乎神的意思 你就可以根據常識 根據常理來處理
[00:03:27.280 --> 00:03:34.760]  這就是趁勢而作 趁著這個機會 趁著這個時刻來做事情
[00:03:34.760 --> 00:03:42.920]  以下就說 在第八節 沙漠就吩咐掃羅說
[00:03:42.920 --> 00:03:50.760]  祂說你先去機甲 我也要下到那個地方去獻祭
[00:03:50.760 --> 00:03:55.640]  獻番祭和平安祭 你要等候七天
[00:03:55.640 --> 00:04:00.600]  等我到了那裡 要指示你當行的事
[00:04:00.600 --> 00:04:04.760]  所以這兩節神經合起來 我們就可以看到了
[00:04:04.760 --> 00:04:10.200]  這個沙漠就事先已經指出來 一般的情形
[00:04:10.200 --> 00:04:15.040]  你可以根據是不是有神同在 是不是合乎神的意思
[00:04:15.040 --> 00:04:21.600]  你就可以按照常理來處理了 這就是趁勢而作
[00:04:21.600 --> 00:04:26.360]  但是在機甲這個地方 你要到這個機甲的地方
[00:04:26.360 --> 00:04:29.240]  就是有一些特殊的情況
[00:04:29.240 --> 00:04:37.400]  那麼這個要等候神接著先知 也就是接著沙漠來告訴你的
[00:04:37.400 --> 00:04:45.920]  你要等 在機甲這個地方你要等 要等多長時間呢?七天
[00:04:45.920 --> 00:04:58.640]  所以這個就是 沙漠已經跟掃羅事先都已經交代好的
[00:04:58.640 --> 00:05:06.520]  但是我們看見掃羅失敗的原因
[00:05:06.520 --> 00:05:12.360]  掃羅為什麼他沒有等到七天就自己獻祭了
[00:05:12.360 --> 00:05:23.840]  然後沙漠就責備他 他說你沒有遵從神的命令
[00:05:23.840 --> 00:05:30.680]  本來神是讓你做王的 這樣的話你的王位就不會長久了
[00:05:30.680 --> 00:05:39.720]  神已經找到一個和他心意的 就是你自己不是祭司你要他獻祭
[00:05:39.720 --> 00:05:49.320]  你沒有聽神給你的命令 要等沙漠先知來告訴你應該怎麼做
[00:05:49.320 --> 00:05:54.800]  你就自己就做了 為什麼有這樣的失敗呢?
[00:05:54.800 --> 00:06:04.120]  沒有 第一個原因呢 他沒有忍耐等候 這個人的天然的性格就是急躁
[00:06:04.120 --> 00:06:10.720]  等一天可以 等兩天可以 等到七天 可能就等到七天半
