
[00:00:00.000 --> 00:00:07.440]  講完《羅馬書》,我準備跟大家一起去看《哥倫多後書》
[00:00:07.440 --> 00:00:12.440]  《哥倫多後書》是我自己很喜歡的卷經卷理
[00:00:12.440 --> 00:00:15.960]  不過一直都有些,不是很敢講的
[00:00:15.960 --> 00:00:22.080]  不過人到這個年紀,覺得有什麼你想講,有什麼想做就快點做
[00:00:22.080 --> 00:00:25.400]  再不然就退休年老衰敗,什麼都做不了
[00:00:25.400 --> 00:00:31.320]  所以決定跟大家分享《哥倫多後書》
[00:00:31.320 --> 00:00:33.920]  《哥倫多後書》為什麼這麼特別呢?
[00:00:33.920 --> 00:00:39.440]  因為這是保羅最個人化的一卷書
[00:00:39.440 --> 00:00:44.720]  我們剛剛講完《羅馬書》,《羅馬書》是一篇很不個人的
[00:00:44.720 --> 00:00:50.040]  《羅馬書》基本上是一篇很長的講道,講述福音的內容
[00:00:50.040 --> 00:00:55.720]  《哥倫多後書》是反過來的,保羅講很多自己的心聲
[00:00:55.720 --> 00:00:58.760]  他作為一個傳道人,他的心聲
[00:00:58.760 --> 00:01:02.320]  為什麼這卷書對我很有意思呢?
[00:01:02.320 --> 00:01:07.520]  某程度上是跟保羅的經驗,也反省自己的經驗
[00:01:07.520 --> 00:01:11.680]  也希望大家藉著《哥倫多後書》可以反省你
[00:01:11.680 --> 00:01:16.680]  作為一個跟隨耶穌的人,你所行過的心路歷程
[00:01:16.680 --> 00:01:21.480]  我們今天是第一次講,所以我們就由第一章開始
[00:01:21.480 --> 00:01:24.840]  第一章、第二節基本上是我寫的《哥倫多人》
[00:01:24.840 --> 00:01:26.560]  所以那兩節就不讀了
[00:01:26.560 --> 00:01:34.360]  我們就由一章三節讀到二章四節
[00:01:34.360 --> 00:01:39.920]  你們在家裡可以一起看著聖經,一起跟著我讀
[00:01:39.920 --> 00:01:41.320]  好,開始
[00:01:41.320 --> 00:01:46.000]  「願眾讚歸於我們的主,耶穌基督的父神」
[00:01:46.000 --> 00:01:50.720]  「就是發慈悲的父,賜各樣安慰的神」
[00:01:50.720 --> 00:01:54.640]  「我們在一切患難中,祂就安慰我們」
[00:01:54.640 --> 00:02:00.880]  「叫我們能用神所賜的安慰去安慰那遭各樣患難的人」
[00:02:00.880 --> 00:02:06.760]  「我們既多受基督的輔助,就靠基督多受安慰」
[00:02:06.760 --> 00:02:12.680]  「我們受患難是為叫你們得安慰,得拯救」
[00:02:12.680 --> 00:02:17.320]  「我們得安慰也是叫你們得安慰」
[00:02:17.320 --> 00:02:25.680]  「這安慰能叫你們忍受我們所受的那樣苦楚」
[00:02:25.680 --> 00:02:30.400]  「我們為你們所存的盼望是確定的」
[00:02:30.400 --> 00:02:38.360]  「因為知道你們既是同受苦楚,也必同得安慰」
[00:02:38.360 --> 00:02:45.600]  「弟兄們,我們不要你們不曉得我們從前在亞細亞遭遇苦難」
[00:02:45.600 --> 00:02:53.560]  「被壓太重,力不能勝,甚至連活命的指望都絕了」
[00:02:53.560 --> 00:02:57.480]  「自己心裡也斷定是必死的」
[00:02:57.480 --> 00:03:02.880]  「叫我們不靠自己,只靠叫死人復活的神」
[00:03:02.880 --> 00:03:07.040]  「祂曾救我們脫離那極大的死亡」
