
[00:00:00.000 --> 00:00:02.800]  -今天天氣很熱是嗎? -今天天氣很熱
[00:00:02.800 --> 00:00:06.200]  相信是近年來最熱的父親節
[00:00:06.200 --> 00:00:09.300]  相信是最近幾年最熱的父親節
[00:00:09.300 --> 00:00:14.200]  大家見我一身年輕打扮
[00:00:14.200 --> 00:00:16.800]  大家見到很久一身年輕的打扮
[00:00:16.800 --> 00:00:18.600]  因為我不認做父親今天
[00:00:18.600 --> 00:00:20.400]  因為他今天不認做父親
[00:00:20.400 --> 00:00:22.000]  因為其實我是孤獨老人
[00:00:22.000 --> 00:00:23.300]  因為他是孤獨老人
[00:00:23.300 --> 00:00:24.800]  因為兩個女兒都沒回來
[00:00:24.800 --> 00:00:26.600]  因為兩個女兒都沒回來
[00:00:26.600 --> 00:00:29.200]  但是無論怎樣都好
[00:00:29.200 --> 00:00:30.600]  但是無論怎樣都好
[00:00:30.600 --> 00:00:33.300]  有些人當然是做了父親
[00:00:33.300 --> 00:00:34.400]  有些人做了父親
[00:00:34.400 --> 00:00:36.000]  有些人做了父親很多年
[00:00:36.000 --> 00:00:37.800]  有些人做了很多年
[00:00:37.800 --> 00:00:41.400]  有些人可能就快做父親
[00:00:41.400 --> 00:00:43.600]  有些人可能就快做父親
[00:00:43.600 --> 00:00:46.800]  但是有些人說我是女人
[00:00:46.800 --> 00:00:48.000]  我怎會做父親
[00:00:48.000 --> 00:00:49.400]  有些人說我是女人
[00:00:49.400 --> 00:00:50.200]  我怎會做父親
[00:00:50.200 --> 00:00:52.800]  但是我們每一個人都有父親
[00:00:52.800 --> 00:00:54.200]  但是我們每一個人都有父親
[00:00:54.200 --> 00:00:56.900]  所以父親節其實是關於我們每一個人
[00:00:56.900 --> 00:00:59.800]  所以父親節是關於我們每一個人
[00:00:59.800 --> 00:01:03.000]  特別我們基督徒知道天上有個父親
[00:01:03.000 --> 00:01:04.900]  特別是我們基督徒知道天上有個父親
[00:01:04.900 --> 00:01:07.800]  這個是掌管萬物的
[00:01:07.800 --> 00:01:09.000]  這個是掌管萬物的
[00:01:09.000 --> 00:01:10.300]  掌管宇宙的
[00:01:10.300 --> 00:01:11.100]  掌管宇宙的
[00:01:11.100 --> 00:01:13.300]  最厲害就是他
[00:01:13.300 --> 00:01:14.200]  最棒的就是他
[00:01:14.200 --> 00:01:15.800]  因為整個宇宙都是他掌管
[00:01:15.800 --> 00:01:17.800]  因為整個宇宙都是他掌管
[00:01:17.800 --> 00:01:22.500]  最近我們參加了一些陪靈會和退休日
