
[00:00:00.000 --> 00:00:06.000]  說到維園,大家準備了維園了沒有?
[00:00:06.000 --> 00:00:10.000]  你竟然準備了?
[00:00:10.000 --> 00:00:14.000]  好啊,有先見之明
[00:00:14.000 --> 00:00:19.000]  我不知道大家準備了沒有,其實我們有習慣
[00:00:19.000 --> 00:00:27.000]  有一件事,過了今天,你不保證明天會來
[00:00:28.000 --> 00:00:33.000]  這可以在你生活中知道我們與神的關係是怎樣
[00:00:33.000 --> 00:00:40.000]  因為在生活中,如果我們看每一天都是最後一天
[00:00:40.000 --> 00:00:45.000]  我們生活態度都不一樣,生活情況都不一樣
[00:00:45.000 --> 00:00:50.000]  這一堂課就是講約書亞的維園
[00:00:50.000 --> 00:00:56.000]  我們知道約書亞清晰地有一個很重要的使命和任務
[00:00:57.000 --> 00:01:00.000]  就是要帶領以色列民眾進入迦南
[00:01:00.000 --> 00:01:07.000]  要在四周圍的敵人殺敵,然後分敵
[00:01:07.000 --> 00:01:13.000]  河東兩支派半在摩西的年代已經給了他們
[00:01:13.000 --> 00:01:16.000]  然後九支派半他們在河西分敵
[00:01:16.000 --> 00:01:23.000]  南征北戰之後,聖經在二十三章第一節
[00:01:24.000 --> 00:01:27.000]  這一節開始講很清晰
[00:01:27.000 --> 00:01:32.000]  耶和華斯以色列人從四周的敵人中得享安寧
[00:01:32.000 --> 00:01:36.000]  已經有很多日子了
[00:01:36.000 --> 00:01:43.000]  起碼打完仗之後,到約書亞死的那些日子
[00:01:43.000 --> 00:01:51.000]  已經有很多日子了,約書亞年幾老邁召集眾百姓
[00:01:52.000 --> 00:01:56.000]  年幾老邁應該是有多老呢?
[00:01:56.000 --> 00:02:01.000]  我這個年紀就叫Young Old,很年輕的老人家
[00:02:01.000 --> 00:02:07.000]  年青的老人家,六十歲或六十五歲就叫年青的老人家
[00:02:07.000 --> 00:02:11.000]  我真是老,因為有長者優惠卡
[00:02:11.000 --> 00:02:14.000]  我都講了,我很喜歡聽「嘟」的聲音
[00:02:14.000 --> 00:02:19.000]  和普通成人的八字通吉的聲音不一樣
[00:02:20.000 --> 00:02:23.000]  這個真是長者才有的聲音
[00:02:23.000 --> 00:02:27.000]  半價,或者兩元
[00:02:27.000 --> 00:02:31.000]  我這些是Young Old
[00:02:31.000 --> 00:02:33.000]  昨天有沒有看電視?
[00:02:33.000 --> 00:02:38.000]  電視有個形容詞,真是很老的那些過了一百歲的那些
[00:02:38.000 --> 00:02:41.000]  大雄寶、斯甸星媽媽,快到了
[00:02:41.000 --> 00:02:46.000]  Old Old,即是老老,很老的那一種
[00:02:47.000 --> 00:02:50.000]  約書亞真是年幾老邁,很老的那一種
[00:02:50.000 --> 00:02:54.000]  他知道他有些事要做,他要講最後的一些說話
[00:02:54.000 --> 00:03:01.000]  因為他帶領以色列民,他很怕以色列民去一個陌生的地方
[00:03:01.000 --> 00:03:05.000]  當地有當地的神明
[00:03:05.000 --> 00:03:10.000]  在河西已經有河西的神明
[00:03:11.000 --> 00:03:19.000]  曾經在不同的地方,除了侍奉耶和華之外,他們侍奉別神
[00:03:19.000 --> 00:03:23.000]  所以當他年幾老邁的時候,他就很清楚了
[00:03:23.000 --> 00:03:28.000]  召了全以色列的眾長老領袖,審判官、官長,所有有關的
[00:03:28.000 --> 00:03:34.000]  無論是行政的,無論是去管理的,無論是做司法的,要審判的
[00:03:35.000 --> 00:03:41.000]  所有侍奉就來到面前對他們說,我年幾已經老邁
[00:03:41.000 --> 00:03:49.000]  所以不要說自己年幾老邁,起碼都要八十五歲以上
[00:03:49.000 --> 00:04:00.000]  所以在二十三章一開始,其實就是在回應約書亞第一章開始的時候
[00:04:01.000 --> 00:04:07.000]  約書亞在他的生命裡已經肩擔了神給他的任務
[00:04:07.000 --> 00:04:11.000]  來到這一刻,他要清楚交代一些事情
[00:04:11.000 --> 00:04:20.000]  當以色列民進入迦南,他們其實已經清楚在西麗亞山摩西的律法的曉譽
[00:04:20.000 --> 00:04:29.000]  告訴他們知道,這個律法對這群以色列民眾來說是需要有一個恆久而思,不可以偏離
[00:04:30.000 --> 00:04:36.000]  他們要和神建立一個關係,這個關係透過律法上教導他們準繩,依靠他們
[00:04:36.000 --> 00:04:42.000]  這個就成為一個準則,以致他們的生命不偏離上帝
[00:04:42.000 --> 00:04:51.000]  當進行的時候,神就賜福,但相反的話,就會有面對一些困難
[00:04:51.000 --> 00:04:57.000]  所以約書亞臨終的時候,就招聚一群百姓、官長、祭司
[00:04:58.000 --> 00:05:03.000]  他就很清楚,每一次有重要事情的時候,都會叫這群人來
[00:05:03.000 --> 00:05:06.000]  這是一個很重要的溝通技巧
[00:05:06.000 --> 00:05:09.000]  我們溝通不可以說一個不說第二個
[00:05:09.000 --> 00:05:12.000]  所以現在來說,我們有WhatsApp就很清晰
[00:05:12.000 --> 00:05:16.000]  但WhatsApp有溝通限制,我們一定要面對面說
[00:05:16.000 --> 00:05:19.000]  約書亞就叫他們來,面對面說
[00:05:19.000 --> 00:05:24.000]  重申一次,他想他們要很清晰知道
[00:05:25.000 --> 00:05:30.000]  到了第三、第四節就講述了,神各樣的緣故為他們作戰
[00:05:30.000 --> 00:05:36.000]  已經得到地方,在不同四周圍的國家,他們已經站立不住了
[00:05:36.000 --> 00:05:39.000]  為他們作戰,第四節
[00:05:39.000 --> 00:05:44.000]  我已經將所剩下的列國從約旦河
[00:05:44.000 --> 00:05:51.000]  約旦河即是從河這邊到大海日落的方向
[00:05:52.000 --> 00:05:55.000]  大海即是地中海,有沒有去過?
[00:05:55.000 --> 00:06:03.000]  地中海,靠近地中海的海岸,那個西邊
[00:06:03.000 --> 00:06:09.000]  我所剪除的列國,都已經抽籤分給大家了
[00:06:09.000 --> 00:06:13.000]  各支派都可以有自己不同的地方
[00:06:13.000 --> 00:06:18.000]  第五節就講了,已經將他們全部敵人趕出去
[00:06:19.000 --> 00:06:23.000]  正如昔日所應許比利,然後第六節是講什麼?
[00:06:23.000 --> 00:06:27.000]  這一節就在一章開始已經講了
[00:06:27.000 --> 00:06:31.000]  不斷在約書亞裏面重述
[00:06:31.000 --> 00:06:36.000]  你們要大大壯膽,謹守遵行,寫在摩西律法書上
[00:06:36.000 --> 00:06:42.000]  謹守遵行就不只是看,不只是聽,不只是了解
[00:06:42.000 --> 00:06:46.000]  而是要去遵行,不可偏離左右
