
[00:00:00.000 --> 00:00:02.800]  這個比喻一開始就提到
[00:00:02.800 --> 00:00:03.920]  這個比喻是提到
[00:00:03.920 --> 00:00:06.600]  用另一個比喻去提到天國的比喻
[00:00:06.600 --> 00:00:09.840]  這個一開始就提到了一個天國的比喻
[00:00:09.840 --> 00:00:11.200]  他說有一個人
[00:00:11.200 --> 00:00:12.400]  他說有一個人
[00:00:12.400 --> 00:00:13.800]  要去遠方那裏
[00:00:13.800 --> 00:00:14.920]  他出外了
[00:00:14.920 --> 00:00:16.960]  要去一個遠方
[00:00:16.960 --> 00:00:18.120]  很遠的地方出差
[00:00:18.120 --> 00:00:19.640]  他就叫了他的僕人
[00:00:19.640 --> 00:00:21.640]  他就叫了他的僕人來
[00:00:21.640 --> 00:00:24.800]  就將他的財產交托給他們
[00:00:24.800 --> 00:00:27.160]  就把自己的財產交托給他
[00:00:27.160 --> 00:00:29.720]  一袋一袋的銀子給他們
[00:00:29.720 --> 00:00:31.720]  一袋又一袋的銀子給他們
[00:00:31.720 --> 00:00:34.560]  他們在這個交托給他們是
[00:00:34.560 --> 00:00:37.160]  這些銀子不是屬於這些僕人的
[00:00:37.160 --> 00:00:39.520]  交托給這些僕人的銀子
[00:00:39.520 --> 00:00:41.040]  不是屬於這些僕人的
[00:00:41.040 --> 00:00:47.040]  是老闆的主人暫時交給他們處理管理的
[00:00:47.040 --> 00:00:50.440]  是老闆那個主人暫時交給他們去處理的
[00:00:50.440 --> 00:00:53.680]  第一個僕人他就收到五千兩
[00:00:53.680 --> 00:00:56.320]  第一個僕人就收到了五千兩
[00:00:56.320 --> 00:00:58.240]  根據聖經學者在那裏算一算
[00:00:58.240 --> 00:01:02.880]  就說一千銀大約是六十至八十鎊那麼重
[00:01:02.880 --> 00:01:05.200]  一袋銀子是五十至六十八十
[00:01:05.200 --> 00:01:08.920]  根據這些聖經的學者們研究出來說
[00:01:08.920 --> 00:01:11.720]  一斤大概一千
[00:01:11.720 --> 00:01:13.680]  大概有六百到
[00:01:13.680 --> 00:01:14.720]  六十
[00:01:14.720 --> 00:01:15.720]  六十至八十鎊
[00:01:15.720 --> 00:01:16.720]  六十到八十鎊
[00:01:16.720 --> 00:01:17.720]  對不起數字不太好
[00:01:17.720 --> 00:01:21.320]  第一個的僕人就收到五千銀
[00:01:21.320 --> 00:01:22.920]  五千銀就是有成
[00:01:22.920 --> 00:01:27.520]  成就是三百至四百鎊的銀幣
[00:01:27.520 --> 00:01:30.440]  他大概收到了三百到四百鎊的銀子
[00:01:30.440 --> 00:01:33.120]  如果換算成今天的計量單位的話
[00:01:33.120 --> 00:01:37.120]  就有很多年的人工
[00:01:37.120 --> 00:01:40.120]  就是有很多很多年的工錢在裏面
[00:01:40.120 --> 00:01:43.200]  第二個的僕人就收到二千元
[00:01:43.200 --> 00:01:45.480]  第二個僕人就收到兩千塊
