
[00:00:00.000 --> 00:00:06.240]  猶大國在主前的605年被巴比倫所滅
[00:00:06.240 --> 00:00:13.520]  猶大國在公元前605年被巴比倫所滅
[00:00:13.520 --> 00:00:17.280]  在猶大國被滅國的前與後
[00:00:17.280 --> 00:00:19.840]  在猶大國被滅之前和後
[00:00:19.840 --> 00:00:24.040]  有三次那裏的百姓被擄
[00:00:24.040 --> 00:00:25.880]  有三次百姓被擄
[00:00:25.880 --> 00:00:30.560]  在第一次被擄的人當中有一個少年人名字叫做丹爾裏
[00:00:30.560 --> 00:00:34.520]  在第一次被擄的人當中有一個少年人叫丹爾裏
[00:00:34.520 --> 00:00:39.360]  丹爾裏書記載丹爾裏在被擄之地的事跡
[00:00:39.360 --> 00:00:42.800]  丹爾裏書就是記了丹爾裏被擄其中的事
[00:00:42.800 --> 00:00:46.480]  雖然距離今天已經有2600年那麼久了
[00:00:46.480 --> 00:00:49.840]  所以到今天他們大概有2600年
[00:00:49.840 --> 00:00:55.360]  但是在那麼古老的記載裏仍然有很多的屬靈的教導與預言
[00:00:55.360 --> 00:00:57.400]  今天對我們來說是相當重要的
[00:00:57.400 --> 00:01:01.600]  但其中仍然有許多屬靈的教導和預言值得我們學習
[00:01:01.600 --> 00:01:04.320]  在今次我們的講道系列裏面
[00:01:04.320 --> 00:01:06.000]  在今天這個講道系列中
[00:01:06.000 --> 00:01:10.920]  我們會嘗試通過盼望的角度來看這個書卷
[00:01:10.920 --> 00:01:13.920]  我們將嘗試從盼望的角度來學這個書卷
[00:01:13.920 --> 00:01:18.560]  今天我們第一講的講題就是《逆境中的盼望》
[00:01:18.560 --> 00:01:21.920]  我們今天第一講的題目就是《逆境中的盼望》
[00:01:21.920 --> 00:01:23.920]  這個故事在開始的時候
[00:01:23.920 --> 00:01:25.360]  這個故事開始之前
[00:01:25.360 --> 00:01:28.800]  就發生在猶大王約瓦敬在位第三年
[00:01:28.800 --> 00:01:31.440]  發生在猶大王約瓦敬在位的第三年
[00:01:31.440 --> 00:01:36.240]  在那個時候猶大國的耶路撒冷被巴比倫所圍困
[00:01:36.240 --> 00:01:39.240]  當時的猶大國的耶路撒冷被巴比倫所困
[00:01:39.240 --> 00:01:40.600]  就擄了很多人
[00:01:40.600 --> 00:01:42.600]  丹爾裏就是其中一個
[00:01:42.600 --> 00:01:43.680]  擄去了很多人
[00:01:43.680 --> 00:01:44.840]  丹爾裏是其中一位
[00:01:44.840 --> 00:01:46.480]  我們可以這樣來想
[00:01:46.480 --> 00:01:47.480]  我們可以這樣想
[00:01:47.480 --> 00:01:48.760]  一個打敗仗
[00:01:48.760 --> 00:01:49.480]  一個打敗仗
[00:01:49.480 --> 00:01:50.920]  被俘虜的戰敗者
[00:01:50.920 --> 00:01:52.440]  被俘虜的戰敗者
[00:01:52.440 --> 00:01:55.600]  就是留下一條命都已經很幸運了
[00:01:55.600 --> 00:01:57.200]  留下一條命已經很好了
[00:01:57.200 --> 00:01:58.520]  但是聖經就告訴我們
[00:01:58.520 --> 00:01:59.720]  但是聖經教導我們
[00:01:59.720 --> 00:02:00.520]  不單止是這樣
[00:02:00.520 --> 00:02:04.640]  丹爾裏是很幸運地被太監長所選中
[00:02:04.640 --> 00:02:06.040]  不單止如此
[00:02:06.040 --> 00:02:09.320]  丹爾裏還很幸運地被選中
[00:02:09.320 --> 00:02:14.840]  那就給丹爾裏一個很好的優待和訓練
[00:02:14.840 --> 00:02:17.400]  給丹爾裏很優待的訓練
[00:02:17.400 --> 00:02:19.840]  還可以享受神所吃的食物
[00:02:19.840 --> 00:02:20.840]  所飲用的酒
[00:02:20.840 --> 00:02:23.680]  還可以享受神所吃的食物和飲用的酒
[00:02:23.680 --> 00:02:29.480]  訓練之後就打算讓丹爾裏在王面前侍候
[00:02:29.480 --> 00:02:33.080]  訓練之後可以讓丹爾裏勢力在王的面前
[00:02:33.080 --> 00:02:33.760]  那我問大家
[00:02:33.760 --> 00:02:36.240]  如果大家是有這樣的機會的時候
[00:02:36.240 --> 00:02:37.160]  那麼我問大家
[00:02:37.160 --> 00:02:38.760]  如果大家有如此機會的時候
[00:02:38.760 --> 00:02:39.640]  你怎麼會看
[00:02:39.640 --> 00:02:42.320]  或者是怎麼來運用這個機會
[00:02:42.320 --> 00:02:44.040]  你會怎樣看待這個機會
[00:02:44.040 --> 00:02:45.600]  也會怎樣運用這個機會呢
[00:02:45.600 --> 00:02:46.280]  大家要明白
[00:02:46.280 --> 00:02:48.120]  人在苦難當中的時候
[00:02:48.120 --> 00:02:49.000]  大家要明白
[00:02:49.000 --> 00:02:50.080]  人在苦難當中
[00:02:50.080 --> 00:02:54.080]  是特別希望可以得到一些安息的生活
