
[00:00:00.000 --> 00:00:06.040]  我們今晚進入「以塞牙書」最後的階段
[00:00:06.040 --> 00:00:08.440]  下星期最後一講
[00:00:08.440 --> 00:00:15.680]  我們今天仍然是講「仍然盼望」
[00:00:15.680 --> 00:00:19.880]  那我想講這個
[00:00:19.880 --> 00:00:21.880]  我不知道你們還記不記得
[00:00:21.880 --> 00:00:24.800]  最初的時候說「以塞牙書」六十六章
[00:00:24.800 --> 00:00:26.560]  Donald說了一件事
[00:00:26.560 --> 00:00:30.920]  如果你記得整個「以塞牙書」有兩個英文字
[00:00:30.920 --> 00:00:40.680]  Charge and Comfort
[00:00:40.680 --> 00:00:43.120]  很多先知書基本上都是這樣的
[00:00:43.120 --> 00:00:46.920]  在整個「以塞牙書」的經文裡面
[00:00:46.920 --> 00:00:51.600]  其實有些人說「以塞牙書」是一本小聖經
[00:00:51.600 --> 00:00:57.920]  它在講的東西好像是舊約和新約或者最後是講新天新地
[00:00:57.920 --> 00:01:00.880]  好像是一個縮影一樣
[00:01:00.880 --> 00:01:03.120]  而在整個「以塞牙書」有些人說
[00:01:03.120 --> 00:01:04.600]  基本上可以分三個部份
[00:01:04.600 --> 00:01:09.120]  第一個是頭的一到三十九章
[00:01:09.120 --> 00:01:12.320]  然後四十到六十六章是另外兩個部份
[00:01:12.320 --> 00:01:16.440]  然後我們今天講最後這一段
[00:01:16.440 --> 00:01:21.120]  阿南他講第三部份是講由第五十六章到六十六章
[00:01:21.120 --> 00:01:26.120]  即是一到三十九章、四十到五十五章、五十六章到六十六章
[00:01:26.120 --> 00:01:30.640]  而在第三部份五十六章到六十六章
[00:01:30.640 --> 00:01:36.560]  其實阿南上一次之前他在講「以塞牙書」是講六十章
[00:01:36.560 --> 00:01:37.960]  是五十六章到六十六章
[00:01:37.960 --> 00:01:41.200]  其實他有些學者他這樣做了一些研究
[00:01:41.200 --> 00:01:43.240]  我都是抄的
[00:01:43.240 --> 00:01:45.280]  他講整個倒影結構
[00:01:45.280 --> 00:01:51.000]  其實六十到六十二章是第三部份一個中心的部份
[00:01:51.000 --> 00:01:53.400]  而他去到最後他有講「新天新地」
[00:01:53.400 --> 00:01:55.880]  就是講「借新約」的一些經文
[00:01:55.880 --> 00:01:58.760]  其實都是refer(反映)這些
[00:01:58.760 --> 00:02:01.880]  我不知道你有沒有印象聽阿南講
[00:02:01.880 --> 00:02:09.080]  他講其實六十章或者你回去看看
[00:02:09.080 --> 00:02:14.400]  很多時候都是講「光」、「公義」
[00:02:14.400 --> 00:02:15.680]  亦都有講「救恩」
[00:02:15.680 --> 00:02:17.760]  所以上次阿南講就是講「光」
[00:02:17.760 --> 00:02:20.640]  即是我們怎樣去做「光」
[00:02:20.640 --> 00:02:27.680]  當我預備這一次的訊息的時候
[00:02:27.680 --> 00:02:30.080]  我就想六十章
[00:02:30.080 --> 00:02:32.840]  我就拿六十二章的經文跟大家分享
[00:02:32.840 --> 00:02:35.560]  關於那個盼望的訊息
[00:02:35.560 --> 00:02:40.040]  六十二章裡面其實他講到一些位置是講一些名字
[00:02:40.040 --> 00:02:44.800]  所以我就問阿南放上去臉書
[00:02:44.800 --> 00:02:47.520]  如果你幫兩個子女改名字你會改什麼
[00:02:47.520 --> 00:02:52.800]  我就問你會改「好聽」、「小有」還是「有意思」
[00:02:52.800 --> 00:02:55.560]  大部份的人都是講「有意思」
[00:02:55.560 --> 00:02:58.120]  我想不同的名字有不同的原因
[00:02:58.120 --> 00:02:59.400]  其實不同的名字很有意思
[00:02:59.400 --> 00:03:02.520]  有些名字是因為期望的
[00:03:02.520 --> 00:03:04.720]  有些名字是因為身份的
[00:03:04.720 --> 00:03:07.720]  有些名字是因為你做過一些事的行為
[00:03:07.720 --> 00:03:09.320]  期望例如你的父母改名字
[00:03:09.320 --> 00:03:11.400]  你的子女改名字是有些原因的
[00:03:11.400 --> 00:03:14.280]  即是我女兒也有些原因的改名字
[00:03:14.280 --> 00:03:18.280]  例如你有沒有聽過一些名字叫「信心」
[00:03:18.280 --> 00:03:21.880]  即是我認識的牧師的女兒叫「信心」
[00:03:21.880 --> 00:03:23.960]  然後有些是「恩惠」
[00:03:23.960 --> 00:03:25.880]  當然有些人改名字就會說
