
[00:00:00.000 --> 00:00:03.000]  剛才主席跟我們讀的那段經文
[00:00:03.000 --> 00:00:06.000]  就是耶穌帶著三個門徒
[00:00:06.000 --> 00:00:08.500]  就上到高山上面
[00:00:08.500 --> 00:00:12.500]  耶穌就在那裡去改變祂的形象
[00:00:12.500 --> 00:00:18.000]  我們一般都稱這一段經文是登山變象
[00:00:18.000 --> 00:00:22.000]  其實改變形象有什麼特別呢
[00:00:22.000 --> 00:00:24.500]  我今天見到主席錦鳴
[00:00:24.500 --> 00:00:27.500]  我就想起自從錦鳴結了婚之後
[00:00:27.500 --> 00:00:30.500]  她的造型也變得漂亮了很多
[00:00:30.500 --> 00:00:36.000]  我相信是有個人的形象顧問來幫她設計的
[00:00:36.000 --> 00:00:37.500]  我們經常都會改變形象
[00:00:37.500 --> 00:00:40.000]  特別是一些明星
[00:00:40.000 --> 00:00:42.000]  給你們看一看
[00:00:42.000 --> 00:00:43.000]  看你認不認得
[00:00:43.000 --> 00:00:44.500]  這位是誰
[00:00:44.500 --> 00:00:46.500]  是同一個人
[00:00:46.500 --> 00:00:48.000]  湯漢斯
[00:00:48.000 --> 00:00:50.500]  他的名字有些人讀作Tom Hanks
[00:00:50.500 --> 00:00:53.000]  有些人讀作Tom Hangs
[00:00:53.000 --> 00:00:54.500]  總之就是他
[00:00:54.500 --> 00:00:59.500]  大家認不認得1994年的《鹿》是哪一部電影
[00:00:59.500 --> 00:01:01.500]  Ada很厲害
[00:01:01.500 --> 00:01:02.500]  你是影迷嗎
[00:01:02.500 --> 00:01:04.000]  你是他的粉絲
[00:01:04.000 --> 00:01:05.500]  我也很喜歡這部電影
[00:01:05.500 --> 00:01:07.000]  這部電影
[00:01:07.000 --> 00:01:15.000]  湯漢斯飾演一個在智力上有缺陷的人
[00:01:15.000 --> 00:01:17.500]  但他的心地是很善良的
[00:01:17.500 --> 00:01:20.500]  在他平凡的一生裡面
[00:01:20.500 --> 00:01:23.000]  出現了很多不平凡的事蹟
[00:01:23.000 --> 00:01:25.000]  這部電影很有意思
[00:01:25.000 --> 00:01:27.500]  這部電影
[00:01:27.500 --> 00:01:29.500]  給你們看近鏡
[00:01:29.500 --> 00:01:32.500]  這是誰
[00:01:32.500 --> 00:01:36.000]  瘦身男女的劉華
[00:01:36.000 --> 00:01:38.500]  劉華和鄭秀文
[00:01:38.500 --> 00:01:40.500]  這部電影很有趣
[00:01:40.500 --> 00:01:43.500]  是關於肥仔肥女的愛情故事
[00:01:43.500 --> 00:01:45.500]  通常都是一些俊男俊女
[00:01:45.500 --> 00:01:46.500]  很妙調
[00:01:46.500 --> 00:01:49.000]  誰知他們是很可愛的
[00:01:49.000 --> 00:01:51.500]  化妝很厲害
[00:01:51.500 --> 00:01:53.500]  這個
[00:01:53.500 --> 00:01:57.000]  這樣也認得
[00:01:57.000 --> 00:01:58.500]  在《四大天王》裡面
[00:01:58.500 --> 00:02:02.500]  我覺得郭富城的樣子是最美的
[00:02:02.500 --> 00:02:06.000]  但他突然間改變形象
[00:02:06.000 --> 00:02:08.500]  在這部電影裡鬱鬚勒凸
[00:02:08.500 --> 00:02:11.500]  大家知不知道這部電影是哪一部電影
[00:02:11.500 --> 00:02:14.500]  似乎沒有人知道
[00:02:14.500 --> 00:02:16.500]  《墨路人》
[00:02:16.500 --> 00:02:18.500]  《墨路人》
[00:02:18.500 --> 00:02:20.500]  真是眼前一亮
[00:02:20.500 --> 00:02:24.500]  平時都是一些俊男拍電影的
[00:02:24.500 --> 00:02:27.000]  突然間做了這部《墨路人》
[00:02:27.000 --> 00:02:31.500]  故事是講述一個青年才俊
[00:02:31.500 --> 00:02:34.500]  因為失業的緣故一下子什麼都沒有了
[00:02:34.500 --> 00:02:36.500]  還欠下債務
[00:02:36.500 --> 00:02:38.500]  住的地方都沒有
[00:02:38.500 --> 00:02:43.000]  就要住在廿四的墨記那裡借宿
[00:02:43.000 --> 00:02:46.000]  在那裡遇上其他的淪落人
[00:02:46.000 --> 00:02:48.000]  接著這個
[00:02:50.000 --> 00:02:53.500]  嘩 你們跟他一起長大的
[00:02:53.500 --> 00:02:54.500]  這麼認得
[00:02:54.500 --> 00:02:58.500]  我以為要有媽媽肥肥的樣子才會認得他
[00:02:58.500 --> 00:03:00.500]  現在是這樣的
[00:03:00.500 --> 00:03:04.500]  阿欣兒的聲音很漂亮
[00:03:04.500 --> 00:03:06.000]  她唱歌很好聽
[00:03:06.000 --> 00:03:09.500]  她的成長雖然不欠缺錢
[00:03:09.500 --> 00:03:13.000]  但她的成長一點也不容易
[00:03:13.000 --> 00:03:17.500]  這些演員都是因為要配合不同的角色
[00:03:17.500 --> 00:03:22.500]  或者隨著年齡階段的演進
[00:03:22.500 --> 00:03:24.500]  要改變形象
[00:03:24.500 --> 00:03:28.500]  跟耶穌的改變形象很不同
[00:03:28.500 --> 00:03:33.500]  我們現在看看耶穌是怎樣改變形象
[00:03:33.500 --> 00:03:35.500]  我們一起讀這兩節
[00:03:35.500 --> 00:03:37.500]  過了六天
[00:03:37.500 --> 00:03:41.500]  耶穌帶著彼得 雅各 約翰
[00:03:41.500 --> 00:03:44.500]  暗暗地上了高山
[00:03:44.500 --> 00:03:48.500]  就在他們面前變了形象
[00:03:48.500 --> 00:03:50.500]  衣服放光
[00:03:50.500 --> 00:03:52.500]  極其潔白
[00:03:52.500 --> 00:03:54.500]  地上漂泊的
[00:03:54.500 --> 00:03:58.500]  沒有一個能漂得那樣白
[00:03:58.500 --> 00:04:02.500]  這裡主要是描述耶穌的衣服
[00:04:02.500 --> 00:04:04.500]  很白的
[00:04:04.500 --> 00:04:06.500]  白到放光
[00:04:06.500 --> 00:04:07.500]  白到沒有人有
[00:04:07.500 --> 00:04:09.500]  地上也沒有
[00:04:09.500 --> 00:04:14.500]  登山變象這段經文不只是馬可有
[00:04:14.500 --> 00:04:19.500]  馬太露家也有技術這件事
[00:04:19.500 --> 00:04:22.500]  我們現在看看馬太怎樣寫
[00:04:22.500 --> 00:04:24.500]  馬太多說一點
[00:04:24.500 --> 00:04:27.500]  不只是衣裳潔白如光
[00:04:27.500 --> 00:04:30.500]  還說她的臉面明亮如日頭
[00:04:30.500 --> 00:04:33.500]  即是她不是只穿了一件螢光衣
[00:04:33.500 --> 00:04:35.500]  很鮮艷那麼簡單
[00:04:35.500 --> 00:04:38.500]  而是從裡面發出光輝
[00:04:38.500 --> 00:04:42.500]  她的臉面也發光
[00:04:42.500 --> 00:04:47.500]  我們看到這個光好像太陽般的光
