
[00:00:00.000 --> 00:00:01.560]  記得在中學的時候
[00:00:01.560 --> 00:00:04.560]  我是曾經參加了一個戶外活動
[00:00:04.560 --> 00:00:07.560]  就是愛丁堡獎勵計劃
[00:00:07.560 --> 00:00:10.360]  計劃裡面其中一項就是
[00:00:10.360 --> 00:00:12.160]  一個的
[00:00:12.160 --> 00:00:15.760]  就是在一個郊外的地方裡面
[00:00:15.760 --> 00:00:17.160]  要去
[00:00:17.160 --> 00:00:18.440]  有一個的
[00:00:18.440 --> 00:00:19.840]  就是有宿營
[00:00:19.840 --> 00:00:20.640]  露營
[00:00:20.640 --> 00:00:22.000]  這樣一個行程
[00:00:22.000 --> 00:00:23.240]  這樣一個的
[00:00:23.240 --> 00:00:25.840]  就是走很多公里路的
[00:00:25.840 --> 00:00:28.800]  那麼記得有一次我們準備出發
[00:00:28.800 --> 00:00:32.200]  去粉嶺
[00:00:32.200 --> 00:00:35.600]  這裡大概是粉嶺到白仙嶺的地方
[00:00:35.600 --> 00:00:37.400]  那麼
[00:00:37.400 --> 00:00:41.000]  以前的火車就不是現在那種電氣化火車
[00:00:41.000 --> 00:00:42.600]  如果大家記得
[00:00:42.600 --> 00:00:44.800]  火車一來一去
[00:00:44.800 --> 00:00:46.200]  很久才一班車
[00:00:46.200 --> 00:00:49.000]  二來很久才去到那個地方
[00:00:49.000 --> 00:00:50.200]  由九龍出發
[00:00:50.200 --> 00:00:53.000]  記得那一次我們集合
[00:00:53.000 --> 00:00:55.200]  在粉嶺火車站
[00:00:55.200 --> 00:01:00.400]  要被隊長負責人檢查我們的行裝
[00:01:00.400 --> 00:01:03.000]  然後準時計時出發
[00:01:03.000 --> 00:01:04.000]  怎知道
[00:01:04.000 --> 00:01:06.400]  我們其中一個隊員遲到
[00:01:06.400 --> 00:01:08.000]  遲了一班車
[00:01:08.000 --> 00:01:09.600]  就一個小時後才來
[00:01:09.600 --> 00:01:13.000]  那天已經不能夠正式出發
[00:01:13.000 --> 00:01:14.000]  已經是
[00:01:14.000 --> 00:01:16.400]  就是叫做包了我們的資格去了
[00:01:16.400 --> 00:01:17.200]  就不可以了
